UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2542,2023-03-15,台東縣,延平鄉,1,1319,0.14
8253,2023-02-27,台東縣,延平鄉,1,1318,0.86
8599,2023-02-26,台東縣,延平鄉,3,1317,0.86
8962,2023-02-25,台東縣,延平鄉,1,1314,0.43
10064,2023-02-22,台東縣,延平鄉,1,1313,0.43
10810,2023-02-20,台東縣,延平鄉,1,1312,0.43
11912,2023-02-17,台東縣,延平鄉,1,1311,1.00
12660,2023-02-15,台東縣,延平鄉,1,1310,1.00
13407,2023-02-13,台東縣,延平鄉,3,1309,0.86
14143,2023-02-11,台東縣,延平鄉,2,1306,0.71
14884,2023-02-09,台東縣,延平鄉,1,1304,0.86
16025,2023-02-06,台東縣,延平鄉,2,1303,1.14
16773,2023-02-04,台東縣,延平鄉,1,1301,1.43
17153,2023-02-03,台東縣,延平鄉,2,1300,2.43
17540,2023-02-02,台東縣,延平鄉,2,1298,2.43
18302,2023-01-31,台東縣,延平鄉,1,1296,2.43
18687,2023-01-30,台東縣,延平鄉,2,1295,2.71
19072,2023-01-29,台東縣,延平鄉,2,1293,2.43
19450,2023-01-28,台東縣,延平鄉,8,1291,2.57
19826,2023-01-27,台東縣,延平鄉,2,1283,1.57
20204,2023-01-26,台東縣,延平鄉,1,1281,2.00
20575,2023-01-25,台東縣,延平鄉,1,1280,1.86
20945,2023-01-24,台東縣,延平鄉,3,1279,2.29
21683,2023-01-22,台東縣,延平鄉,3,1276,2.29
22051,2023-01-21,台東縣,延平鄉,1,1273,1.86
22420,2023-01-20,台東縣,延平鄉,5,1272,1.71
23160,2023-01-18,台東縣,延平鄉,4,1267,1.29
23896,2023-01-16,台東縣,延平鄉,3,1263,1.00
25004,2023-01-13,台東縣,延平鄉,1,1260,0.86
25378,2023-01-12,台東縣,延平鄉,1,1259,1.14
25749,2023-01-11,台東縣,延平鄉,2,1258,1.29
26501,2023-01-09,台東縣,延平鄉,1,1256,2.29
27232,2023-01-07,台東縣,延平鄉,1,1255,2.57
27605,2023-01-06,台東縣,延平鄉,3,1254,2.86
27985,2023-01-05,台東縣,延平鄉,2,1251,2.57
28365,2023-01-04,台東縣,延平鄉,3,1249,2.29
28746,2023-01-03,台東縣,延平鄉,6,1246,2.57
29124,2023-01-02,台東縣,延平鄉,3,1240,1.71
29855,2022-12-31,台東縣,延平鄉,3,1237,1.29
30221,2022-12-30,台東縣,延平鄉,1,1234,1.71
30968,2022-12-28,台東縣,延平鄉,5,1233,2.14
32436,2022-12-24,台東縣,延平鄉,6,1228,2.43
32795,2022-12-23,台東縣,延平鄉,4,1222,1.57
33530,2022-12-21,台東縣,延平鄉,5,1218,1.14
33897,2022-12-20,台東縣,延平鄉,1,1213,0.43
34263,2022-12-19,台東縣,延平鄉,1,1212,0.57
35344,2022-12-16,台東縣,延平鄉,1,1211,0.57
36437,2022-12-13,台東縣,延平鄉,2,1210,0.71
37534,2022-12-10,台東縣,延平鄉,1,1208,0.57
37901,2022-12-09,台東縣,延平鄉,1,1207,0.86
38647,2022-12-07,台東縣,延平鄉,1,1206,1.14
39760,2022-12-04,台東縣,延平鄉,1,1205,1.14
40128,2022-12-03,台東縣,延平鄉,3,1204,1.00
40496,2022-12-02,台東縣,延平鄉,1,1201,0.57
40865,2022-12-01,台東縣,延平鄉,2,1200,0.57
41239,2022-11-30,台東縣,延平鄉,1,1198,0.71
