UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
830,2023-03-20,台東縣,東河鄉,1,2061,0.43
1142,2023-03-19,台東縣,東河鄉,1,2060,0.29
1825,2023-03-17,台東縣,東河鄉,1,2059,0.29
3941,2023-03-11,台東縣,東河鄉,1,2058,1.00
4649,2023-03-09,台東縣,東河鄉,1,2057,1.14
5005,2023-03-08,台東縣,東河鄉,1,2056,1.14
5359,2023-03-07,台東縣,東河鄉,4,2055,1.29
6777,2023-03-03,台東縣,東河鄉,2,2051,1.29
7139,2023-03-02,台東縣,東河鄉,1,2049,1.00
7504,2023-03-01,台東縣,東河鄉,2,2048,0.86
7875,2023-02-28,台東縣,東河鄉,2,2046,0.86
8237,2023-02-27,台東縣,東河鄉,1,2044,0.71
8943,2023-02-25,台東縣,東河鄉,1,2043,0.71
10046,2023-02-22,台東縣,東河鄉,2,2042,1.14
10419,2023-02-21,台東縣,東河鄉,1,2040,1.14
10791,2023-02-20,台東縣,東河鄉,1,2039,1.14
11525,2023-02-18,台東縣,東河鄉,2,2038,1.29
11893,2023-02-17,台東縣,東河鄉,1,2036,1.43
12266,2023-02-16,台東縣,東河鄉,1,2035,1.43
12642,2023-02-15,台東縣,東河鄉,2,2034,1.29
13017,2023-02-14,台東縣,東河鄉,1,2032,1.43
13388,2023-02-13,台東縣,東河鄉,2,2031,1.71
14124,2023-02-11,台東縣,東河鄉,3,2029,2.14
14494,2023-02-10,台東縣,東河鄉,1,2026,2.14
15248,2023-02-08,台東縣,東河鄉,3,2025,3.29
15626,2023-02-07,台東縣,東河鄉,3,2022,3.00
16006,2023-02-06,台東縣,東河鄉,3,2019,4.00
16381,2023-02-05,台東縣,東河鄉,2,2016,4.86
16755,2023-02-04,台東縣,東河鄉,3,2014,5.29
17134,2023-02-03,台東縣,東河鄉,7,2011,5.43
17521,2023-02-02,台東縣,東河鄉,2,2004,6.14
17901,2023-02-01,台東縣,東河鄉,1,2002,6.71
18283,2023-01-31,台東縣,東河鄉,10,2001,7.00
18668,2023-01-30,台東縣,東河鄉,9,1991,5.57
19053,2023-01-29,台東縣,東河鄉,5,1982,5.14
19431,2023-01-28,台東縣,東河鄉,4,1977,4.43
19807,2023-01-27,台東縣,東河鄉,12,1973,4.43
20186,2023-01-26,台東縣,東河鄉,6,1961,2.71
20557,2023-01-25,台東縣,東河鄉,3,1955,1.86
21295,2023-01-23,台東縣,東河鄉,6,1952,1.57
22034,2023-01-21,台東縣,東河鄉,4,1946,1.43
23143,2023-01-18,台東縣,東河鄉,1,1942,1.43
23878,2023-01-16,台東縣,東河鄉,4,1941,1.71
24252,2023-01-15,台東縣,東河鄉,1,1937,1.29
24987,2023-01-13,台東縣,東河鄉,2,1936,1.71
25359,2023-01-12,台東縣,東河鄉,2,1934,1.86
25730,2023-01-11,台東縣,東河鄉,2,1932,1.71
26108,2023-01-10,台東縣,東河鄉,1,1930,1.71
26482,2023-01-09,台東縣,東河鄉,1,1929,1.86
26851,2023-01-08,台東縣,東河鄉,2,1928,1.71
27213,2023-01-07,台東縣,東河鄉,2,1926,1.57
27587,2023-01-06,台東縣,東河鄉,3,1924,1.43
27966,2023-01-05,台東縣,東河鄉,1,1921,1.14
28346,2023-01-04,台東縣,東河鄉,2,1920,1.00
28728,2023-01-03,台東縣,東河鄉,2,1918,0.86
29477,2023-01-01,台東縣,東河鄉,1,1916,1.00
29837,2022-12-31,台東縣,東河鄉,1,1915,0.86
30204,2022-12-30,台東縣,東河鄉,1,1914,0.71
30950,2022-12-28,台東縣,東河鄉,1,1913,1.43
31323,2022-12-27,台東縣,東河鄉,1,1912,1.57
31697,2022-12-26,台東縣,東河鄉,2,1911,1.57
32779,2022-12-23,台東縣,東河鄉,2,1909,1.71
33145,2022-12-22,台東縣,東河鄉,4,1907,1.43
33511,2022-12-21,台東縣,東河鄉,2,1903,0.86
33879,2022-12-20,台東縣,東河鄉,1,1901,0.86
