UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
803,2023-03-20,台東縣,池上鄉,1,2015,1.43
1107,2023-03-19,台東縣,池上鄉,2,2014,1.29
1441,2023-03-18,台東縣,池上鄉,3,2012,1.14
2139,2023-03-16,台東縣,池上鄉,2,2009,1.14
2492,2023-03-15,台東縣,池上鄉,1,2007,1.71
2842,2023-03-14,台東縣,池上鄉,1,2006,1.71
3554,2023-03-12,台東縣,池上鄉,1,2005,2.00
3904,2023-03-11,台東縣,池上鄉,2,2004,2.00
4254,2023-03-10,台東縣,池上鄉,1,2002,1.86
4611,2023-03-09,台東縣,池上鄉,6,2001,1.71
4967,2023-03-08,台東縣,池上鄉,1,1995,1.43
5686,2023-03-06,台東縣,池上鄉,3,1994,1.86
6045,2023-03-05,台東縣,池上鄉,1,1991,1.71
6386,2023-03-04,台東縣,池上鄉,1,1990,1.57
7101,2023-03-02,台東縣,池上鄉,4,1989,2.00
7463,2023-03-01,台東縣,池上鄉,3,1985,1.43
7835,2023-02-28,台東縣,池上鄉,1,1982,1.29
8201,2023-02-27,台東縣,池上鄉,2,1981,1.14
8904,2023-02-25,台東縣,池上鄉,1,1979,1.86
9273,2023-02-24,台東縣,池上鄉,3,1978,2.29
10006,2023-02-22,台東縣,池上鄉,2,1975,2.29
10751,2023-02-20,台東縣,池上鄉,6,1973,2.43
11125,2023-02-19,台東縣,池上鄉,1,1967,1.86
11487,2023-02-18,台東縣,池上鄉,4,1966,2.14
11852,2023-02-17,台東縣,池上鄉,3,1962,2.00
12601,2023-02-15,台東縣,池上鄉,1,1959,2.14
12976,2023-02-14,台東縣,池上鄉,2,1958,2.00
13347,2023-02-13,台東縣,池上鄉,2,1956,2.00
13724,2023-02-12,台東縣,池上鄉,3,1954,2.43
14084,2023-02-11,台東縣,池上鄉,3,1951,2.14
14453,2023-02-10,台東縣,池上鄉,3,1948,2.57
14827,2023-02-09,台東縣,池上鄉,1,1945,2.43
15584,2023-02-07,台東縣,池上鄉,2,1944,3.71
15964,2023-02-06,台東縣,池上鄉,5,1942,4.00
16340,2023-02-05,台東縣,池上鄉,1,1937,4.14
16714,2023-02-04,台東縣,池上鄉,6,1936,4.71
17093,2023-02-03,台東縣,池上鄉,2,1930,5.00
17479,2023-02-02,台東縣,池上鄉,2,1928,5.14
17860,2023-02-01,台東縣,池上鄉,8,1926,5.00
18240,2023-01-31,台東縣,池上鄉,4,1918,4.29
18625,2023-01-30,台東縣,池上鄉,6,1914,3.71
19011,2023-01-29,台東縣,池上鄉,5,1908,3.14
19389,2023-01-28,台東縣,池上鄉,8,1903,2.43
19765,2023-01-27,台東縣,池上鄉,3,1895,1.57
20146,2023-01-26,台東縣,池上鄉,1,1892,2.00
20517,2023-01-25,台東縣,池上鄉,3,1891,2.00
21258,2023-01-23,台東縣,池上鄉,2,1888,1.86
21994,2023-01-21,台東縣,池上鄉,2,1886,2.29
22367,2023-01-20,台東縣,池上鄉,6,1884,2.86
22732,2023-01-19,台東縣,池上鄉,1,1878,2.43
23105,2023-01-18,台東縣,池上鄉,1,1877,3.29
23471,2023-01-17,台東縣,池上鄉,1,1876,3.43
23838,2023-01-16,台東縣,池上鄉,2,1875,3.43
24216,2023-01-15,台東縣,池上鄉,3,1873,3.29
24579,2023-01-14,台東縣,池上鄉,6,1870,3.00
24946,2023-01-13,台東縣,池上鄉,3,1864,2.43
25317,2023-01-12,台東縣,池上鄉,7,1861,2.71
25691,2023-01-11,台東縣,池上鄉,2,1854,1.71
26067,2023-01-10,台東縣,池上鄉,1,1852,1.71
26440,2023-01-09,台東縣,池上鄉,1,1851,1.86
26814,2023-01-08,台東縣,池上鄉,1,1850,2.00
27175,2023-01-07,台東縣,池上鄉,2,1849,2.43
27548,2023-01-06,台東縣,池上鄉,5,1847,2.57
28303,2023-01-04,台東縣,池上鄉,2,1842,2.43
28685,2023-01-03,台東縣,池上鄉,2,1840,2.14
29065,2023-01-02,台東縣,池上鄉,2,1838,2.43
29437,2023-01-01,台東縣,池上鄉,4,1836,2.29
29798,2022-12-31,台東縣,池上鄉,3,1832,1.86
30165,2022-12-30,台東縣,池上鄉,3,1829,1.57
30539,2022-12-29,台東縣,池上鄉,1,1826,1.14
31280,2022-12-27,台東縣,池上鄉,4,1825,1.57
31655,2022-12-26,台東縣,池上鄉,1,1821,1.29
32024,2022-12-25,台東縣,池上鄉,1,1820,1.43
32382,2022-12-24,台東縣,池上鄉,1,1819,1.29
33108,2022-12-22,台東縣,池上鄉,1,1818,1.71
33473,2022-12-21,台東縣,池上鄉,3,1817,1.71
33840,2022-12-20,台東縣,池上鄉,2,1814,1.29
34206,2022-12-19,台東縣,池上鄉,2,1812,1.00
35286,2022-12-16,台東縣,池上鄉,4,1810,1.14
35649,2022-12-15,台東縣,池上鄉,1,1806,0.71
36757,2022-12-12,台東縣,池上鄉,1,1805,2.00
37479,2022-12-10,台東縣,池上鄉,2,1804,2.00
37846,2022-12-09,台東縣,池上鄉,1,1802,2.14
38212,2022-12-08,台東縣,池上鄉,1,1801,2.29
38586,2022-12-07,台東縣,池上鄉,7,1800,2.71
38953,2022-12-06,台東縣,池上鄉,2,1793,2.29
39329,2022-12-05,台東縣,池上鄉,1,1791,2.14
40072,2022-12-03,台東縣,池上鄉,3,1790,2.14
40441,2022-12-02,台東縣,池上鄉,2,1787,1.86
40807,2022-12-01,台東縣,池上鄉,4,1785,1.86
41180,2022-11-30,台東縣,池上鄉,4,1781,1.43
41553,2022-11-29,台東縣,池上鄉,1,1777,0.86
42309,2022-11-27,台東縣,池上鄉,1,1776,0.86
42665,2022-11-26,台東縣,池上鄉,1,1775,1.00
43027,2022-11-25,台東縣,池上鄉,2,1774,0.86
43396,2022-11-24,台東縣,池上鄉,1,1772,0.71
44515,2022-11-21,台東縣,池上鄉,1,1771,1.86
44894,2022-11-20,台東縣,池上鄉,2,1770,1.86
45632,2022-11-18,台東縣,池上鄉,1,1768,2.14
46005,2022-11-17,台東縣,池上鄉,1,1767,2.00
46379,2022-11-16,台東縣,池上鄉,1,1766,2.14
46760,2022-11-15,台東縣,池上鄉,7,1765,2.57
47138,2022-11-14,台東縣,池上鄉,1,1758,2.00
47889,2022-11-12,台東縣,池上鄉,4,1757,2.43
48644,2022-11-10,台東縣,池上鄉,2,1753,2.86
49028,2022-11-09,台東縣,池上鄉,4,1751,2.86
49415,2022-11-08,台東縣,池上鄉,3,1747,2.71
49800,2022-11-07,台東縣,池上鄉,2,1744,2.29
50179,2022-11-06,台東縣,池上鄉,2,1742,3.14
50548,2022-11-05,台東縣,池上鄉,2,1740,3.14
50929,2022-11-04,台東縣,池上鄉,5,1738,3.57
51314,2022-11-03,台東縣,池上鄉,2,1733,3.29
51693,2022-11-02,台東縣,池上鄉,3,1731,3.57
52463,2022-10-31,台東縣,池上鄉,8,1728,4.57
52847,2022-10-30,台東縣,池上鄉,2,1720,5.00
53223,2022-10-29,台東縣,池上鄉,5,1718,4.71
53607,2022-10-28,台東縣,池上鄉,3,1713,4.29
53994,2022-10-27,台東縣,池上鄉,4,1710,4.29
54377,2022-10-26,台東縣,池上鄉,6,1706,4.43
54763,2022-10-25,台東縣,池上鄉,4,1700,4.00
55154,2022-10-24,台東縣,池上鄉,11,1696,6.00
55920,2022-10-22,台東縣,池上鄉,2,1685,6.00
56306,2022-10-21,台東縣,池上鄉,3,1683,5.86
56695,2022-10-20,台東縣,池上鄉,5,1680,7.14
57080,2022-10-19,台東縣,池上鄉,3,1675,8.00
57467,2022-10-18,台東縣,池上鄉,18,1672,10.14
57857,2022-10-17,台東縣,池上鄉,9,1654,10.43
58246,2022-10-16,台東縣,池上鄉,2,1645,9.86
58631,2022-10-15,台東縣,池上鄉,1,1643,11.43
59017,2022-10-14,台東縣,池上鄉,12,1642,14.43
59406,2022-10-13,台東縣,池上鄉,11,1630,15.43
59797,2022-10-12,台東縣,池上鄉,18,1619,15.43
60187,2022-10-11,台東縣,池上鄉,20,1601,17.14
60577,2022-10-10,台東縣,池上鄉,5,1581,15.71
60961,2022-10-09,台東縣,池上鄉,13,1576,17.00
61349,2022-10-08,台東縣,池上鄉,22,1563,15.71
61738,2022-10-07,台東縣,池上鄉,19,1541,14.14
62125,2022-10-06,台東縣,池上鄉,11,1522,13.29
62516,2022-10-05,台東縣,池上鄉,30,1511,13.57
62904,2022-10-04,台東縣,池上鄉,10,1481,10.43
63292,2022-10-03,台東縣,池上鄉,14,1471,9.57
63683,2022-10-02,台東縣,池上鄉,4,1457,8.71
64063,2022-10-01,台東縣,池上鄉,11,1453,9.00
64449,2022-09-30,台東縣,池上鄉,13,1442,8.00
64835,2022-09-29,台東縣,池上鄉,13,1429,7.86
65223,2022-09-28,台東縣,池上鄉,8,1416,7.86
65610,2022-09-27,台東縣,池上鄉,4,1408,8.43
65997,2022-09-26,台東縣,池上鄉,8,1404,10.29
66384,2022-09-25,台東縣,池上鄉,6,1396,10.14
66768,2022-09-24,台東縣,池上鄉,4,1390,10.00
67153,2022-09-23,台東縣,池上鄉,12,1386,10.29
67541,2022-09-22,台東縣,池上鄉,13,1374,10.14
67929,2022-09-21,台東縣,池上鄉,12,1361,9.43
68318,2022-09-20,台東縣,池上鄉,17,1349,9.14
68708,2022-09-19,台東縣,池上鄉,7,1332,8.29
69098,2022-09-18,台東縣,池上鄉,5,1325,9.29
69481,2022-09-17,台東縣,池上鄉,6,1320,9.14
69868,2022-09-16,台東縣,池上鄉,11,1314,9.43
70253,2022-09-15,台東縣,池上鄉,8,1303,8.43
70640,2022-09-14,台東縣,池上鄉,10,1295,8.57
71026,2022-09-13,台東縣,池上鄉,11,1285,8.57
71415,2022-09-12,台東縣,池上鄉,14,1274,8.57
71803,2022-09-11,台東縣,池上鄉,4,1260,8.00
72185,2022-09-10,台東縣,池上鄉,8,1256,8.43
72568,2022-09-09,台東縣,池上鄉,4,1248,7.43
72950,2022-09-08,台東縣,池上鄉,9,1244,7.14
73337,2022-09-07,台東縣,池上鄉,10,1235,6.43
73721,2022-09-06,台東縣,池上鄉,11,1225,5.86
74107,2022-09-05,台東縣,池上鄉,10,1214,6.00
74492,2022-09-04,台東縣,池上鄉,7,1204,6.86
74875,2022-09-03,台東縣,池上鄉,1,1197,6.57
75263,2022-09-02,台東縣,池上鄉,2,1196,7.14
75649,2022-09-01,台東縣,池上鄉,4,1194,8.86
76038,2022-08-31,台東縣,池上鄉,6,1190,9.29
76425,2022-08-30,台東縣,池上鄉,12,1184,10.00
76813,2022-08-29,台東縣,池上鄉,16,1172,9.29
77200,2022-08-28,台東縣,池上鄉,5,1156,9.29
77585,2022-08-27,台東縣,池上鄉,5,1151,8.86
77971,2022-08-26,台東縣,池上鄉,14,1146,9.00
78355,2022-08-25,台東縣,池上鄉,7,1132,8.14
78740,2022-08-24,台東縣,池上鄉,11,1125,8.14
79128,2022-08-23,台東縣,池上鄉,7,1114,7.86
79512,2022-08-22,台東縣,池上鄉,16,1107,7.43
79898,2022-08-21,台東縣,池上鄉,2,1091,7.00
80277,2022-08-20,台東縣,池上鄉,6,1089,7.57
80660,2022-08-19,台東縣,池上鄉,8,1083,7.29
81046,2022-08-18,台東縣,池上鄉,7,1075,7.43
81435,2022-08-17,台東縣,池上鄉,9,1068,7.43
81820,2022-08-16,台東縣,池上鄉,4,1059,6.14
82207,2022-08-15,台東縣,池上鄉,13,1055,6.57
82591,2022-08-14,台東縣,池上鄉,6,1042,5.71
82968,2022-08-13,台東縣,池上鄉,4,1036,5.29
83349,2022-08-12,台東縣,池上鄉,9,1032,5.00
83734,2022-08-11,台東縣,池上鄉,7,1023,4.29
84506,2022-08-09,台東縣,池上鄉,7,1016,4.14
84889,2022-08-08,台東縣,池上鄉,7,1009,3.57
85270,2022-08-07,台東縣,池上鄉,3,1002,3.14
85644,2022-08-06,台東縣,池上鄉,2,999,3.43
86027,2022-08-05,台東縣,池上鄉,4,997,4.14
86413,2022-08-04,台東縣,池上鄉,4,993,4.00
86798,2022-08-03,台東縣,池上鄉,2,989,4.43
87180,2022-08-02,台東縣,池上鄉,3,987,5.29
87567,2022-08-01,台東縣,池上鄉,4,984,6.29
87952,2022-07-31,台東縣,池上鄉,5,980,6.29
88329,2022-07-30,台東縣,池上鄉,7,975,5.86
88708,2022-07-29,台東縣,池上鄉,3,968,5.00
89094,2022-07-28,台東縣,池上鄉,7,965,5.43
