UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1797,2023-03-17,台東縣,海端鄉,1,1562,0.57
2851,2023-03-14,台東縣,海端鄉,2,1561,0.43
3913,2023-03-11,台東縣,海端鄉,1,1559,0.43
5696,2023-03-06,台東縣,海端鄉,2,1558,0.71
7110,2023-03-02,台東縣,海端鄉,1,1556,0.57
7844,2023-02-28,台東縣,海端鄉,2,1555,0.57
9282,2023-02-24,台東縣,海端鄉,1,1553,0.43
10016,2023-02-22,台東縣,海端鄉,1,1552,0.71
10388,2023-02-21,台東縣,海端鄉,1,1551,0.57
11862,2023-02-17,台東縣,海端鄉,1,1550,0.71
12237,2023-02-16,台東縣,海端鄉,2,1549,0.71
14095,2023-02-11,台東縣,海端鄉,2,1547,1.43
14463,2023-02-10,台東縣,海端鄉,1,1545,1.43
14837,2023-02-09,台東縣,海端鄉,2,1544,2.00
15217,2023-02-08,台東縣,海端鄉,1,1542,2.29
15595,2023-02-07,台東縣,海端鄉,1,1541,2.71
15974,2023-02-06,台東縣,海端鄉,1,1540,2.71
16350,2023-02-05,台東縣,海端鄉,2,1539,2.86
16725,2023-02-04,台東縣,海端鄉,2,1537,3.00
17103,2023-02-03,台東縣,海端鄉,5,1535,2.86
17489,2023-02-02,台東縣,海端鄉,4,1530,2.86
17870,2023-02-01,台東縣,海端鄉,4,1526,2.29
18251,2023-01-31,台東縣,海端鄉,1,1522,1.71
18636,2023-01-30,台東縣,海端鄉,2,1521,2.00
19022,2023-01-29,台東縣,海端鄉,3,1519,1.71
19400,2023-01-28,台東縣,海端鄉,1,1516,1.43
19776,2023-01-27,台東縣,海端鄉,5,1515,1.43
20895,2023-01-24,台東縣,海端鄉,3,1510,0.86
21636,2023-01-22,台東縣,海端鄉,1,1507,0.86
22004,2023-01-21,台東縣,海端鄉,1,1506,0.86
23115,2023-01-18,台東縣,海端鄉,1,1505,1.00
23481,2023-01-17,台東縣,海端鄉,1,1504,0.86
23847,2023-01-16,台東縣,海端鄉,2,1503,0.71
24225,2023-01-15,台東縣,海端鄉,1,1501,0.43
25328,2023-01-12,台東縣,海端鄉,2,1500,0.43
27184,2023-01-07,台東縣,海端鄉,1,1498,1.29
27935,2023-01-05,台東縣,海端鄉,2,1497,1.14
28314,2023-01-04,台東縣,海端鄉,1,1495,1.14
28696,2023-01-03,台東縣,海端鄉,3,1494,1.29
29076,2023-01-02,台東縣,海端鄉,2,1491,1.29
30548,2022-12-29,台東縣,海端鄉,2,1489,1.57
30920,2022-12-28,台東縣,海端鄉,2,1487,1.29
31291,2022-12-27,台東縣,海端鄉,3,1485,1.00
31666,2022-12-26,台東縣,海端鄉,1,1482,0.57
32033,2022-12-25,台東縣,海端鄉,1,1481,0.43
32392,2022-12-24,台東縣,海端鄉,1,1480,0.43
32749,2022-12-23,台東縣,海端鄉,1,1479,0.43
34580,2022-12-18,台東縣,海端鄉,1,1478,0.71
34932,2022-12-17,台東縣,海端鄉,1,1477,0.71
35296,2022-12-16,台東縣,海端鄉,1,1476,0.71
35659,2022-12-15,台東縣,海端鄉,1,1475,0.71
36388,2022-12-13,台東縣,海端鄉,1,1474,0.86
37129,2022-12-11,台東縣,海端鄉,1,1473,0.86
37489,2022-12-10,台東縣,海端鄉,1,1472,0.86
37853,2022-12-09,台東縣,海端鄉,1,1471,0.71
38597,2022-12-07,台東縣,海端鄉,2,1470,0.86
38963,2022-12-06,台東縣,海端鄉,1,1468,0.57
39714,2022-12-04,台東縣,海端鄉,1,1467,0.86
40817,2022-12-01,台東縣,海端鄉,2,1466,1.57
41564,2022-11-29,台東縣,海端鄉,1,1464,2.00
41942,2022-11-28,台東縣,海端鄉,2,1463,2.14
42317,2022-11-27,台東縣,海端鄉,2,1461,1.86
43036,2022-11-25,台東縣,海端鄉,4,1459,1.57
43406,2022-11-24,台東縣,海端鄉,2,1455,1.00
43775,2022-11-23,台東縣,海端鄉,3,1453,0.71
44147,2022-11-22,台東縣,海端鄉,2,1450,0.29
47148,2022-11-14,台東縣,海端鄉,2,1448,1.00
47526,2022-11-13,台東縣,海端鄉,1,1446,0.71
48655,2022-11-10,台東縣,海端鄉,3,1445,0.86
49038,2022-11-09,台東縣,海端鄉,1,1442,0.86
50558,2022-11-05,台東縣,海端鄉,1,1441,1.71
50940,2022-11-04,台東縣,海端鄉,1,1440,1.71
51323,2022-11-03,台東縣,海端鄉,3,1439,1.57
51703,2022-11-02,台東縣,海端鄉,3,1436,1.14
52090,2022-11-01,台東縣,海端鄉,1,1433,1.43
52473,2022-10-31,台東縣,海端鄉,3,1432,2.00
53233,2022-10-29,台東縣,海端鄉,1,1429,2.43
54388,2022-10-26,台東縣,海端鄉,5,1428,3.57
54774,2022-10-25,台東縣,海端鄉,5,1423,3.14
55165,2022-10-24,台東縣,海端鄉,4,1418,2.57
55550,2022-10-23,台東縣,海端鄉,2,1414,2.71
55931,2022-10-22,台東縣,海端鄉,4,1412,2.71
56317,2022-10-21,台東縣,海端鄉,2,1408,2.43
56705,2022-10-20,台東縣,海端鄉,3,1406,2.43
57091,2022-10-19,台東縣,海端鄉,2,1403,3.00
57478,2022-10-18,台東縣,海端鄉,1,1401,3.71
57868,2022-10-17,台東縣,海端鄉,5,1400,4.86
58257,2022-10-16,台東縣,海端鄉,2,1395,4.43
58642,2022-10-15,台東縣,海端鄉,2,1393,4.86
59028,2022-10-14,台東縣,海端鄉,2,1391,5.29
59417,2022-10-13,台東縣,海端鄉,7,1389,5.43
59808,2022-10-12,台東縣,海端鄉,7,1382,5.00
60198,2022-10-11,台東縣,海端鄉,9,1375,4.29
60588,2022-10-10,台東縣,海端鄉,2,1366,3.29
60972,2022-10-09,台東縣,海端鄉,5,1364,3.29
61360,2022-10-08,台東縣,海端鄉,5,1359,2.57
61749,2022-10-07,台東縣,海端鄉,3,1354,2.00
62136,2022-10-06,台東縣,海端鄉,4,1351,2.00
62527,2022-10-05,台東縣,海端鄉,2,1347,2.29
62914,2022-10-04,台東縣,海端鄉,2,1345,2.71
63303,2022-10-03,台東縣,海端鄉,2,1343,3.14
64074,2022-10-01,台東縣,海端鄉,1,1341,3.14
64460,2022-09-30,台東縣,海端鄉,3,1340,3.71
64846,2022-09-29,台東縣,海端鄉,6,1337,4.14
65234,2022-09-28,台東縣,海端鄉,5,1331,4.14
65621,2022-09-27,台東縣,海端鄉,5,1326,4.29
66007,2022-09-26,台東縣,海端鄉,1,1321,4.14
66394,2022-09-25,台東縣,海端鄉,1,1320,5.14
66779,2022-09-24,台東縣,海端鄉,5,1319,5.29
67164,2022-09-23,台東縣,海端鄉,6,1314,4.71
67551,2022-09-22,台東縣,海端鄉,6,1308,4.14
67940,2022-09-21,台東縣,海端鄉,6,1302,3.71
68329,2022-09-20,台東縣,海端鄉,4,1296,3.29
68719,2022-09-19,台東縣,海端鄉,8,1292,3.71
69109,2022-09-18,台東縣,海端鄉,2,1284,3.71
69492,2022-09-17,台東縣,海端鄉,1,1282,3.43
69879,2022-09-16,台東縣,海端鄉,2,1281,3.57
70264,2022-09-15,台東縣,海端鄉,3,1279,3.29
70651,2022-09-14,台東縣,海端鄉,3,1276,3.00
71037,2022-09-13,台東縣,海端鄉,7,1273,2.86
71426,2022-09-12,台東縣,海端鄉,8,1266,2.29
72196,2022-09-10,台東縣,海端鄉,2,1258,2.43
72961,2022-09-08,台東縣,海端鄉,1,1256,2.57
73348,2022-09-07,台東縣,海端鄉,2,1255,3.14
73732,2022-09-06,台東縣,海端鄉,3,1253,3.43
74118,2022-09-05,台東縣,海端鄉,5,1250,4.14
74503,2022-09-04,台東縣,海端鄉,4,1245,4.29
74886,2022-09-03,台東縣,海端鄉,1,1241,4.00
75274,2022-09-02,台東縣,海端鄉,2,1240,4.29
75660,2022-09-01,台東縣,海端鄉,5,1238,5.14
76049,2022-08-31,台東縣,海端鄉,4,1233,4.86
76436,2022-08-30,台東縣,海端鄉,8,1229,5.29
76824,2022-08-29,台東縣,海端鄉,6,1221,4.43
77211,2022-08-28,台東縣,海端鄉,2,1215,3.86
77596,2022-08-27,台東縣,海端鄉,3,1213,3.57
77982,2022-08-26,台東縣,海端鄉,8,1210,3.14
78366,2022-08-25,台東縣,海端鄉,3,1202,2.14
78751,2022-08-24,台東縣,海端鄉,7,1199,2.14
79139,2022-08-23,台東縣,海端鄉,2,1192,1.43
79523,2022-08-22,台東縣,海端鄉,2,1190,1.43
80671,2022-08-19,台東縣,海端鄉,1,1188,2.00
81057,2022-08-18,台東縣,海端鄉,3,1187,2.00
81446,2022-08-17,台東縣,海端鄉,2,1184,2.00
81831,2022-08-16,台東縣,海端鄉,2,1182,2.43
82218,2022-08-15,台東縣,海端鄉,2,1180,2.14
82602,2022-08-14,台東縣,海端鄉,3,1178,2.86
82979,2022-08-13,台東縣,海端鄉,1,1175,2.86
83360,2022-08-12,台東縣,海端鄉,1,1174,3.00
83745,2022-08-11,台東縣,海端鄉,3,1173,3.29
84131,2022-08-10,台東縣,海端鄉,5,1170,3.43
84900,2022-08-08,台東縣,海端鄉,7,1165,3.29
85281,2022-08-07,台東縣,海端鄉,3,1158,3.00
85655,2022-08-06,台東縣,海端鄉,2,1155,2.71
86038,2022-08-05,台東縣,海端鄉,3,1153,2.57
86424,2022-08-04,台東縣,海端鄉,4,1150,2.29
86809,2022-08-03,台東縣,海端鄉,3,1146,2.29
87191,2022-08-02,台東縣,海端鄉,1,1143,2.71
