UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
154,2023-09-17,台東縣,全區,87.00,81.30,1.00,68.00,18.90,0.00,0.00,0.00
155,2023-09-17,台東縣,6個月-4歲,30.70,17.80,2.10,1.00,0.00,0.00,0.00,0.00
156,2023-09-17,台東縣,5-11歲,79.80,62.10,0.30,29.80,0.10,0.00,0.00,0.00
157,2023-09-17,台東縣,12-17歲,94.40,86.60,0.10,67.00,20.60,0.00,0.00,0.00
158,2023-09-17,台東縣,18-29歲,95.40,90.50,0.70,74.70,12.60,0.00,0.00,0.00
159,2023-09-17,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.30,0.00,0.00,0.00
160,2023-09-17,台東縣,50-64歲,87.40,83.20,1.10,72.80,21.50,0.00,0.00,0.00
161,2023-09-17,台東縣,65-74歲,86.70,83.30,1.30,74.70,33.20,8.40,0.00,0.00
162,2023-09-17,台東縣,75歲以上,79.60,74.60,1.20,64.60,31.50,7.80,0.00,0.00
409,2023-09-10,台東縣,全區,87.00,81.30,1.00,68.00,18.90,0.00,0.00,0.00
410,2023-09-10,台東縣,6個月-4歲,30.90,17.80,2.10,1.00,0.00,0.00,0.00,0.00
411,2023-09-10,台東縣,5-11歲,80.00,62.40,0.30,30.00,0.10,0.00,0.00,0.00
412,2023-09-10,台東縣,12-17歲,94.40,86.70,0.10,67.20,20.70,0.00,0.00,0.00
413,2023-09-10,台東縣,18-29歲,95.50,90.60,0.70,74.80,12.60,0.00,0.00,0.00
414,2023-09-10,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
415,2023-09-10,台東縣,50-64歲,87.40,83.20,1.10,72.80,21.50,0.00,0.00,0.00
416,2023-09-10,台東縣,65-74歲,86.60,83.20,1.30,74.60,33.20,8.40,0.00,0.00
417,2023-09-10,台東縣,75歲以上,79.50,74.50,1.20,64.40,31.40,7.80,0.00,0.00
664,2023-09-03,台東縣,全區,87.00,81.40,1.00,68.00,18.90,0.00,0.00,0.00
665,2023-09-03,台東縣,6個月-4歲,31.20,17.90,2.10,1.00,0.00,0.00,0.00,0.00
666,2023-09-03,台東縣,5-11歲,80.20,62.60,0.30,30.10,0.10,0.00,0.00,0.00
667,2023-09-03,台東縣,12-17歲,94.40,86.70,0.10,67.30,20.70,0.00,0.00,0.00
668,2023-09-03,台東縣,18-29歲,95.60,90.60,0.70,74.80,12.60,0.00,0.00,0.00
669,2023-09-03,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.30,0.00,0.00,0.00
670,2023-09-03,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
671,2023-09-03,台東縣,65-74歲,86.40,83.10,1.30,74.50,33.20,8.40,0.00,0.00
672,2023-09-03,台東縣,75歲以上,79.50,74.40,1.20,64.40,31.40,7.80,0.00,0.00
919,2023-08-27,台東縣,全區,87.00,81.40,1.00,68.00,18.90,0.00,0.00,0.00
920,2023-08-27,台東縣,6個月-4歲,31.40,18.00,2.10,1.00,0.00,0.00,0.00,0.00
921,2023-08-27,台東縣,5-11歲,80.40,62.70,0.30,30.20,0.10,0.00,0.00,0.00
922,2023-08-27,台東縣,12-17歲,94.60,86.90,0.10,67.50,20.80,0.00,0.00,0.00
923,2023-08-27,台東縣,18-29歲,95.60,90.70,0.70,74.90,12.60,0.00,0.00,0.00
924,2023-08-27,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.30,0.00,0.00,0.00
925,2023-08-27,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
926,2023-08-27,台東縣,65-74歲,86.30,83.00,1.30,74.40,33.10,8.40,0.00,0.00
927,2023-08-27,台東縣,75歲以上,79.50,74.40,1.20,64.30,31.40,7.80,0.00,0.00
1174,2023-08-20,台東縣,全區,87.00,81.40,1.00,68.00,18.90,0.00,0.00,0.00
1175,2023-08-20,台東縣,6個月-4歲,31.40,18.00,2.00,1.00,0.00,0.00,0.00,0.00
1176,2023-08-20,台東縣,5-11歲,80.70,63.10,0.30,30.40,0.10,0.00,0.00,0.00
1177,2023-08-20,台東縣,12-17歲,95.00,87.30,0.10,67.80,20.90,0.00,0.00,0.00
1178,2023-08-20,台東縣,18-29歲,95.50,90.50,0.70,74.70,12.60,0.00,0.00,0.00
1179,2023-08-20,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
1180,2023-08-20,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
1181,2023-08-20,台東縣,65-74歲,86.50,83.20,1.30,74.50,33.20,8.40,0.00,0.00
1182,2023-08-20,台東縣,75歲以上,79.30,74.30,1.20,64.20,31.30,7.80,0.00,0.00
1429,2023-08-13,台東縣,全區,87.10,81.40,1.00,68.10,18.90,0.00,0.00,0.00
1430,2023-08-13,台東縣,6個月-4歲,31.50,17.90,2.10,1.00,0.00,0.00,0.00,0.00
1431,2023-08-13,台東縣,5-11歲,81.00,63.30,0.30,30.50,0.10,0.00,0.00,0.00
1432,2023-08-13,台東縣,12-17歲,95.20,87.50,0.10,68.00,21.00,0.00,0.00,0.00
1433,2023-08-13,台東縣,18-29歲,95.60,90.60,0.70,74.80,12.60,0.00,0.00,0.00
1434,2023-08-13,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
1435,2023-08-13,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.50,0.00,0.00,0.00
1436,2023-08-13,台東縣,65-74歲,86.40,83.10,1.30,74.50,33.20,8.40,0.00,0.00
1437,2023-08-13,台東縣,75歲以上,79.20,74.20,1.30,64.10,31.20,7.80,0.00,0.00
1684,2023-08-06,台東縣,全區,87.10,81.40,1.00,68.10,18.90,0.00,0.00,0.00
1685,2023-08-06,台東縣,6個月-4歲,31.70,18.00,2.10,0.90,0.00,0.00,0.00,0.00
1686,2023-08-06,台東縣,5-11歲,81.00,63.40,0.30,30.60,0.10,0.00,0.00,0.00
1687,2023-08-06,台東縣,12-17歲,95.20,87.50,0.10,68.10,21.00,0.00,0.00,0.00
1688,2023-08-06,台東縣,18-29歲,95.70,90.70,0.70,74.90,12.70,0.00,0.00,0.00
1689,2023-08-06,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
1690,2023-08-06,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
1691,2023-08-06,台東縣,65-74歲,86.30,83.00,1.30,74.40,33.20,8.30,0.00,0.00
1692,2023-08-06,台東縣,75歲以上,79.20,74.20,1.30,64.10,31.20,7.70,0.00,0.00
1939,2023-07-30,台東縣,全區,87.10,81.40,1.00,68.10,18.90,0.00,0.00,0.00
1940,2023-07-30,台東縣,6個月-4歲,31.90,18.00,2.10,0.90,0.00,0.00,0.00,0.00
1941,2023-07-30,台東縣,5-11歲,81.10,63.50,0.30,30.70,0.10,0.00,0.00,0.00
1942,2023-07-30,台東縣,12-17歲,95.30,87.70,0.10,68.20,21.10,0.00,0.00,0.00
1943,2023-07-30,台東縣,18-29歲,95.70,90.80,0.70,74.90,12.70,0.00,0.00,0.00
1944,2023-07-30,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.20,0.00,0.00,0.00
1945,2023-07-30,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
1946,2023-07-30,台東縣,65-74歲,86.20,82.90,1.30,74.20,33.10,8.30,0.00,0.00
1947,2023-07-30,台東縣,75歲以上,79.20,74.10,1.30,64.00,31.20,7.70,0.00,0.00
2194,2023-07-23,台東縣,全區,87.10,81.40,1.00,68.10,18.90,0.00,0.00,0.00
2195,2023-07-23,台東縣,6個月-4歲,32.20,18.10,2.10,0.90,0.00,0.00,0.00,0.00
2196,2023-07-23,台東縣,5-11歲,81.20,63.60,0.30,30.80,0.10,0.00,0.00,0.00
2197,2023-07-23,台東縣,12-17歲,95.30,87.70,0.10,68.30,21.10,0.00,0.00,0.00
2198,2023-07-23,台東縣,18-29歲,95.80,90.80,0.70,75.00,12.70,0.00,0.00,0.00
2199,2023-07-23,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.20,0.00,0.00,0.00
2200,2023-07-23,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.60,0.00,0.00,0.00
2201,2023-07-23,台東縣,65-74歲,86.00,82.70,1.30,74.10,33.10,8.30,0.00,0.00
2202,2023-07-23,台東縣,75歲以上,79.20,74.10,1.30,63.90,31.10,7.70,0.00,0.00
2449,2023-07-16,台東縣,全區,87.10,81.40,1.00,68.10,18.80,0.00,0.00,0.00
2450,2023-07-16,台東縣,6個月-4歲,32.50,18.20,2.00,0.90,0.00,0.00,0.00,0.00
2451,2023-07-16,台東縣,5-11歲,81.20,63.60,0.30,30.90,0.10,0.00,0.00,0.00
2452,2023-07-16,台東縣,12-17歲,95.10,87.50,0.10,68.30,21.10,0.00,0.00,0.00
2453,2023-07-16,台東縣,18-29歲,95.60,90.70,0.70,74.90,12.60,0.00,0.00,0.00
2454,2023-07-16,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
2455,2023-07-16,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.50,0.00,0.00,0.00
2456,2023-07-16,台東縣,65-74歲,86.30,83.00,1.30,74.30,33.20,8.30,0.00,0.00
2457,2023-07-16,台東縣,75歲以上,79.00,73.90,1.30,63.80,31.00,7.70,0.00,0.00
2704,2023-07-09,台東縣,全區,87.10,81.40,1.00,68.10,18.80,0.00,0.00,0.00
2705,2023-07-09,台東縣,6個月-4歲,32.60,18.20,2.00,0.80,0.00,0.00,0.00,0.00
2706,2023-07-09,台東縣,5-11歲,81.30,63.80,0.20,30.90,0.10,0.00,0.00,0.00
2707,2023-07-09,台東縣,12-17歲,95.00,87.50,0.10,68.40,21.20,0.00,0.00,0.00
2708,2023-07-09,台東縣,18-29歲,95.70,90.80,0.70,75.00,12.70,0.00,0.00,0.00
2709,2023-07-09,台東縣,30-49歲,91.00,86.20,1.10,73.90,16.20,0.00,0.00,0.00
2710,2023-07-09,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.60,0.00,0.00,0.00
2711,2023-07-09,台東縣,65-74歲,86.20,82.90,1.30,74.30,33.20,8.30,0.00,0.00
2712,2023-07-09,台東縣,75歲以上,79.00,73.90,1.30,63.70,31.00,7.70,0.00,0.00
2959,2023-07-02,台東縣,全區,87.10,81.40,1.00,68.10,18.80,0.00,0.00,0.00
2960,2023-07-02,台東縣,6個月-4歲,32.80,18.20,2.00,0.80,0.00,0.00,0.00,0.00
2961,2023-07-02,台東縣,5-11歲,81.40,63.80,0.20,31.00,0.10,0.00,0.00,0.00
2962,2023-07-02,台東縣,12-17歲,95.10,87.70,0.10,68.50,21.20,0.00,0.00,0.00
2963,2023-07-02,台東縣,18-29歲,95.70,90.80,0.70,75.00,12.60,0.00,0.00,0.00
2964,2023-07-02,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.20,0.00,0.00,0.00
2965,2023-07-02,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
2966,2023-07-02,台東縣,65-74歲,86.20,82.90,1.30,74.30,33.10,8.20,0.00,0.00
2967,2023-07-02,台東縣,75歲以上,79.00,73.90,1.30,63.70,31.00,7.60,0.00,0.00
3214,2023-06-25,台東縣,全區,87.10,81.50,1.00,68.10,18.80,0.00,0.00,0.00
3215,2023-06-25,台東縣,6個月-4歲,33.00,18.10,2.00,0.70,0.00,0.00,0.00,0.00
3216,2023-06-25,台東縣,5-11歲,81.50,64.00,0.20,31.10,0.10,0.00,0.00,0.00
3217,2023-06-25,台東縣,12-17歲,95.10,87.70,0.10,68.60,21.30,0.00,0.00,0.00
3218,2023-06-25,台東縣,18-29歲,95.70,90.80,0.70,75.00,12.70,0.00,0.00,0.00
3219,2023-06-25,台東縣,30-49歲,91.10,86.30,1.10,73.90,16.20,0.00,0.00,0.00
3220,2023-06-25,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.50,0.00,0.00,0.00
3221,2023-06-25,台東縣,65-74歲,86.10,82.80,1.30,74.20,33.10,8.20,0.00,0.00
3222,2023-06-25,台東縣,75歲以上,79.00,73.90,1.30,63.60,30.90,7.60,0.00,0.00
3469,2023-06-18,台東縣,全區,87.10,81.50,1.00,68.10,18.80,0.00,0.00,0.00
3470,2023-06-18,台東縣,6個月-4歲,33.10,18.20,2.00,0.70,0.00,0.00,0.00,0.00
3471,2023-06-18,台東縣,5-11歲,81.50,64.00,0.20,31.20,0.10,0.00,0.00,0.00
3472,2023-06-18,台東縣,12-17歲,95.20,87.80,0.10,68.80,21.40,0.00,0.00,0.00
3473,2023-06-18,台東縣,18-29歲,95.80,90.90,0.70,75.10,12.60,0.00,0.00,0.00
3474,2023-06-18,台東縣,30-49歲,91.10,86.30,1.10,73.90,16.20,0.00,0.00,0.00
3475,2023-06-18,台東縣,50-64歲,87.50,83.30,1.10,72.90,21.50,0.00,0.00,0.00
3476,2023-06-18,台東縣,65-74歲,85.90,82.60,1.30,74.00,33.00,8.20,0.00,0.00
3477,2023-06-18,台東縣,75歲以上,79.00,73.90,1.30,63.60,30.90,7.60,0.00,0.00
3724,2023-06-10,台東縣,全區,87.10,81.40,1.00,68.00,18.80,0.00,0.00,0.00
3725,2023-06-10,台東縣,6個月-4歲,33.20,18.20,2.00,0.50,0.00,0.00,0.00,0.00
3726,2023-06-10,台東縣,5-11歲,81.80,64.30,0.20,31.30,0.10,0.00,0.00,0.00
3727,2023-06-10,台東縣,12-17歲,95.00,87.60,0.10,68.60,21.30,0.00,0.00,0.00
3728,2023-06-10,台東縣,18-29歲,95.70,90.70,0.70,74.90,12.60,0.00,0.00,0.00
3729,2023-06-10,台東縣,30-49歲,91.10,86.20,1.10,73.90,16.10,0.00,0.00,0.00
3730,2023-06-10,台東縣,50-64歲,87.50,83.20,1.10,72.90,21.50,0.00,0.00,0.00
3731,2023-06-10,台東縣,65-74歲,86.00,82.80,1.30,74.10,33.10,8.10,0.00,0.00
3732,2023-06-10,台東縣,75歲以上,79.10,74.00,1.30,63.70,30.90,7.50,0.00,0.00
