UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
3226,2023-03-13,台東縣,達仁鄉,2,1029,0.71
4639,2023-03-09,台東縣,達仁鄉,2,1027,0.71
4995,2023-03-08,台東縣,達仁鄉,1,1025,0.43
6069,2023-03-05,台東縣,達仁鄉,1,1024,0.43
6767,2023-03-03,台東縣,達仁鄉,1,1023,0.43
7494,2023-03-01,台東縣,達仁鄉,1,1022,0.43
8933,2023-02-25,台東縣,達仁鄉,1,1021,1.00
9300,2023-02-24,台東縣,達仁鄉,1,1020,0.86
10409,2023-02-21,台東縣,達仁鄉,1,1019,1.43
10781,2023-02-20,台東縣,達仁鄉,3,1018,1.86
11151,2023-02-19,台東縣,達仁鄉,1,1015,2.00
11883,2023-02-17,台東縣,達仁鄉,2,1014,2.14
12257,2023-02-16,台東縣,達仁鄉,1,1012,1.86
12632,2023-02-15,台東縣,達仁鄉,2,1011,2.00
13007,2023-02-14,台東縣,達仁鄉,4,1009,1.71
13378,2023-02-13,台東縣,達仁鄉,4,1005,1.71
13752,2023-02-12,台東縣,達仁鄉,2,1001,1.71
14857,2023-02-09,台東縣,達仁鄉,2,999,1.71
15616,2023-02-07,台東縣,達仁鄉,4,997,2.00
15996,2023-02-06,台東縣,達仁鄉,4,993,1.57
17124,2023-02-03,台東縣,達仁鄉,2,989,2.00
17511,2023-02-02,台東縣,達仁鄉,3,987,2.00
17891,2023-02-01,台東縣,達仁鄉,1,984,1.86
18273,2023-01-31,台東縣,達仁鄉,1,983,1.71
18658,2023-01-30,台東縣,達仁鄉,2,982,1.71
19043,2023-01-29,台東縣,達仁鄉,4,980,1.43
19421,2023-01-28,台東縣,達仁鄉,1,976,1.00
19797,2023-01-27,台東縣,達仁鄉,2,975,0.86
20176,2023-01-26,台東縣,達仁鄉,2,973,0.57
20917,2023-01-24,台東縣,達仁鄉,1,971,0.29
21657,2023-01-22,台東縣,達仁鄉,1,970,0.14
25720,2023-01-11,台東縣,達仁鄉,1,969,1.00
26098,2023-01-10,台東縣,達仁鄉,2,968,1.14
26472,2023-01-09,台東縣,達仁鄉,2,966,1.00
27577,2023-01-06,台東縣,達仁鄉,1,964,1.00
27956,2023-01-05,台東縣,達仁鄉,1,963,0.86
28336,2023-01-04,台東縣,達仁鄉,2,962,0.71
28718,2023-01-03,台東縣,達仁鄉,1,960,0.71
29467,2023-01-01,台東縣,達仁鄉,2,959,0.86
30941,2022-12-28,台東縣,達仁鄉,2,957,0.86
31313,2022-12-27,台東縣,達仁鄉,1,955,0.57
31687,2022-12-26,台東縣,達仁鄉,1,954,0.57
32769,2022-12-23,台東縣,達仁鄉,2,953,0.71
33869,2022-12-20,台東縣,達仁鄉,1,951,0.71
34235,2022-12-19,台東縣,達仁鄉,2,950,1.14
35318,2022-12-16,台東縣,達仁鄉,1,948,1.43
35679,2022-12-15,台東縣,達仁鄉,1,947,1.29
36410,2022-12-13,台東縣,達仁鄉,4,946,1.71
36787,2022-12-12,台東縣,達仁鄉,1,942,1.14
37146,2022-12-11,台東縣,達仁鄉,1,941,1.14
37508,2022-12-10,台東縣,達仁鄉,2,940,1.29
38244,2022-12-08,台東縣,達仁鄉,3,938,1.43
38618,2022-12-07,台東縣,達仁鄉,1,935,1.00
39360,2022-12-05,台東縣,達仁鄉,1,934,1.86
39735,2022-12-04,台東縣,達仁鄉,2,933,1.86
40101,2022-12-03,台東縣,達仁鄉,1,931,1.71
40468,2022-12-02,台東縣,達仁鄉,2,930,1.57
41210,2022-11-30,台東縣,達仁鄉,1,928,1.57
41585,2022-11-29,台東縣,達仁鄉,6,927,1.43
41963,2022-11-28,台東縣,達仁鄉,1,921,0.57
42336,2022-11-27,台東縣,達仁鄉,1,920,0.86
43426,2022-11-24,台東縣,達仁鄉,2,919,1.00
44546,2022-11-21,台東縣,達仁鄉,3,917,1.00
44922,2022-11-20,台東縣,達仁鄉,1,914,0.71
45289,2022-11-19,台東縣,達仁鄉,1,913,0.71
46408,2022-11-16,台東縣,達仁鄉,1,912,1.57
46790,2022-11-15,台東縣,達仁鄉,1,911,1.57
47168,2022-11-14,台東縣,達仁鄉,1,910,2.00
47545,2022-11-13,台東縣,達仁鄉,1,909,2.43
48297,2022-11-11,台東縣,達仁鄉,2,908,2.57
48676,2022-11-10,台東縣,達仁鄉,5,906,2.86
49059,2022-11-09,台東縣,達仁鄉,1,901,3.43
49446,2022-11-08,台東縣,達仁鄉,4,900,3.86
49831,2022-11-07,台東縣,達仁鄉,4,896,3.43
50208,2022-11-06,台東縣,達仁鄉,1,892,4.14
50578,2022-11-05,台東縣,達仁鄉,1,891,4.00
50962,2022-11-04,台東縣,達仁鄉,4,890,4.00
51345,2022-11-03,台東縣,達仁鄉,9,886,4.00
51725,2022-11-02,台東縣,達仁鄉,4,877,2.86
52112,2022-11-01,台東縣,達仁鄉,1,873,2.86
52495,2022-10-31,台東縣,達仁鄉,9,872,3.29
53255,2022-10-29,台東縣,達仁鄉,1,863,2.71
53639,2022-10-28,台東縣,達仁鄉,4,862,2.71
54025,2022-10-27,台東縣,達仁鄉,1,858,2.29
54410,2022-10-26,台東縣,達仁鄉,4,857,2.14
54796,2022-10-25,台東縣,達仁鄉,4,853,1.57
55187,2022-10-24,台東縣,達仁鄉,2,849,1.29
55572,2022-10-23,台東縣,達仁鄉,3,847,1.43
55953,2022-10-22,台東縣,達仁鄉,1,844,1.00
56339,2022-10-21,台東縣,達仁鄉,1,843,1.14
57500,2022-10-18,台東縣,達仁鄉,2,842,2.14
57890,2022-10-17,台東縣,達仁鄉,3,840,2.43
58664,2022-10-15,台東縣,達仁鄉,2,837,2.43
59050,2022-10-14,台東縣,達仁鄉,1,835,2.86
59439,2022-10-13,台東縣,達仁鄉,4,834,2.86
59830,2022-10-12,台東縣,達仁鄉,3,830,2.86
60220,2022-10-11,台東縣,達仁鄉,4,827,2.57
60610,2022-10-10,台東縣,達仁鄉,3,823,2.14
61382,2022-10-08,台東縣,達仁鄉,5,820,2.71
61771,2022-10-07,台東縣,達仁鄉,1,815,2.14
62158,2022-10-06,台東縣,達仁鄉,4,814,2.71
62549,2022-10-05,台東縣,達仁鄉,1,810,2.57
62936,2022-10-04,台東縣,達仁鄉,1,809,3.00
63325,2022-10-03,台東縣,達仁鄉,2,808,3.43
63715,2022-10-02,台東縣,達仁鄉,5,806,3.57
64096,2022-10-01,台東縣,達仁鄉,1,801,3.29
64482,2022-09-30,台東縣,達仁鄉,5,800,3.29
64867,2022-09-29,台東縣,達仁鄉,3,795,3.14
