UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5017,2023-03-16,台東縣,金峰鄉,45-49,85
5018,2023-03-14,台東縣,金峰鄉,35-39,100
5019,2023-03-13,台東縣,金峰鄉,2,21
5020,2023-03-13,台東縣,金峰鄉,70+,96
5021,2023-03-13,台東縣,金峰鄉,40-44,86
5022,2023-03-13,台東縣,金峰鄉,30-34,112
5023,2023-03-12,台東縣,金峰鄉,0,16
5024,2023-03-11,台東縣,金峰鄉,60-64,88
5025,2023-03-11,台東縣,金峰鄉,55-59,97
5026,2023-03-11,台東縣,金峰鄉,3,24
5027,2023-03-07,台東縣,金峰鄉,15-19,108
5028,2023-03-06,台東縣,金峰鄉,5-9,103
5029,2023-03-01,台東縣,金峰鄉,50-54,85
5030,2023-03-01,台東縣,金峰鄉,65-69,70
5031,2023-02-23,台東縣,金峰鄉,4,14
5032,2023-02-22,台東縣,金峰鄉,20-24,114
5033,2023-02-04,台東縣,金峰鄉,1,14
5034,2023-01-23,台東縣,金峰鄉,10-14,112
5035,2023-01-19,台東縣,金峰鄉,25-29,93
