UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2056,2023-03-16,台東縣,金峰鄉,1,1438,1.43
2758,2023-03-14,台東縣,金峰鄉,1,1437,1.29
3116,2023-03-13,台東縣,金峰鄉,4,1436,1.57
3473,2023-03-12,台東縣,金峰鄉,1,1432,1.43
3822,2023-03-11,台東縣,金峰鄉,3,1431,1.29
5241,2023-03-07,台東縣,金峰鄉,3,1428,1.29
5602,2023-03-06,台東縣,金峰鄉,3,1425,1.00
7016,2023-03-02,台東縣,金峰鄉,1,1422,1.00
7379,2023-03-01,台東縣,金峰鄉,2,1421,1.14
7751,2023-02-28,台東縣,金峰鄉,1,1419,1.00
8115,2023-02-27,台東縣,金峰鄉,1,1418,1.00
8817,2023-02-25,台東縣,金峰鄉,2,1417,1.29
9549,2023-02-23,台東縣,金峰鄉,2,1415,1.14
9919,2023-02-22,台東縣,金峰鄉,1,1413,1.29
10294,2023-02-21,台東縣,金峰鄉,1,1412,1.14
10664,2023-02-20,台東縣,金峰鄉,2,1411,1.00
11041,2023-02-19,台東縣,金峰鄉,1,1409,0.71
11768,2023-02-17,台東縣,金峰鄉,1,1408,1.00
12141,2023-02-16,台東縣,金峰鄉,3,1407,0.86
13639,2023-02-12,台東縣,金峰鄉,2,1404,1.43
13996,2023-02-11,台東縣,金峰鄉,1,1402,1.29
15498,2023-02-07,台東縣,金峰鄉,1,1401,2.57
15877,2023-02-06,台東縣,金峰鄉,6,1400,3.43
16257,2023-02-05,台東縣,金峰鄉,1,1394,2.57
16627,2023-02-04,台東縣,金峰鄉,2,1393,2.57
17006,2023-02-03,台東縣,金峰鄉,1,1391,2.29
17392,2023-02-02,台東縣,金峰鄉,1,1390,2.14
17775,2023-02-01,台東縣,金峰鄉,6,1389,2.29
18152,2023-01-31,台東縣,金峰鄉,7,1383,1.43
18924,2023-01-29,台東縣,金峰鄉,1,1376,0.57
20059,2023-01-26,台東縣,金峰鄉,2,1375,0.57
21173,2023-01-23,台東縣,金峰鄉,1,1373,0.71
21906,2023-01-21,台東縣,金峰鄉,1,1372,0.71
22645,2023-01-19,台東縣,金峰鄉,2,1371,1.57
23017,2023-01-18,台東縣,金峰鄉,1,1369,1.71
23753,2023-01-16,台東縣,金峰鄉,1,1368,2.29
24494,2023-01-14,台東縣,金峰鄉,4,1367,2.71
24863,2023-01-13,台東縣,金峰鄉,3,1363,2.29
25232,2023-01-12,台東縣,金峰鄉,3,1360,2.00
25981,2023-01-10,台東縣,金峰鄉,5,1357,2.29
26354,2023-01-09,台東縣,金峰鄉,4,1352,2.00
27090,2023-01-07,台東縣,金峰鄉,1,1348,1.71
27461,2023-01-06,台東縣,金峰鄉,1,1347,1.71
27838,2023-01-05,台東縣,金峰鄉,1,1346,2.29
28217,2023-01-04,台東縣,金峰鄉,4,1345,2.43
28598,2023-01-03,台東縣,金峰鄉,3,1341,2.00
29351,2023-01-01,台東縣,金峰鄉,2,1338,2.71
29713,2022-12-31,台東縣,金峰鄉,1,1336,2.43
30078,2022-12-30,台東縣,金峰鄉,5,1335,2.29
30452,2022-12-29,台東縣,金峰鄉,2,1330,1.71
30824,2022-12-28,台東縣,金峰鄉,1,1328,1.57
31194,2022-12-27,台東縣,金峰鄉,3,1327,2.14
31571,2022-12-26,台東縣,金峰鄉,5,1324,1.86
32656,2022-12-23,台東縣,金峰鄉,1,1319,2.14
33021,2022-12-22,台東縣,金峰鄉,1,1318,2.57
33387,2022-12-21,台東縣,金峰鄉,5,1317,3.00
33758,2022-12-20,台東縣,金峰鄉,1,1312,2.57
34122,2022-12-19,台東縣,金峰鄉,4,1311,2.43
34840,2022-12-17,台東縣,金峰鄉,3,1307,2.57
35201,2022-12-16,台東縣,金峰鄉,4,1304,2.57
35565,2022-12-15,台東縣,金峰鄉,4,1300,2.43
35935,2022-12-14,台東縣,金峰鄉,2,1296,1.86
36670,2022-12-12,台東縣,金峰鄉,5,1294,2.00
37392,2022-12-10,台東縣,金峰鄉,3,1289,1.86
37761,2022-12-09,台東縣,金峰鄉,3,1286,1.71
38499,2022-12-07,台東縣,金峰鄉,3,1283,2.43
39243,2022-12-05,台東縣,金峰鄉,1,1280,3.14
39620,2022-12-04,台東縣,金峰鄉,3,1279,3.71
39985,2022-12-03,台東縣,金峰鄉,2,1276,3.43
40356,2022-12-02,台東縣,金峰鄉,4,1274,3.14
40723,2022-12-01,台東縣,金峰鄉,4,1270,2.86
41094,2022-11-30,台東縣,金峰鄉,5,1266,2.29
41466,2022-11-29,台東縣,金峰鄉,3,1261,2.00
41846,2022-11-28,台東縣,金峰鄉,5,1258,2.14
42223,2022-11-27,台東縣,金峰鄉,1,1253,1.57
42940,2022-11-25,台東縣,金峰鄉,2,1252,2.43
43681,2022-11-23,台東縣,金峰鄉,3,1250,2.57
