UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
45,2023-06-30,嘉義市,東區,1,44039,0.14
769,2023-03-20,嘉義市,東區,25,44038,35.86
1071,2023-03-19,嘉義市,東區,21,44013,42.00
1399,2023-03-18,嘉義市,東區,39,43992,42.57
1742,2023-03-17,嘉義市,東區,44,43953,42.43
2096,2023-03-16,嘉義市,東區,33,43909,40.14
2449,2023-03-15,嘉義市,東區,38,43876,40.43
2797,2023-03-14,嘉義市,東區,51,43838,42.57
3155,2023-03-13,嘉義市,東區,68,43787,42.00
3510,2023-03-12,嘉義市,東區,25,43719,41.14
3860,2023-03-11,嘉義市,東區,38,43694,41.43
4211,2023-03-10,嘉義市,東區,28,43656,42.14
4568,2023-03-09,嘉義市,東區,35,43628,44.86
4924,2023-03-08,嘉義市,東區,53,43593,47.43
5280,2023-03-07,嘉義市,東區,47,43540,49.71
5643,2023-03-06,嘉義市,東區,62,43493,51.00
6002,2023-03-05,嘉義市,東區,27,43431,48.57
6342,2023-03-04,嘉義市,東區,43,43404,48.14
6697,2023-03-03,嘉義市,東區,47,43361,49.57
7056,2023-03-02,嘉義市,東區,53,43314,51.29
7421,2023-03-01,嘉義市,東區,69,43261,53.00
7791,2023-02-28,嘉義市,東區,56,43192,53.00
8157,2023-02-27,嘉義市,東區,45,43136,55.57
8509,2023-02-26,嘉義市,東區,24,43091,62.57
8859,2023-02-25,嘉義市,東區,53,43067,65.14
9227,2023-02-24,嘉義市,東區,59,43014,67.71
9590,2023-02-23,嘉義市,東區,65,42955,67.43
9961,2023-02-22,嘉義市,東區,69,42890,66.43
10335,2023-02-21,嘉義市,東區,74,42821,64.43
10705,2023-02-20,嘉義市,東區,94,42747,63.71
11082,2023-02-19,嘉義市,東區,42,42653,64.43
11443,2023-02-18,嘉義市,東區,71,42611,65.00
11810,2023-02-17,嘉義市,東區,57,42540,64.57
12183,2023-02-16,嘉義市,東區,58,42483,67.57
12557,2023-02-15,嘉義市,東區,55,42425,71.14
12930,2023-02-14,嘉義市,東區,69,42370,76.43
13302,2023-02-13,嘉義市,東區,99,42301,81.57
13680,2023-02-12,嘉義市,東區,46,42202,83.00
14038,2023-02-11,嘉義市,東區,68,42156,86.86
14409,2023-02-10,嘉義市,東區,78,42088,89.57
14783,2023-02-09,嘉義市,東區,83,42010,91.14
15161,2023-02-08,嘉義市,東區,92,41927,94.43
15539,2023-02-07,嘉義市,東區,105,41835,97.14
15919,2023-02-06,嘉義市,東區,109,41730,97.00
16296,2023-02-05,嘉義市,東區,73,41621,101.71
16668,2023-02-04,嘉義市,東區,87,41548,103.00
17048,2023-02-03,嘉義市,東區,89,41461,106.29
17433,2023-02-02,嘉義市,東區,106,41372,109.29
17815,2023-02-01,嘉義市,東區,111,41266,110.86
18194,2023-01-31,嘉義市,東區,104,41155,107.71
18579,2023-01-30,嘉義市,東區,142,41051,104.71
18965,2023-01-29,嘉義市,東區,82,40909,94.00
19343,2023-01-28,嘉義市,東區,110,40827,90.00
19719,2023-01-27,嘉義市,東區,110,40717,85.71
20100,2023-01-26,嘉義市,東區,117,40607,82.00
20473,2023-01-25,嘉義市,東區,89,40490,76.14
20841,2023-01-24,嘉義市,東區,83,40401,71.86
21214,2023-01-23,嘉義市,東區,67,40318,70.86
21582,2023-01-22,嘉義市,東區,54,40251,73.29
21948,2023-01-21,嘉義市,東區,80,40197,72.43
22321,2023-01-20,嘉義市,東區,84,40117,72.00
22687,2023-01-19,嘉義市,東區,76,40033,69.00
23059,2023-01-18,嘉義市,東區,59,39957,69.57
23428,2023-01-17,嘉義市,東區,76,39898,72.43
23793,2023-01-16,嘉義市,東區,84,39822,76.43
24170,2023-01-15,嘉義市,東區,48,39738,82.43
24535,2023-01-14,嘉義市,東區,77,39690,87.43
24901,2023-01-13,嘉義市,東區,63,39613,89.71
25271,2023-01-12,嘉義市,東區,80,39550,92.71
25646,2023-01-11,嘉義市,東區,79,39470,93.86
26022,2023-01-10,嘉義市,東區,104,39391,100.57
26395,2023-01-09,嘉義市,東區,126,39287,102.57
26769,2023-01-08,嘉義市,東區,83,39161,103.00
27130,2023-01-07,嘉義市,東區,93,39078,102.29
27502,2023-01-06,嘉義市,東區,84,38985,99.14
27879,2023-01-05,嘉義市,東區,88,38901,101.14
28258,2023-01-04,嘉義市,東區,126,38813,101.86
28639,2023-01-03,嘉義市,東區,118,38687,102.71
29020,2023-01-02,嘉義市,東區,129,38569,100.00
29393,2023-01-01,嘉義市,東區,78,38440,98.14
29754,2022-12-31,嘉義市,東區,71,38362,91.43
30120,2022-12-30,嘉義市,東區,98,38291,92.43
30494,2022-12-29,嘉義市,東區,93,38193,89.14
30866,2022-12-28,嘉義市,東區,132,38100,84.57
31235,2022-12-27,嘉義市,東區,99,37968,76.86
