UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
532,2023-03-21,嘉義市,西區,2,54357,40.71
713,2023-03-20,嘉義市,西區,11,54355,49.00
1005,2023-03-19,嘉義市,西區,32,54344,57.29
1334,2023-03-18,嘉義市,西區,59,54312,58.00
1673,2023-03-17,嘉義市,西區,58,54253,59.43
2026,2023-03-16,嘉義市,西區,56,54195,57.00
2378,2023-03-15,嘉義市,西區,67,54139,57.86
2729,2023-03-14,嘉義市,西區,60,54072,55.57
3086,2023-03-13,嘉義市,西區,69,54012,55.29
3444,2023-03-12,嘉義市,西區,37,53943,56.29
3791,2023-03-11,嘉義市,西區,69,53906,57.43
4143,2023-03-10,嘉義市,西區,41,53837,59.14
4499,2023-03-09,嘉義市,西區,62,53796,61.00
4858,2023-03-08,嘉義市,西區,51,53734,61.43
5211,2023-03-07,嘉義市,西區,58,53683,65.86
5571,2023-03-06,嘉義市,西區,76,53625,67.57
5935,2023-03-05,嘉義市,西區,45,53549,65.71
6274,2023-03-04,嘉義市,西區,81,53504,66.14
6627,2023-03-03,嘉義市,西區,54,53423,66.14
6986,2023-03-02,嘉義市,西區,65,53369,69.29
7350,2023-03-01,嘉義市,西區,82,53304,69.43
7721,2023-02-28,嘉義市,西區,70,53222,67.00
8084,2023-02-27,嘉義市,西區,63,53152,67.57
8443,2023-02-26,嘉義市,西區,48,53089,75.29
8787,2023-02-25,嘉義市,西區,81,53041,76.86
9157,2023-02-24,嘉義市,西區,76,52960,76.00
9518,2023-02-23,嘉義市,西區,66,52884,74.00
9889,2023-02-22,嘉義市,西區,65,52818,78.14
10263,2023-02-21,嘉義市,西區,74,52753,81.00
10633,2023-02-20,嘉義市,西區,117,52679,85.29
11012,2023-02-19,嘉義市,西區,59,52562,84.43
11371,2023-02-18,嘉義市,西區,75,52503,85.29
11737,2023-02-17,嘉義市,西區,62,52428,87.29
12110,2023-02-16,嘉義市,西區,95,52366,90.00
12485,2023-02-15,嘉義市,西區,85,52271,87.00
12858,2023-02-14,嘉義市,西區,104,52186,89.14
13230,2023-02-13,嘉義市,西區,111,52082,88.71
13608,2023-02-12,嘉義市,西區,65,51971,88.00
13966,2023-02-11,嘉義市,西區,89,51906,86.57
14338,2023-02-10,嘉義市,西區,81,51817,89.00
14711,2023-02-09,嘉義市,西區,74,51736,91.43
15088,2023-02-08,嘉義市,西區,100,51662,95.43
15467,2023-02-07,嘉義市,西區,101,51562,99.14
15846,2023-02-06,嘉義市,西區,106,51461,107.14
16227,2023-02-05,嘉義市,西區,55,51355,109.86
16596,2023-02-04,嘉義市,西區,106,51300,119.43
16975,2023-02-03,嘉義市,西區,98,51194,127.00
17361,2023-02-02,嘉義市,西區,102,51096,129.71
17744,2023-02-01,嘉義市,西區,126,50994,130.86
18121,2023-01-31,嘉義市,西區,157,50868,125.57
