UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6725,2023-03-22,嘉義縣,全區,35-39,11374
6726,2023-03-21,嘉義縣,全區,15-19,10634
6727,2023-03-20,嘉義縣,全區,45-49,10101
6728,2023-03-20,嘉義縣,全區,30-34,11074
6729,2023-03-20,嘉義縣,全區,70+,15306
6730,2023-03-20,嘉義縣,全區,40-44,11795
6731,2023-03-20,嘉義縣,全區,20-24,12592
6732,2023-03-20,嘉義縣,全區,65-69,6838
6733,2023-03-20,嘉義縣,全區,5-9,8633
6734,2023-03-20,嘉義縣,全區,60-64,8421
6735,2023-03-20,嘉義縣,全區,25-29,12345
6736,2023-03-20,嘉義縣,全區,4,1519
6737,2023-03-20,嘉義縣,全區,50-54,9363
6738,2023-03-19,嘉義縣,全區,1,1516
6739,2023-03-19,嘉義縣,全區,3,1502
6740,2023-03-19,嘉義縣,全區,10-14,8731
6741,2023-03-19,嘉義縣,全區,55-59,8987
6742,2023-03-19,嘉義縣,全區,0,1101
6743,2023-03-17,嘉義縣,全區,2,1503
