UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
132,2023-04-07,嘉義縣,全區,1,494,0.43
182,2023-04-03,嘉義縣,全區,1,493,0.43
196,2023-04-02,嘉義縣,全區,1,492,0.57
235,2023-03-30,嘉義縣,全區,1,491,0.43
287,2023-03-27,嘉義縣,全區,2,490,0.43
404,2023-03-22,嘉義縣,全區,1,488,1.14
467,2023-03-20,嘉義縣,全區,1,487,1.14
505,2023-03-19,嘉義縣,全區,3,486,1.00
543,2023-03-18,嘉義縣,全區,1,483,0.71
588,2023-03-17,嘉義縣,全區,1,482,0.86
629,2023-03-16,嘉義縣,全區,1,481,0.86
709,2023-03-14,嘉義縣,全區,1,480,0.86
796,2023-03-12,嘉義縣,全區,1,479,0.86
841,2023-03-11,嘉義縣,全區,2,478,0.86
887,2023-03-10,嘉義縣,全區,1,476,0.71
985,2023-03-08,嘉義縣,全區,1,475,0.71
1073,2023-03-06,嘉義縣,全區,1,474,0.71
1133,2023-03-05,嘉義縣,全區,1,473,0.57
1184,2023-03-04,嘉義縣,全區,1,472,0.43
1241,2023-03-03,嘉義縣,全區,1,471,0.57
1345,2023-03-01,嘉義縣,全區,1,470,0.86
1572,2023-02-25,嘉義縣,全區,2,469,1.29
1632,2023-02-24,嘉義縣,全區,2,467,1.29
1686,2023-02-23,嘉義縣,全區,1,465,1.14
1753,2023-02-22,嘉義縣,全區,3,464,1.00
1866,2023-02-20,嘉義縣,全區,1,461,0.86
1981,2023-02-18,嘉義縣,全區,2,460,1.29
2031,2023-02-17,嘉義縣,全區,1,458,1.00
2218,2023-02-14,嘉義縣,全區,2,457,2.14
2287,2023-02-13,嘉義縣,全區,4,455,1.86
2478,2023-02-10,嘉義縣,全區,2,451,2.00
2543,2023-02-09,嘉義縣,全區,1,449,1.86
2609,2023-02-08,嘉義縣,全區,6,448,2.00
2748,2023-02-06,嘉義縣,全區,2,442,1.71
2815,2023-02-05,嘉義縣,全區,1,440,1.86
2868,2023-02-04,嘉義縣,全區,2,439,1.86
2925,2023-02-03,嘉義縣,全區,1,437,2.14
2990,2023-02-02,嘉義縣,全區,2,436,2.29
3063,2023-02-01,嘉義縣,全區,3,434,2.00
3126,2023-01-31,嘉義縣,全區,1,431,1.86
3179,2023-01-30,嘉義縣,全區,3,430,2.00
3239,2023-01-29,嘉義縣,全區,1,427,1.57
3296,2023-01-28,嘉義縣,全區,4,426,1.43
3341,2023-01-27,嘉義縣,全區,2,422,0.86
3453,2023-01-25,嘉義縣,全區,2,420,1.00
3506,2023-01-24,嘉義縣,全區,2,418,0.71
3697,2023-01-20,嘉義縣,全區,2,416,1.14
3747,2023-01-19,嘉義縣,全區,1,414,0.86
3837,2023-01-17,嘉義縣,全區,3,413,1.43
3943,2023-01-15,嘉義縣,全區,1,410,1.57
4007,2023-01-14,嘉義縣,全區,1,409,1.43
4097,2023-01-12,嘉義縣,全區,1,408,1.29
4145,2023-01-11,嘉義縣,全區,4,407,1.43
4196,2023-01-10,嘉義縣,全區,1,403,1.00
4250,2023-01-09,嘉義縣,全區,3,402,1.00
4441,2023-01-05,嘉義縣,全區,2,399,1.57
4488,2023-01-04,嘉義縣,全區,1,397,1.29
4547,2023-01-03,嘉義縣,全區,1,396,1.14
4601,2023-01-02,嘉義縣,全區,6,395,1.14
4658,2023-01-01,嘉義縣,全區,1,389,0.29
4878,2022-12-27,嘉義縣,全區,1,388,0.57
5071,2022-12-22,嘉義縣,全區,2,387,0.71
5103,2022-12-21,嘉義縣,全區,1,385,0.43
5218,2022-12-18,嘉義縣,全區,1,384,0.86
5255,2022-12-17,嘉義縣,全區,1,383,0.71
5379,2022-12-14,嘉義縣,全區,2,382,1.14
5419,2022-12-13,嘉義縣,全區,1,380,0.86
5453,2022-12-12,嘉義縣,全區,1,379,0.71
5510,2022-12-10,嘉義縣,全區,1,378,0.86
5553,2022-12-09,嘉義縣,全區,1,377,1.00
5595,2022-12-08,嘉義縣,全區,2,376,1.14
5748,2022-12-04,嘉義縣,全區,2,374,1.57
5778,2022-12-03,嘉義縣,全區,2,372,1.29
5823,2022-12-02,嘉義縣,全區,2,370,1.00
5865,2022-12-01,嘉義縣,全區,1,368,0.71
5901,2022-11-30,嘉義縣,全區,3,367,0.57
5977,2022-11-28,嘉義縣,全區,1,364,0.57
6183,2022-11-23,嘉義縣,全區,2,363,1.14
6227,2022-11-22,嘉義縣,全區,1,361,1.00
6278,2022-11-21,嘉義縣,全區,1,360,1.14
6380,2022-11-19,嘉義縣,全區,2,359,1.00
6475,2022-11-17,嘉義縣,全區,2,357,1.00
6527,2022-11-16,嘉義縣,全區,1,355,1.00
6567,2022-11-15,嘉義縣,全區,2,354,0.86
6795,2022-11-11,嘉義縣,全區,2,352,2.00
6855,2022-11-10,嘉義縣,全區,2,350,2.00
6981,2022-11-08,嘉義縣,全區,1,348,1.86
7036,2022-11-07,嘉義縣,全區,3,347,2.00
7095,2022-11-06,嘉義縣,全區,4,344,1.71
7151,2022-11-05,嘉義縣,全區,2,340,1.57
7210,2022-11-04,嘉義縣,全區,2,338,1.57
7270,2022-11-03,嘉義縣,全區,1,336,1.71
7390,2022-11-01,嘉義縣,全區,2,335,2.14
7457,2022-10-31,嘉義縣,全區,1,333,2.43
7517,2022-10-30,嘉義縣,全區,3,332,2.29
7577,2022-10-29,嘉義縣,全區,2,329,2.14
7650,2022-10-28,嘉義縣,全區,3,327,2.14
7790,2022-10-26,嘉義縣,全區,4,324,2.29
7857,2022-10-25,嘉義縣,全區,4,320,1.71
7998,2022-10-23,嘉義縣,全區,2,316,1.71
8074,2022-10-22,嘉義縣,全區,2,314,1.71
8218,2022-10-20,嘉義縣,全區,4,312,2.43
8354,2022-10-18,嘉義縣,全區,2,308,2.43
8435,2022-10-17,嘉義縣,全區,2,306,2.29
8506,2022-10-16,嘉義縣,全區,2,304,2.43
8567,2022-10-15,嘉義縣,全區,5,302,2.29
8638,2022-10-14,嘉義縣,全區,2,297,1.71
8711,2022-10-13,嘉義縣,全區,4,295,1.71
8853,2022-10-11,嘉義縣,全區,1,291,2.29
8914,2022-10-10,嘉義縣,全區,3,290,2.43
8993,2022-10-09,嘉義縣,全區,1,287,2.29
9047,2022-10-08,嘉義縣,全區,1,286,2.57
9107,2022-10-07,嘉義縣,全區,2,285,2.43
9173,2022-10-06,嘉義縣,全區,2,283,2.14
9234,2022-10-05,嘉義縣,全區,6,281,2.14
