UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
2305,2023-02-13,嘉義縣,六腳鄉,1,31,0.43
2498,2023-02-10,嘉義縣,六腳鄉,1,30,0.29
2637,2023-02-08,嘉義縣,六腳鄉,1,29,0.14
3192,2023-01-30,嘉義縣,六腳鄉,1,28,0.14
3760,2023-01-19,嘉義縣,六腳鄉,1,27,0.14
5389,2022-12-14,嘉義縣,六腳鄉,1,26,0.43
5520,2022-12-10,嘉義縣,六腳鄉,1,25,0.29
5614,2022-12-08,嘉義縣,六腳鄉,1,24,0.29
5793,2022-12-03,嘉義縣,六腳鄉,1,23,0.14
7059,2022-11-07,嘉義縣,六腳鄉,1,22,0.29
7115,2022-11-06,嘉義縣,六腳鄉,1,21,0.14
7816,2022-10-26,嘉義縣,六腳鄉,1,20,0.43
8025,2022-10-23,嘉義縣,六腳鄉,1,19,0.29
8096,2022-10-22,嘉義縣,六腳鄉,1,18,0.14
8588,2022-10-15,嘉義縣,六腳鄉,1,17,0.29
8941,2022-10-10,嘉義縣,六腳鄉,1,16,0.14
9479,2022-10-02,嘉義縣,六腳鄉,1,15,0.14
10812,2022-09-08,嘉義縣,六腳鄉,2,14,0.43
10979,2022-09-04,嘉義縣,六腳鄉,1,12,0.14
11346,2022-08-26,嘉義縣,六腳鄉,1,11,0.29
11573,2022-08-20,嘉義縣,六腳鄉,1,10,0.14
12025,2022-08-08,嘉義縣,六腳鄉,1,9,0.14
14524,2022-06-30,嘉義縣,六腳鄉,1,8,0.14
15220,2022-06-23,嘉義縣,六腳鄉,3,7,0.57
15559,2022-06-20,嘉義縣,六腳鄉,1,4,0.14
16674,2022-06-11,嘉義縣,六腳鄉,1,3,0.14
17522,2022-06-04,嘉義縣,六腳鄉,1,2,0.14
18558,2022-05-26,嘉義縣,六腳鄉,1,1,0.14
