UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1104,2023-03-19,嘉義縣,六腳鄉,1,5385,3.14
1438,2023-03-18,嘉義縣,六腳鄉,4,5384,3.57
1784,2023-03-17,嘉義縣,六腳鄉,3,5380,4.00
2136,2023-03-16,嘉義縣,六腳鄉,2,5377,4.57
2489,2023-03-15,嘉義縣,六腳鄉,4,5375,4.71
2839,2023-03-14,嘉義縣,六腳鄉,3,5371,4.71
3197,2023-03-13,嘉義縣,六腳鄉,5,5368,4.86
3551,2023-03-12,嘉義縣,六腳鄉,4,5363,5.14
3901,2023-03-11,嘉義縣,六腳鄉,7,5359,5.71
4251,2023-03-10,嘉義縣,六腳鄉,7,5352,5.14
4608,2023-03-09,嘉義縣,六腳鄉,3,5345,4.43
4964,2023-03-08,嘉義縣,六腳鄉,4,5342,5.57
5321,2023-03-07,嘉義縣,六腳鄉,4,5338,5.86
5683,2023-03-06,嘉義縣,六腳鄉,7,5334,6.00
6042,2023-03-05,嘉義縣,六腳鄉,8,5327,6.14
6383,2023-03-04,嘉義縣,六腳鄉,3,5319,5.14
6737,2023-03-03,嘉義縣,六腳鄉,2,5316,5.86
7098,2023-03-02,嘉義縣,六腳鄉,11,5314,7.29
7460,2023-03-01,嘉義縣,六腳鄉,6,5303,7.14
7832,2023-02-28,嘉義縣,六腳鄉,5,5297,8.00
8198,2023-02-27,嘉義縣,六腳鄉,8,5292,8.86
8549,2023-02-26,嘉義縣,六腳鄉,1,5284,10.14
8901,2023-02-25,嘉義縣,六腳鄉,8,5283,11.29
9270,2023-02-24,嘉義縣,六腳鄉,12,5275,10.71
9633,2023-02-23,嘉義縣,六腳鄉,10,5263,10.43
10003,2023-02-22,嘉義縣,六腳鄉,12,5253,9.57
10376,2023-02-21,嘉義縣,六腳鄉,11,5241,8.57
10748,2023-02-20,嘉義縣,六腳鄉,17,5230,8.71
11122,2023-02-19,嘉義縣,六腳鄉,9,5213,7.29
11484,2023-02-18,嘉義縣,六腳鄉,4,5204,7.00
11849,2023-02-17,嘉義縣,六腳鄉,10,5200,7.00
12225,2023-02-16,嘉義縣,六腳鄉,4,5190,7.43
12598,2023-02-15,嘉義縣,六腳鄉,5,5186,8.29
12973,2023-02-14,嘉義縣,六腳鄉,12,5181,8.86
13344,2023-02-13,嘉義縣,六腳鄉,7,5169,8.00
13721,2023-02-12,嘉義縣,六腳鄉,7,5162,9.00
14081,2023-02-11,嘉義縣,六腳鄉,4,5155,8.43
14450,2023-02-10,嘉義縣,六腳鄉,13,5151,9.43
14824,2023-02-09,嘉義縣,六腳鄉,10,5138,8.71
15204,2023-02-08,嘉義縣,六腳鄉,9,5128,8.71
15581,2023-02-07,嘉義縣,六腳鄉,6,5119,9.14
15961,2023-02-06,嘉義縣,六腳鄉,14,5113,10.14
16337,2023-02-05,嘉義縣,六腳鄉,3,5099,11.00
16711,2023-02-04,嘉義縣,六腳鄉,11,5096,12.29
17090,2023-02-03,嘉義縣,六腳鄉,8,5085,13.29
17476,2023-02-02,嘉義縣,六腳鄉,10,5077,14.00
17857,2023-02-01,嘉義縣,六腳鄉,12,5067,14.86
18237,2023-01-31,嘉義縣,六腳鄉,13,5055,15.00
18622,2023-01-30,嘉義縣,六腳鄉,20,5042,13.86
19008,2023-01-29,嘉義縣,六腳鄉,12,5022,12.14
19386,2023-01-28,嘉義縣,六腳鄉,18,5010,12.14
19762,2023-01-27,嘉義縣,六腳鄉,13,4992,10.14
20143,2023-01-26,嘉義縣,六腳鄉,16,4979,10.29
20514,2023-01-25,嘉義縣,六腳鄉,13,4963,9.00
