UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2932,2023-03-14,嘉義縣,大埔鄉,1,400,0.29
4345,2023-03-10,嘉義縣,大埔鄉,1,399,0.29
6475,2023-03-04,嘉義縣,大埔鄉,1,398,0.71
6832,2023-03-03,嘉義縣,大埔鄉,2,397,0.57
7563,2023-03-01,嘉義縣,大埔鄉,1,395,0.86
8288,2023-02-27,嘉義縣,大埔鄉,1,394,0.86
9731,2023-02-23,嘉義縣,大埔鄉,4,393,0.71
10106,2023-02-22,嘉義縣,大埔鄉,1,389,0.14
13075,2023-02-14,嘉義縣,大埔鄉,1,388,0.57
14185,2023-02-11,嘉義縣,大埔鄉,2,387,0.86
15306,2023-02-08,嘉義縣,大埔鄉,1,385,0.86
16067,2023-02-06,嘉義縣,大埔鄉,3,384,0.86
17198,2023-02-03,嘉義縣,大埔鄉,1,381,0.57
17582,2023-02-02,嘉義縣,大埔鄉,1,380,0.43
18344,2023-01-31,嘉義縣,大埔鄉,1,379,0.29
18732,2023-01-30,嘉義縣,大埔鄉,1,378,0.14
24313,2023-01-15,嘉義縣,大埔鄉,1,377,0.14
30264,2022-12-30,嘉義縣,大埔鄉,1,376,0.43
31756,2022-12-26,嘉義縣,大埔鄉,1,375,0.43
32474,2022-12-24,嘉義縣,大埔鄉,1,374,0.57
33202,2022-12-22,嘉義縣,大埔鄉,1,373,0.43
34304,2022-12-19,嘉義縣,大埔鄉,2,372,0.57
35747,2022-12-15,嘉義縣,大埔鄉,1,370,0.43
36108,2022-12-14,嘉義縣,大埔鄉,1,369,0.43
37576,2022-12-10,嘉義縣,大埔鄉,1,368,1.00
38312,2022-12-08,嘉義縣,大埔鄉,1,367,1.14
39052,2022-12-06,嘉義縣,大埔鄉,1,366,1.57
39431,2022-12-05,嘉義縣,大埔鄉,4,365,1.43
40539,2022-12-02,嘉義縣,大埔鄉,2,361,1.71
40906,2022-12-01,嘉義縣,大埔鄉,3,359,1.71
41280,2022-11-30,嘉義縣,大埔鄉,1,356,1.43
42034,2022-11-28,嘉義縣,大埔鄉,3,355,1.57
42754,2022-11-26,嘉義縣,大埔鄉,3,352,1.29
43125,2022-11-25,嘉義縣,大埔鄉,2,349,0.86
43495,2022-11-24,嘉義縣,大埔鄉,1,347,0.57
43864,2022-11-23,嘉義縣,大埔鄉,2,346,0.71
44617,2022-11-21,嘉義縣,大埔鄉,1,344,1.29
46100,2022-11-17,嘉義縣,大埔鄉,2,343,2.29
46480,2022-11-16,嘉義縣,大埔鄉,5,341,2.14
