UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6877,2023-03-20,嘉義縣,布袋鎮,50-54,320
6878,2023-03-19,嘉義縣,布袋鎮,70+,636
6879,2023-03-18,嘉義縣,布袋鎮,15-19,406
6880,2023-03-17,嘉義縣,布袋鎮,65-69,299
6881,2023-03-17,嘉義縣,布袋鎮,55-59,343
6882,2023-03-17,嘉義縣,布袋鎮,25-29,395
6883,2023-03-17,嘉義縣,布袋鎮,40-44,371
6884,2023-03-16,嘉義縣,布袋鎮,35-39,366
6885,2023-03-15,嘉義縣,布袋鎮,20-24,398
6886,2023-03-14,嘉義縣,布袋鎮,5-9,254
6887,2023-03-12,嘉義縣,布袋鎮,10-14,261
6888,2023-03-11,嘉義縣,布袋鎮,60-64,321
6889,2023-03-11,嘉義縣,布袋鎮,45-49,304
6890,2023-03-08,嘉義縣,布袋鎮,30-34,313
6891,2023-03-07,嘉義縣,布袋鎮,2,48
6892,2023-03-03,嘉義縣,布袋鎮,1,67
6893,2023-03-03,嘉義縣,布袋鎮,0,31
6894,2023-03-01,嘉義縣,布袋鎮,3,53
6895,2023-02-26,嘉義縣,布袋鎮,4,50
