UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
866,2023-03-20,嘉義縣,布袋鎮,1,5236,4.14
1193,2023-03-19,嘉義縣,布袋鎮,2,5235,4.29
1531,2023-03-18,嘉義縣,布袋鎮,1,5233,4.29
1881,2023-03-17,嘉義縣,布袋鎮,6,5232,5.14
2233,2023-03-16,嘉義縣,布袋鎮,5,5226,4.86
2585,2023-03-15,嘉義縣,布袋鎮,3,5221,4.43
2943,2023-03-14,嘉義縣,布袋鎮,11,5218,5.57
3300,2023-03-13,嘉義縣,布袋鎮,2,5207,5.00
3644,2023-03-12,嘉義縣,布袋鎮,2,5205,5.29
3999,2023-03-11,嘉義縣,布袋鎮,7,5203,5.57
4352,2023-03-10,嘉義縣,布袋鎮,4,5196,6.14
4709,2023-03-09,嘉義縣,布袋鎮,2,5192,6.86
5064,2023-03-08,嘉義縣,布袋鎮,11,5190,7.71
5423,2023-03-07,嘉義縣,布袋鎮,7,5179,7.57
5789,2023-03-06,嘉義縣,布袋鎮,4,5172,7.43
6128,2023-03-05,嘉義縣,布袋鎮,4,5168,8.29
6482,2023-03-04,嘉義縣,布袋鎮,11,5164,8.86
6840,2023-03-03,嘉義縣,布袋鎮,9,5153,8.57
7201,2023-03-02,嘉義縣,布袋鎮,8,5144,9.00
7572,2023-03-01,嘉義縣,布袋鎮,10,5136,8.57
7937,2023-02-28,嘉義縣,布袋鎮,6,5126,7.71
8298,2023-02-27,嘉義縣,布袋鎮,10,5120,7.14
8643,2023-02-26,嘉義縣,布袋鎮,8,5110,7.86
9013,2023-02-25,嘉義縣,布袋鎮,9,5102,7.57
9373,2023-02-24,嘉義縣,布袋鎮,12,5093,8.71
9740,2023-02-23,嘉義縣,布袋鎮,5,5081,7.86
10116,2023-02-22,嘉義縣,布袋鎮,4,5076,8.43
10487,2023-02-21,嘉義縣,布袋鎮,2,5072,9.29
10862,2023-02-20,嘉義縣,布袋鎮,15,5070,10.29
11222,2023-02-19,嘉義縣,布袋鎮,6,5055,9.71
11590,2023-02-18,嘉義縣,布袋鎮,17,5049,9.57
11962,2023-02-17,嘉義縣,布袋鎮,6,5032,8.86
12337,2023-02-16,嘉義縣,布袋鎮,9,5026,9.00
