UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
821,2023-03-20,嘉義縣,新港鄉,3,8762,6.00
1129,2023-03-19,嘉義縣,新港鄉,3,8759,7.00
1463,2023-03-18,嘉義縣,新港鄉,10,8756,7.29
1811,2023-03-17,嘉義縣,新港鄉,8,8746,7.14
2160,2023-03-16,嘉義縣,新港鄉,2,8738,6.57
2516,2023-03-15,嘉義縣,新港鄉,4,8736,7.57
2866,2023-03-14,嘉義縣,新港鄉,12,8732,8.14
3221,2023-03-13,嘉義縣,新港鄉,10,8720,7.57
3576,2023-03-12,嘉義縣,新港鄉,5,8710,7.14
3927,2023-03-11,嘉義縣,新港鄉,9,8705,7.14
4278,2023-03-10,嘉義縣,新港鄉,4,8696,6.57
4635,2023-03-09,嘉義縣,新港鄉,9,8692,7.57
4990,2023-03-08,嘉義縣,新港鄉,8,8683,7.86
5346,2023-03-07,嘉義縣,新港鄉,8,8675,7.57
5711,2023-03-06,嘉義縣,新港鄉,7,8667,8.29
6064,2023-03-05,嘉義縣,新港鄉,5,8660,8.57
6408,2023-03-04,嘉義縣,新港鄉,5,8655,9.14
6761,2023-03-03,嘉義縣,新港鄉,11,8650,9.43
7124,2023-03-02,嘉義縣,新港鄉,11,8639,9.14
7488,2023-03-01,嘉義縣,新港鄉,6,8628,9.00
7860,2023-02-28,嘉義縣,新港鄉,13,8622,9.57
8223,2023-02-27,嘉義縣,新港鄉,9,8609,9.86
8571,2023-02-26,嘉義縣,新港鄉,9,8600,10.43
8927,2023-02-25,嘉義縣,新港鄉,7,8591,10.71
9295,2023-02-24,嘉義縣,新港鄉,9,8584,11.43
9660,2023-02-23,嘉義縣,新港鄉,10,8575,12.29
10031,2023-02-22,嘉義縣,新港鄉,10,8565,12.14
10403,2023-02-21,嘉義縣,新港鄉,15,8555,12.43
10776,2023-02-20,嘉義縣,新港鄉,13,8540,12.14
11146,2023-02-19,嘉義縣,新港鄉,11,8527,12.00
11510,2023-02-18,嘉義縣,新港鄉,12,8516,11.57
11877,2023-02-17,嘉義縣,新港鄉,15,8504,11.71
12252,2023-02-16,嘉義縣,新港鄉,9,8489,11.00
12626,2023-02-15,嘉義縣,新港鄉,12,8480,11.86
13001,2023-02-14,嘉義縣,新港鄉,13,8468,11.43
13372,2023-02-13,嘉義縣,新港鄉,12,8455,10.57
13746,2023-02-12,嘉義縣,新港鄉,8,8443,11.57
14109,2023-02-11,嘉義縣,新港鄉,13,8435,12.14
14479,2023-02-10,嘉義縣,新港鄉,10,8422,12.29
14851,2023-02-09,嘉義縣,新港鄉,15,8412,12.29
15233,2023-02-08,嘉義縣,新港鄉,9,8397,12.71
15611,2023-02-07,嘉義縣,新港鄉,7,8388,14.00
15990,2023-02-06,嘉義縣,新港鄉,19,8381,17.14
16366,2023-02-05,嘉義縣,新港鄉,12,8362,17.14
16741,2023-02-04,嘉義縣,新港鄉,14,8350,17.57
17119,2023-02-03,嘉義縣,新港鄉,10,8336,19.14
17505,2023-02-02,嘉義縣,新港鄉,18,8326,19.57
17886,2023-02-01,嘉義縣,新港鄉,18,8308,20.43
18267,2023-01-31,嘉義縣,新港鄉,29,8290,20.86
18652,2023-01-30,嘉義縣,新港鄉,19,8261,19.57
19038,2023-01-29,嘉義縣,新港鄉,15,8242,18.29
19415,2023-01-28,嘉義縣,新港鄉,25,8227,17.14
19792,2023-01-27,嘉義縣,新港鄉,13,8202,16.71
20171,2023-01-26,嘉義縣,新港鄉,24,8189,17.71
20542,2023-01-25,嘉義縣,新港鄉,21,8165,15.71
20911,2023-01-24,嘉義縣,新港鄉,20,8144,16.71
21281,2023-01-23,嘉義縣,新港鄉,10,8124,16.71
21652,2023-01-22,嘉義縣,新港鄉,7,8114,17.14
22020,2023-01-21,嘉義縣,新港鄉,22,8107,17.71
22390,2023-01-20,嘉義縣,新港鄉,20,8085,15.43
22758,2023-01-19,嘉義縣,新港鄉,10,8065,16.29
23129,2023-01-18,嘉義縣,新港鄉,28,8055,16.14
23496,2023-01-17,嘉義縣,新港鄉,20,8027,13.29
23863,2023-01-16,嘉義縣,新港鄉,13,8007,11.86
24239,2023-01-15,嘉義縣,新港鄉,11,7994,11.86
24605,2023-01-14,嘉義縣,新港鄉,6,7983,12.86
24972,2023-01-13,嘉義縣,新港鄉,26,7977,15.29
25344,2023-01-12,嘉義縣,新港鄉,9,7951,13.57
25715,2023-01-11,嘉義縣,新港鄉,8,7942,14.43
26092,2023-01-10,嘉義縣,新港鄉,10,7934,18.43
26466,2023-01-09,嘉義縣,新港鄉,13,7924,20.14
26837,2023-01-08,嘉義縣,新港鄉,18,7911,20.71
27200,2023-01-07,嘉義縣,新港鄉,23,7893,21.43
27571,2023-01-06,嘉義縣,新港鄉,14,7870,19.86
27951,2023-01-05,嘉義縣,新港鄉,15,7856,21.29
28330,2023-01-04,嘉義縣,新港鄉,36,7841,20.86
28712,2023-01-03,嘉義縣,新港鄉,22,7805,18.14
29092,2023-01-02,嘉義縣,新港鄉,17,7783,18.29
29462,2023-01-01,嘉義縣,新港鄉,23,7766,19.29
