UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
574,2023-03-21,嘉義縣,朴子市,1,13767,8.00
823,2023-03-20,嘉義縣,朴子市,2,13766,9.29
1133,2023-03-19,嘉義縣,朴子市,6,13764,11.43
1466,2023-03-18,嘉義縣,朴子市,18,13758,11.14
1816,2023-03-17,嘉義縣,朴子市,10,13740,10.86
2165,2023-03-16,嘉義縣,朴子市,14,13730,11.14
2519,2023-03-15,嘉義縣,朴子市,5,13716,10.57
2870,2023-03-14,嘉義縣,朴子市,10,13711,11.00
3227,2023-03-13,嘉義縣,朴子市,17,13701,11.86
3580,2023-03-12,嘉義縣,朴子市,4,13684,11.00
3932,2023-03-11,嘉義縣,朴子市,16,13680,11.00
4284,2023-03-10,嘉義縣,朴子市,12,13664,10.29
4640,2023-03-09,嘉義縣,朴子市,10,13652,10.29
4996,2023-03-08,嘉義縣,朴子市,8,13642,11.00
5350,2023-03-07,嘉義縣,朴子市,16,13634,14.00
5716,2023-03-06,嘉義縣,朴子市,11,13618,13.57
6070,2023-03-05,嘉義縣,朴子市,4,13607,13.86
6413,2023-03-04,嘉義縣,朴子市,11,13603,14.71
6768,2023-03-03,嘉義縣,朴子市,12,13592,14.71
7130,2023-03-02,嘉義縣,朴子市,15,13580,14.71
7495,2023-03-01,嘉義縣,朴子市,29,13565,15.86
7866,2023-02-28,嘉義縣,朴子市,13,13536,14.29
8229,2023-02-27,嘉義縣,朴子市,13,13523,15.71
8575,2023-02-26,嘉義縣,朴子市,10,13510,18.00
8934,2023-02-25,嘉義縣,朴子市,11,13500,20.00
9301,2023-02-24,嘉義縣,朴子市,12,13489,22.71
9666,2023-02-23,嘉義縣,朴子市,23,13477,24.29
10037,2023-02-22,嘉義縣,朴子市,18,13454,24.00
10410,2023-02-21,嘉義縣,朴子市,23,13436,24.43
10782,2023-02-20,嘉義縣,朴子市,29,13413,25.43
11152,2023-02-19,嘉義縣,朴子市,24,13384,27.00
11516,2023-02-18,嘉義縣,朴子市,30,13360,25.71
11884,2023-02-17,嘉義縣,朴子市,23,13330,24.86
12258,2023-02-16,嘉義縣,朴子市,21,13307,25.43
12633,2023-02-15,嘉義縣,朴子市,21,13286,25.43
13008,2023-02-14,嘉義縣,朴子市,30,13265,25.86
13379,2023-02-13,嘉義縣,朴子市,40,13235,26.00
13753,2023-02-12,嘉義縣,朴子市,15,13195,26.71
14115,2023-02-11,嘉義縣,朴子市,24,13180,28.00
14485,2023-02-10,嘉義縣,朴子市,27,13156,28.71
14858,2023-02-09,嘉義縣,朴子市,21,13129,28.57
15239,2023-02-08,嘉義縣,朴子市,24,13108,30.00
15617,2023-02-07,嘉義縣,朴子市,31,13084,33.29
15997,2023-02-06,嘉義縣,朴子市,45,13053,34.00
16372,2023-02-05,嘉義縣,朴子市,24,13008,34.00
16746,2023-02-04,嘉義縣,朴子市,29,12984,33.86
17125,2023-02-03,嘉義縣,朴子市,26,12955,33.00
17512,2023-02-02,嘉義縣,朴子市,31,12929,35.57
17892,2023-02-01,嘉義縣,朴子市,47,12898,35.43
18274,2023-01-31,嘉義縣,朴子市,36,12851,32.86
18659,2023-01-30,嘉義縣,朴子市,45,12815,32.14
19044,2023-01-29,嘉義縣,朴子市,23,12770,29.29
19422,2023-01-28,嘉義縣,朴子市,23,12747,27.71
19798,2023-01-27,嘉義縣,朴子市,44,12724,27.71
20177,2023-01-26,嘉義縣,朴子市,30,12680,23.43
20548,2023-01-25,嘉義縣,朴子市,29,12650,22.14
20918,2023-01-24,嘉義縣,朴子市,31,12621,21.71
21286,2023-01-23,嘉義縣,朴子市,25,12590,20.29
21658,2023-01-22,嘉義縣,朴子市,12,12565,23.29
22025,2023-01-21,嘉義縣,朴子市,23,12553,24.71
22395,2023-01-20,嘉義縣,朴子市,14,12530,25.57
22763,2023-01-19,嘉義縣,朴子市,21,12516,28.29
23134,2023-01-18,嘉義縣,朴子市,26,12495,30.29
23501,2023-01-17,嘉義縣,朴子市,21,12469,30.00
23869,2023-01-16,嘉義縣,朴子市,46,12448,35.14
24243,2023-01-15,嘉義縣,朴子市,22,12402,33.71
24610,2023-01-14,嘉義縣,朴子市,29,12380,33.29
24978,2023-01-13,嘉義縣,朴子市,33,12351,34.14
25350,2023-01-12,嘉義縣,朴子市,35,12318,35.57
25721,2023-01-11,嘉義縣,朴子市,24,12283,35.71
26099,2023-01-10,嘉義縣,朴子市,57,12259,38.43
26473,2023-01-09,嘉義縣,朴子市,36,12202,36.57
26842,2023-01-08,嘉義縣,朴子市,19,12166,39.43
27204,2023-01-07,嘉義縣,朴子市,35,12147,39.86
27578,2023-01-06,嘉義縣,朴子市,43,12112,39.57
27957,2023-01-05,嘉義縣,朴子市,36,12069,38.57
28337,2023-01-04,嘉義縣,朴子市,43,12033,38.43
28719,2023-01-03,嘉義縣,朴子市,44,11990,38.86
29098,2023-01-02,嘉義縣,朴子市,56,11946,36.29
29468,2023-01-01,嘉義縣,朴子市,22,11890,33.86
29828,2022-12-31,嘉義縣,朴子市,33,11868,33.29
30195,2022-12-30,嘉義縣,朴子市,36,11835,32.71
30569,2022-12-29,嘉義縣,朴子市,35,11799,30.71
30942,2022-12-28,嘉義縣,朴子市,46,11764,28.29
31314,2022-12-27,嘉義縣,朴子市,26,11718,25.86
31688,2022-12-26,嘉義縣,朴子市,39,11692,25.29
32051,2022-12-25,嘉義縣,朴子市,18,11653,24.00
32412,2022-12-24,嘉義縣,朴子市,29,11635,23.71
32770,2022-12-23,嘉義縣,朴子市,22,11606,23.29
33136,2022-12-22,嘉義縣,朴子市,18,11584,22.29
33502,2022-12-21,嘉義縣,朴子市,29,11566,24.00
33870,2022-12-20,嘉義縣,朴子市,22,11537,23.71
34236,2022-12-19,嘉義縣,朴子市,30,11515,26.00
34598,2022-12-18,嘉義縣,朴子市,16,11485,25.57
34951,2022-12-17,嘉義縣,朴子市,26,11469,25.57
35319,2022-12-16,嘉義縣,朴子市,15,11443,23.57
35680,2022-12-15,嘉義縣,朴子市,30,11428,23.71
36044,2022-12-14,嘉義縣,朴子市,27,11398,22.29
36411,2022-12-13,嘉義縣,朴子市,38,11371,21.86
36788,2022-12-12,嘉義縣,朴子市,27,11333,20.43
37147,2022-12-11,嘉義縣,朴子市,16,11306,20.43
37509,2022-12-10,嘉義縣,朴子市,12,11290,20.29
37874,2022-12-09,嘉義縣,朴子市,16,11278,21.29
38245,2022-12-08,嘉義縣,朴子市,20,11262,22.00
38619,2022-12-07,嘉義縣,朴子市,24,11242,21.43
38984,2022-12-06,嘉義縣,朴子市,28,11218,20.57
39361,2022-12-05,嘉義縣,朴子市,27,11190,19.71
39736,2022-12-04,嘉義縣,朴子市,15,11163,20.57
40102,2022-12-03,嘉義縣,朴子市,19,11148,20.43
40469,2022-12-02,嘉義縣,朴子市,21,11129,19.71
40838,2022-12-01,嘉義縣,朴子市,16,11108,18.43
41211,2022-11-30,嘉義縣,朴子市,18,11092,18.00
41586,2022-11-29,嘉義縣,朴子市,22,11074,18.29
41964,2022-11-28,嘉義縣,朴子市,33,11052,18.86
42337,2022-11-27,嘉義縣,朴子市,14,11019,17.00
42692,2022-11-26,嘉義縣,朴子市,14,11005,17.00
43057,2022-11-25,嘉義縣,朴子市,12,10991,18.57
43427,2022-11-24,嘉義縣,朴子市,13,10979,19.43
43795,2022-11-23,嘉義縣,朴子市,20,10966,23.00
44168,2022-11-22,嘉義縣,朴子市,26,10946,22.57
44547,2022-11-21,嘉義縣,朴子市,20,10920,23.00
44923,2022-11-20,嘉義縣,朴子市,14,10900,25.71
45290,2022-11-19,嘉義縣,朴子市,25,10886,25.86
45660,2022-11-18,嘉義縣,朴子市,18,10861,25.14
46033,2022-11-17,嘉義縣,朴子市,38,10843,25.43
46409,2022-11-16,嘉義縣,朴子市,17,10805,24.29
46791,2022-11-15,嘉義縣,朴子市,29,10788,27.29
47169,2022-11-14,嘉義縣,朴子市,39,10759,28.14
47546,2022-11-13,嘉義縣,朴子市,15,10720,29.71
47919,2022-11-12,嘉義縣,朴子市,20,10705,31.86
48298,2022-11-11,嘉義縣,朴子市,20,10685,34.57
48677,2022-11-10,嘉義縣,朴子市,30,10665,36.00
49060,2022-11-09,嘉義縣,朴子市,38,10635,39.29
49447,2022-11-08,嘉義縣,朴子市,35,10597,43.29
49832,2022-11-07,嘉義縣,朴子市,50,10562,46.00
50209,2022-11-06,嘉義縣,朴子市,30,10512,47.00
50579,2022-11-05,嘉義縣,朴子市,39,10482,48.14
50963,2022-11-04,嘉義縣,朴子市,30,10443,49.00
51346,2022-11-03,嘉義縣,朴子市,53,10413,50.00
51726,2022-11-02,嘉義縣,朴子市,66,10360,48.29
52113,2022-11-01,嘉義縣,朴子市,54,10294,47.29
52496,2022-10-31,嘉義縣,朴子市,57,10240,48.86
52877,2022-10-30,嘉義縣,朴子市,38,10183,51.14
53256,2022-10-29,嘉義縣,朴子市,45,10145,49.71
53640,2022-10-28,嘉義縣,朴子市,37,10100,52.29
54026,2022-10-27,嘉義縣,朴子市,41,10063,54.57
54411,2022-10-26,嘉義縣,朴子市,59,10022,58.71
54797,2022-10-25,嘉義縣,朴子市,65,9963,58.43
55188,2022-10-24,嘉義縣,朴子市,73,9898,56.57
55573,2022-10-23,嘉義縣,朴子市,28,9825,57.86
55954,2022-10-22,嘉義縣,朴子市,63,9797,60.71
56340,2022-10-21,嘉義縣,朴子市,53,9734,61.29
56726,2022-10-20,嘉義縣,朴子市,70,9681,62.86
57113,2022-10-19,嘉義縣,朴子市,57,9611,63.71
57501,2022-10-18,嘉義縣,朴子市,52,9554,66.14
57891,2022-10-17,嘉義縣,朴子市,82,9502,72.29
58279,2022-10-16,嘉義縣,朴子市,48,9420,72.71
58665,2022-10-15,嘉義縣,朴子市,67,9372,71.86
59051,2022-10-14,嘉義縣,朴子市,64,9305,73.14
59440,2022-10-13,嘉義縣,朴子市,76,9241,75.43
59831,2022-10-12,嘉義縣,朴子市,74,9165,75.00
60221,2022-10-11,嘉義縣,朴子市,95,9091,75.71
60611,2022-10-10,嘉義縣,朴子市,85,8996,72.71
60994,2022-10-09,嘉義縣,朴子市,42,8911,73.43
61383,2022-10-08,嘉義縣,朴子市,76,8869,74.43
61772,2022-10-07,嘉義縣,朴子市,80,8793,77.14
62159,2022-10-06,嘉義縣,朴子市,73,8713,72.43
62550,2022-10-05,嘉義縣,朴子市,79,8640,69.86
62937,2022-10-04,嘉義縣,朴子市,74,8561,69.43
63326,2022-10-03,嘉義縣,朴子市,90,8487,69.71
63716,2022-10-02,嘉義縣,朴子市,49,8397,69.00
64097,2022-10-01,嘉義縣,朴子市,95,8348,68.57
64483,2022-09-30,嘉義縣,朴子市,47,8253,61.57
64868,2022-09-29,嘉義縣,朴子市,55,8206,63.57
65257,2022-09-28,嘉義縣,朴子市,76,8151,63.29
65644,2022-09-27,嘉義縣,朴子市,76,8075,59.14
66030,2022-09-26,嘉義縣,朴子市,85,7999,54.29
66417,2022-09-25,嘉義縣,朴子市,46,7914,50.14
66801,2022-09-24,嘉義縣,朴子市,46,7868,47.71
67187,2022-09-23,嘉義縣,朴子市,61,7822,46.71
67574,2022-09-22,嘉義縣,朴子市,53,7761,43.00
67963,2022-09-21,嘉義縣,朴子市,47,7708,43.43
68352,2022-09-20,嘉義縣,朴子市,42,7661,43.00
68742,2022-09-19,嘉義縣,朴子市,56,7619,43.43
69132,2022-09-18,嘉義縣,朴子市,29,7563,43.71
69515,2022-09-17,嘉義縣,朴子市,39,7534,43.00
69902,2022-09-16,嘉義縣,朴子市,35,7495,44.86
70287,2022-09-15,嘉義縣,朴子市,56,7460,45.29
70674,2022-09-14,嘉義縣,朴子市,44,7404,46.29
71060,2022-09-13,嘉義縣,朴子市,45,7360,44.86
71449,2022-09-12,嘉義縣,朴子市,58,7315,44.43
71836,2022-09-11,嘉義縣,朴子市,24,7257,41.71
72218,2022-09-10,嘉義縣,朴子市,52,7233,42.43
72600,2022-09-09,嘉義縣,朴子市,38,7181,41.29
72984,2022-09-08,嘉義縣,朴子市,63,7143,42.86
73371,2022-09-07,嘉義縣,朴子市,34,7080,40.14
73755,2022-09-06,嘉義縣,朴子市,42,7046,40.71
74141,2022-09-05,嘉義縣,朴子市,39,7004,40.71
74525,2022-09-04,嘉義縣,朴子市,29,6965,41.14
74909,2022-09-03,嘉義縣,朴子市,44,6936,40.57
75297,2022-09-02,嘉義縣,朴子市,49,6892,39.14
75683,2022-09-01,嘉義縣,朴子市,44,6843,36.29
76072,2022-08-31,嘉義縣,朴子市,38,6799,33.14
76459,2022-08-30,嘉義縣,朴子市,42,6761,32.00
76847,2022-08-29,嘉義縣,朴子市,42,6719,32.86
77234,2022-08-28,嘉義縣,朴子市,25,6677,31.57
77619,2022-08-27,嘉義縣,朴子市,34,6652,30.29
78005,2022-08-26,嘉義縣,朴子市,29,6618,30.29
78389,2022-08-25,嘉義縣,朴子市,22,6589,29.43
78774,2022-08-24,嘉義縣,朴子市,30,6567,30.57
79161,2022-08-23,嘉義縣,朴子市,48,6537,30.57
79546,2022-08-22,嘉義縣,朴子市,33,6489,27.29
79930,2022-08-21,嘉義縣,朴子市,16,6456,27.57
80310,2022-08-20,嘉義縣,朴子市,34,6440,28.14
80694,2022-08-19,嘉義縣,朴子市,23,6406,29.00
