UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6972,2023-03-19,嘉義縣,東石鄉,50-54,202
6973,2023-03-18,嘉義縣,東石鄉,45-49,257
6974,2023-03-18,嘉義縣,東石鄉,40-44,320
6975,2023-03-18,嘉義縣,東石鄉,30-34,186
6976,2023-03-18,嘉義縣,東石鄉,25-29,227
6977,2023-03-18,嘉義縣,東石鄉,20-24,286
6978,2023-03-18,嘉義縣,東石鄉,65-69,233
6979,2023-03-17,嘉義縣,東石鄉,70+,678
6980,2023-03-16,嘉義縣,東石鄉,10-14,272
6981,2023-03-15,嘉義縣,東石鄉,15-19,356
6982,2023-03-14,嘉義縣,東石鄉,5-9,234
6983,2023-03-14,嘉義縣,東石鄉,1,42
6984,2023-03-13,嘉義縣,東石鄉,55-59,197
6985,2023-03-11,嘉義縣,東石鄉,35-39,241
6986,2023-03-10,嘉義縣,東石鄉,60-64,198
6987,2023-02-24,嘉義縣,東石鄉,4,43
6988,2023-02-15,嘉義縣,東石鄉,2,46
6989,2023-02-05,嘉義縣,東石鄉,3,42
6990,2023-02-03,嘉義縣,東石鄉,0,29
