UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
789,2023-03-20,嘉義縣,民雄鄉,5,29536,26.00
1091,2023-03-19,嘉義縣,民雄鄉,14,29531,29.00
1424,2023-03-18,嘉義縣,民雄鄉,32,29517,29.43
1769,2023-03-17,嘉義縣,民雄鄉,27,29485,28.14
2121,2023-03-16,嘉義縣,民雄鄉,23,29458,27.86
2474,2023-03-15,嘉義縣,民雄鄉,34,29435,28.00
2824,2023-03-14,嘉義縣,民雄鄉,47,29401,25.86
3182,2023-03-13,嘉義縣,民雄鄉,26,29354,23.43
3537,2023-03-12,嘉義縣,民雄鄉,17,29328,23.57
3887,2023-03-11,嘉義縣,民雄鄉,23,29311,23.71
4236,2023-03-10,嘉義縣,民雄鄉,25,29288,23.86
4594,2023-03-09,嘉義縣,民雄鄉,24,29263,24.71
4950,2023-03-08,嘉義縣,民雄鄉,19,29239,27.43
5306,2023-03-07,嘉義縣,民雄鄉,30,29220,29.57
5668,2023-03-06,嘉義縣,民雄鄉,27,29190,31.29
6027,2023-03-05,嘉義縣,民雄鄉,18,29163,32.14
6368,2023-03-04,嘉義縣,民雄鄉,24,29145,32.57
6722,2023-03-03,嘉義縣,民雄鄉,31,29121,33.71
7083,2023-03-02,嘉義縣,民雄鄉,43,29090,33.00
7446,2023-03-01,嘉義縣,民雄鄉,34,29047,32.14
7817,2023-02-28,嘉義縣,民雄鄉,42,29013,36.00
8183,2023-02-27,嘉義縣,民雄鄉,33,28971,35.57
8534,2023-02-26,嘉義縣,民雄鄉,21,28938,39.71
8886,2023-02-25,嘉義縣,民雄鄉,32,28917,40.57
9255,2023-02-24,嘉義縣,民雄鄉,26,28885,41.00
9618,2023-02-23,嘉義縣,民雄鄉,37,28859,43.57
9988,2023-02-22,嘉義縣,民雄鄉,61,28822,44.29
10361,2023-02-21,嘉義縣,民雄鄉,39,28761,41.86
10733,2023-02-20,嘉義縣,民雄鄉,62,28722,41.29
11107,2023-02-19,嘉義縣,民雄鄉,27,28660,40.14
11469,2023-02-18,嘉義縣,民雄鄉,35,28633,40.86
11834,2023-02-17,嘉義縣,民雄鄉,44,28598,44.57
12210,2023-02-16,嘉義縣,民雄鄉,42,28554,43.29
12584,2023-02-15,嘉義縣,民雄鄉,44,28512,42.00
12958,2023-02-14,嘉義縣,民雄鄉,35,28468,41.43
13329,2023-02-13,嘉義縣,民雄鄉,54,28433,42.29
13707,2023-02-12,嘉義縣,民雄鄉,32,28379,43.57
14066,2023-02-11,嘉義縣,民雄鄉,61,28347,45.00
14435,2023-02-10,嘉義縣,民雄鄉,35,28286,43.57
14810,2023-02-09,嘉義縣,民雄鄉,33,28251,47.43
15189,2023-02-08,嘉義縣,民雄鄉,40,28218,52.43
15566,2023-02-07,嘉義縣,民雄鄉,41,28178,56.86
15946,2023-02-06,嘉義縣,民雄鄉,63,28137,60.14
16322,2023-02-05,嘉義縣,民雄鄉,42,28074,62.86
16696,2023-02-04,嘉義縣,民雄鄉,51,28032,63.00
17075,2023-02-03,嘉義縣,民雄鄉,62,27981,64.14
17461,2023-02-02,嘉義縣,民雄鄉,68,27919,68.14
17842,2023-02-01,嘉義縣,民雄鄉,71,27851,66.29
18222,2023-01-31,嘉義縣,民雄鄉,64,27780,60.86
18607,2023-01-30,嘉義縣,民雄鄉,82,27716,57.43
18993,2023-01-29,嘉義縣,民雄鄉,43,27634,49.86
19371,2023-01-28,嘉義縣,民雄鄉,59,27591,47.00
19747,2023-01-27,嘉義縣,民雄鄉,90,27532,42.57
20128,2023-01-26,嘉義縣,民雄鄉,55,27442,35.86
20500,2023-01-25,嘉義縣,民雄鄉,33,27387,33.29
20868,2023-01-24,嘉義縣,民雄鄉,40,27354,33.71
21240,2023-01-23,嘉義縣,民雄鄉,29,27314,33.86
21610,2023-01-22,嘉義縣,民雄鄉,23,27285,35.14
21976,2023-01-21,嘉義縣,民雄鄉,28,27262,36.29
22349,2023-01-20,嘉義縣,民雄鄉,43,27234,37.29
22714,2023-01-19,嘉義縣,民雄鄉,37,27191,37.14
23087,2023-01-18,嘉義縣,民雄鄉,36,27154,37.43
23453,2023-01-17,嘉義縣,民雄鄉,41,27118,40.14
23820,2023-01-16,嘉義縣,民雄鄉,38,27077,44.14
24198,2023-01-15,嘉義縣,民雄鄉,31,27039,51.43
24561,2023-01-14,嘉義縣,民雄鄉,35,27008,53.86
24928,2023-01-13,嘉義縣,民雄鄉,42,26973,58.29
25299,2023-01-12,嘉義縣,民雄鄉,39,26931,60.71
25673,2023-01-11,嘉義縣,民雄鄉,55,26892,65.29
26049,2023-01-10,嘉義縣,民雄鄉,69,26837,71.00
26422,2023-01-09,嘉義縣,民雄鄉,89,26768,73.14
26796,2023-01-08,嘉義縣,民雄鄉,48,26679,70.86
27157,2023-01-07,嘉義縣,民雄鄉,66,26631,70.71
27530,2023-01-06,嘉義縣,民雄鄉,59,26565,71.29
27907,2023-01-05,嘉義縣,民雄鄉,71,26506,71.57
28285,2023-01-04,嘉義縣,民雄鄉,95,26435,71.14
28667,2023-01-03,嘉義縣,民雄鄉,84,26340,69.71
29047,2023-01-02,嘉義縣,民雄鄉,73,26256,70.29
29420,2023-01-01,嘉義縣,民雄鄉,47,26183,73.57
29780,2022-12-31,嘉義縣,民雄鄉,70,26136,71.29
30147,2022-12-30,嘉義縣,民雄鄉,61,26066,68.57
30521,2022-12-29,嘉義縣,民雄鄉,68,26005,67.00
30893,2022-12-28,嘉義縣,民雄鄉,85,25937,65.29
31262,2022-12-27,嘉義縣,民雄鄉,88,25852,61.71
31637,2022-12-26,嘉義縣,民雄鄉,96,25764,55.57
32006,2022-12-25,嘉義縣,民雄鄉,31,25668,49.86
32364,2022-12-24,嘉義縣,民雄鄉,51,25637,49.57
32723,2022-12-23,嘉義縣,民雄鄉,50,25586,48.29
33090,2022-12-22,嘉義縣,民雄鄉,56,25536,48.86
33455,2022-12-21,嘉義縣,民雄鄉,60,25480,47.43
33823,2022-12-20,嘉義縣,民雄鄉,45,25420,48.14
34188,2022-12-19,嘉義縣,民雄鄉,56,25375,48.00
34556,2022-12-18,嘉義縣,民雄鄉,29,25319,48.71
34907,2022-12-17,嘉義縣,民雄鄉,42,25290,48.57
35268,2022-12-16,嘉義縣,民雄鄉,54,25248,47.86
35631,2022-12-15,嘉義縣,民雄鄉,46,25194,45.57
36001,2022-12-14,嘉義縣,民雄鄉,65,25148,45.29
36361,2022-12-13,嘉義縣,民雄鄉,44,25083,43.57
36739,2022-12-12,嘉義縣,民雄鄉,61,25039,45.43
37103,2022-12-11,嘉義縣,民雄鄉,28,24978,45.71
37461,2022-12-10,嘉義縣,民雄鄉,37,24950,45.29
37828,2022-12-09,嘉義縣,民雄鄉,38,24913,47.71
