UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
7010,2023-03-18,嘉義縣,溪口鄉,30-34,225
7011,2023-03-18,嘉義縣,溪口鄉,35-39,248
7012,2023-03-18,嘉義縣,溪口鄉,65-69,188
7013,2023-03-18,嘉義縣,溪口鄉,40-44,226
7014,2023-03-17,嘉義縣,溪口鄉,10-14,207
7015,2023-03-17,嘉義縣,溪口鄉,50-54,252
7016,2023-03-16,嘉義縣,溪口鄉,20-24,264
7017,2023-03-16,嘉義縣,溪口鄉,25-29,281
7018,2023-03-16,嘉義縣,溪口鄉,70+,619
7019,2023-03-15,嘉義縣,溪口鄉,15-19,223
7020,2023-03-15,嘉義縣,溪口鄉,60-64,201
7021,2023-03-14,嘉義縣,溪口鄉,55-59,234
7022,2023-03-07,嘉義縣,溪口鄉,5-9,215
7023,2023-03-03,嘉義縣,溪口鄉,45-49,222
7024,2023-02-23,嘉義縣,溪口鄉,2,35
7025,2023-02-23,嘉義縣,溪口鄉,4,36
7026,2023-02-22,嘉義縣,溪口鄉,0,34
7027,2023-01-29,嘉義縣,溪口鄉,1,30
7028,2022-12-12,嘉義縣,溪口鄉,3,34
