UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1336,2023-03-18,嘉義縣,溪口鄉,4,3774,3.00
1675,2023-03-17,嘉義縣,溪口鄉,3,3770,2.57
2028,2023-03-16,嘉義縣,溪口鄉,4,3767,2.29
2380,2023-03-15,嘉義縣,溪口鄉,5,3763,2.29
2731,2023-03-14,嘉義縣,溪口鄉,2,3758,1.57
3088,2023-03-13,嘉義縣,溪口鄉,1,3756,1.71
3446,2023-03-12,嘉義縣,溪口鄉,2,3755,1.86
3793,2023-03-11,嘉義縣,溪口鄉,1,3753,1.86
4145,2023-03-10,嘉義縣,溪口鄉,1,3752,1.71
4501,2023-03-09,嘉義縣,溪口鄉,4,3751,3.00
5213,2023-03-07,嘉義縣,溪口鄉,3,3747,3.14
5573,2023-03-06,嘉義縣,溪口鄉,2,3744,3.14
5937,2023-03-05,嘉義縣,溪口鄉,2,3742,3.43
6629,2023-03-03,嘉義縣,溪口鄉,10,3740,4.29
6988,2023-03-02,嘉義縣,溪口鄉,4,3730,4.00
7352,2023-03-01,嘉義縣,溪口鄉,1,3726,4.71
7723,2023-02-28,嘉義縣,溪口鄉,3,3725,4.86
8086,2023-02-27,嘉義縣,溪口鄉,4,3722,5.14
8445,2023-02-26,嘉義縣,溪口鄉,2,3718,4.86
8789,2023-02-25,嘉義縣,溪口鄉,6,3716,5.86
9159,2023-02-24,嘉義縣,溪口鄉,8,3710,6.71
9520,2023-02-23,嘉義縣,溪口鄉,9,3702,6.86
9891,2023-02-22,嘉義縣,溪口鄉,2,3693,6.57
10265,2023-02-21,嘉義縣,溪口鄉,5,3691,7.00
10635,2023-02-20,嘉義縣,溪口鄉,2,3686,7.29
11014,2023-02-19,嘉義縣,溪口鄉,9,3684,8.29
11373,2023-02-18,嘉義縣,溪口鄉,12,3675,7.43
11739,2023-02-17,嘉義縣,溪口鄉,9,3663,6.29
12112,2023-02-16,嘉義縣,溪口鄉,7,3654,5.57
12487,2023-02-15,嘉義縣,溪口鄉,5,3647,5.29
12860,2023-02-14,嘉義縣,溪口鄉,7,3642,5.43
13232,2023-02-13,嘉義縣,溪口鄉,9,3635,5.43
13610,2023-02-12,嘉義縣,溪口鄉,3,3626,4.86
13968,2023-02-11,嘉義縣,溪口鄉,4,3623,5.00
14340,2023-02-10,嘉義縣,溪口鄉,4,3619,5.43
14713,2023-02-09,嘉義縣,溪口鄉,5,3615,5.57
15090,2023-02-08,嘉義縣,溪口鄉,6,3610,6.43
15469,2023-02-07,嘉義縣,溪口鄉,7,3604,7.57
15848,2023-02-06,嘉義縣,溪口鄉,5,3597,8.14
16229,2023-02-05,嘉義縣,溪口鄉,4,3592,9.14
16598,2023-02-04,嘉義縣,溪口鄉,7,3588,9.71
16977,2023-02-03,嘉義縣,溪口鄉,5,3581,10.29
17363,2023-02-02,嘉義縣,溪口鄉,11,3576,11.71
17746,2023-02-01,嘉義縣,溪口鄉,14,3565,12.00
18123,2023-01-31,嘉義縣,溪口鄉,11,3551,11.57
18508,2023-01-30,嘉義縣,溪口鄉,12,3540,10.86
18897,2023-01-29,嘉義縣,溪口鄉,8,3528,9.14
19273,2023-01-28,嘉義縣,溪口鄉,11,3520,8.57
