UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
865,2023-03-20,嘉義縣,番路鄉,4,2651,2.00
1192,2023-03-19,嘉義縣,番路鄉,2,2647,2.00
1530,2023-03-18,嘉義縣,番路鄉,1,2645,1.86
1880,2023-03-17,嘉義縣,番路鄉,1,2644,1.71
2232,2023-03-16,嘉義縣,番路鄉,5,2643,2.00
2942,2023-03-14,嘉義縣,番路鄉,1,2638,2.00
3299,2023-03-13,嘉義縣,番路鄉,4,2637,2.14
3643,2023-03-12,嘉義縣,番路鄉,1,2633,2.29
4351,2023-03-10,嘉義縣,番路鄉,3,2632,2.57
4708,2023-03-09,嘉義縣,番路鄉,2,2629,2.29
5063,2023-03-08,嘉義縣,番路鄉,3,2627,2.29
5422,2023-03-07,嘉義縣,番路鄉,2,2624,2.57
5788,2023-03-06,嘉義縣,番路鄉,5,2622,2.86
6127,2023-03-05,嘉義縣,番路鄉,1,2617,2.43
6481,2023-03-04,嘉義縣,番路鄉,2,2616,2.43
6839,2023-03-03,嘉義縣,番路鄉,1,2614,2.71
7200,2023-03-02,嘉義縣,番路鄉,2,2613,2.71
7571,2023-03-01,嘉義縣,番路鄉,5,2611,2.86
7936,2023-02-28,嘉義縣,番路鄉,4,2606,3.14
8297,2023-02-27,嘉義縣,番路鄉,2,2602,3.00
8642,2023-02-26,嘉義縣,番路鄉,1,2600,3.00
9012,2023-02-25,嘉義縣,番路鄉,4,2599,3.43
9372,2023-02-24,嘉義縣,番路鄉,1,2595,3.14
9739,2023-02-23,嘉義縣,番路鄉,3,2594,3.57
10115,2023-02-22,嘉義縣,番路鄉,7,2591,3.29
10486,2023-02-21,嘉義縣,番路鄉,3,2584,2.57
10861,2023-02-20,嘉義縣,番路鄉,2,2581,2.29
11221,2023-02-19,嘉義縣,番路鄉,4,2579,2.00
11589,2023-02-18,嘉義縣,番路鄉,2,2575,1.43
11961,2023-02-17,嘉義縣,番路鄉,4,2573,1.86
12336,2023-02-16,嘉義縣,番路鄉,1,2569,1.57
12707,2023-02-15,嘉義縣,番路鄉,2,2568,2.00
13084,2023-02-14,嘉義縣,番路鄉,1,2566,1.71
14192,2023-02-11,嘉義縣,番路鄉,5,2565,3.43
14562,2023-02-10,嘉義縣,番路鄉,2,2560,2.86
14937,2023-02-09,嘉義縣,番路鄉,4,2558,3.57
15696,2023-02-07,嘉義縣,番路鄉,4,2554,3.86
16077,2023-02-06,嘉義縣,番路鄉,4,2550,3.86
16446,2023-02-05,嘉義縣,番路鄉,5,2546,4.71
16825,2023-02-04,嘉義縣,番路鄉,1,2541,4.29
17209,2023-02-03,嘉義縣,番路鄉,7,2540,6.00
