UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
836,2023-03-20,嘉義縣,竹崎鄉,8,9189,6.00
1152,2023-03-19,嘉義縣,竹崎鄉,4,9181,5.71
1485,2023-03-18,嘉義縣,竹崎鄉,6,9177,6.14
1838,2023-03-17,嘉義縣,竹崎鄉,5,9171,6.86
2185,2023-03-16,嘉義縣,竹崎鄉,7,9166,7.43
2538,2023-03-15,嘉義縣,竹崎鄉,4,9159,8.71
2891,2023-03-14,嘉義縣,竹崎鄉,8,9155,9.71
3249,2023-03-13,嘉義縣,竹崎鄉,6,9147,10.71
3599,2023-03-12,嘉義縣,竹崎鄉,7,9141,11.57
3954,2023-03-11,嘉義縣,竹崎鄉,11,9134,11.57
4304,2023-03-10,嘉義縣,竹崎鄉,9,9123,12.29
4660,2023-03-09,嘉義縣,竹崎鄉,16,9114,12.00
5018,2023-03-08,嘉義縣,竹崎鄉,11,9098,10.71
5372,2023-03-07,嘉義縣,竹崎鄉,15,9087,10.43
5737,2023-03-06,嘉義縣,竹崎鄉,12,9072,9.29
6088,2023-03-05,嘉義縣,竹崎鄉,7,9060,7.86
6434,2023-03-04,嘉義縣,竹崎鄉,16,9053,7.29
6790,2023-03-03,嘉義縣,竹崎鄉,7,9037,6.43
7152,2023-03-02,嘉義縣,竹崎鄉,7,9030,7.00
7517,2023-03-01,嘉義縣,竹崎鄉,9,9023,7.71
7887,2023-02-28,嘉義縣,竹崎鄉,7,9014,7.71
8248,2023-02-27,嘉義縣,竹崎鄉,2,9007,8.14
8594,2023-02-26,嘉義縣,竹崎鄉,3,9005,9.86
8957,2023-02-25,嘉義縣,竹崎鄉,10,9002,10.43
9321,2023-02-24,嘉義縣,竹崎鄉,11,8992,10.86
9687,2023-02-23,嘉義縣,竹崎鄉,12,8981,10.57
10059,2023-02-22,嘉義縣,竹崎鄉,9,8969,11.00
10432,2023-02-21,嘉義縣,竹崎鄉,10,8960,11.29
10805,2023-02-20,嘉義縣,竹崎鄉,14,8950,11.57
11171,2023-02-19,嘉義縣,竹崎鄉,7,8936,11.57
11537,2023-02-18,嘉義縣,竹崎鄉,13,8929,11.14
11907,2023-02-17,嘉義縣,竹崎鄉,9,8916,11.14
12280,2023-02-16,嘉義縣,竹崎鄉,15,8907,12.71
12655,2023-02-15,嘉義縣,竹崎鄉,11,8892,12.29
13030,2023-02-14,嘉義縣,竹崎鄉,12,8881,12.43
13402,2023-02-13,嘉義縣,竹崎鄉,14,8869,13.00
13773,2023-02-12,嘉義縣,竹崎鄉,4,8855,14.43
14138,2023-02-11,嘉義縣,竹崎鄉,13,8851,15.14
14507,2023-02-10,嘉義縣,竹崎鄉,20,8838,16.14
14879,2023-02-09,嘉義縣,竹崎鄉,12,8818,14.86
15261,2023-02-08,嘉義縣,竹崎鄉,12,8806,16.43
15640,2023-02-07,嘉義縣,竹崎鄉,16,8794,17.14
16020,2023-02-06,嘉義縣,竹崎鄉,24,8778,18.86
16394,2023-02-05,嘉義縣,竹崎鄉,9,8754,18.86
16768,2023-02-04,嘉義縣,竹崎鄉,20,8745,19.29
17148,2023-02-03,嘉義縣,竹崎鄉,11,8725,18.00
17535,2023-02-02,嘉義縣,竹崎鄉,23,8714,20.14
17915,2023-02-01,嘉義縣,竹崎鄉,17,8691,19.86
18297,2023-01-31,嘉義縣,竹崎鄉,28,8674,19.43
18682,2023-01-30,嘉義縣,竹崎鄉,24,8646,19.14
19067,2023-01-29,嘉義縣,竹崎鄉,12,8622,17.86
19445,2023-01-28,嘉義縣,竹崎鄉,11,8610,18.43
19821,2023-01-27,嘉義縣,竹崎鄉,26,8599,19.43
20199,2023-01-26,嘉義縣,竹崎鄉,21,8573,16.86
20570,2023-01-25,嘉義縣,竹崎鄉,14,8552,15.71
20940,2023-01-24,嘉義縣,竹崎鄉,26,8538,14.71
21308,2023-01-23,嘉義縣,竹崎鄉,15,8512,13.00
21678,2023-01-22,嘉義縣,竹崎鄉,16,8497,13.29
22046,2023-01-21,嘉義縣,竹崎鄉,18,8481,12.14
22416,2023-01-20,嘉義縣,竹崎鄉,8,8463,11.14
22783,2023-01-19,嘉義縣,竹崎鄉,13,8455,11.57
23156,2023-01-18,嘉義縣,竹崎鄉,7,8442,10.86
23521,2023-01-17,嘉義縣,竹崎鄉,14,8435,11.71
23891,2023-01-16,嘉義縣,竹崎鄉,17,8421,11.29
24265,2023-01-15,嘉義縣,竹崎鄉,8,8404,12.71
24631,2023-01-14,嘉義縣,竹崎鄉,11,8396,13.86
24999,2023-01-13,嘉義縣,竹崎鄉,11,8385,15.43
25373,2023-01-12,嘉義縣,竹崎鄉,8,8374,15.86
25744,2023-01-11,嘉義縣,竹崎鄉,13,8366,16.71
