UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
134,2023-04-07,嘉義縣,義竹鄉,1,20,0.29
184,2023-04-03,嘉義縣,義竹鄉,1,19,0.14
289,2023-03-27,嘉義縣,義竹鄉,1,18,0.14
635,2023-03-16,嘉義縣,義竹鄉,1,17,0.14
2230,2023-02-14,嘉義縣,義竹鄉,1,16,0.14
3073,2023-02-01,嘉義縣,義竹鄉,1,15,0.14
7399,2022-11-01,嘉義縣,義竹鄉,1,14,0.29
7527,2022-10-30,嘉義縣,義竹鄉,1,13,0.14
8723,2022-10-13,嘉義縣,義竹鄉,1,12,0.14
12755,2022-07-24,嘉義縣,義竹鄉,1,11,0.29
12872,2022-07-22,嘉義縣,義竹鄉,1,10,0.14
13309,2022-07-15,嘉義縣,義竹鄉,1,9,0.14
14313,2022-07-02,嘉義縣,義竹鄉,1,8,0.43
14500,2022-06-30,嘉義縣,義竹鄉,1,7,0.29
14899,2022-06-26,嘉義縣,義竹鄉,1,6,0.29
15191,2022-06-23,嘉義縣,義竹鄉,1,5,0.29
15757,2022-06-18,嘉義縣,義竹鄉,1,4,0.29
16280,2022-06-14,嘉義縣,義竹鄉,1,3,0.14
17860,2022-06-01,嘉義縣,義竹鄉,1,2,0.14
19341,2022-05-16,嘉義縣,義竹鄉,1,1,0.14
