UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
859,2023-03-20,嘉義縣,義竹鄉,1,3185,1.29
1184,2023-03-19,嘉義縣,義竹鄉,2,3184,1.29
1523,2023-03-18,嘉義縣,義竹鄉,1,3182,1.43
2223,2023-03-16,嘉義縣,義竹鄉,2,3181,1.86
2577,2023-03-15,嘉義縣,義竹鄉,1,3179,2.43
2931,2023-03-14,嘉義縣,義竹鄉,2,3178,2.86
3289,2023-03-13,嘉義縣,義竹鄉,1,3176,3.00
3637,2023-03-12,嘉義縣,義竹鄉,3,3175,4.00
3992,2023-03-11,嘉義縣,義竹鄉,3,3172,3.57
4344,2023-03-10,嘉義縣,義竹鄉,1,3169,3.57
4699,2023-03-09,嘉義縣,義竹鄉,6,3168,4.29
5056,2023-03-08,嘉義縣,義竹鄉,4,3162,4.00
5414,2023-03-07,嘉義縣,義竹鄉,3,3158,4.86
5780,2023-03-06,嘉義縣,義竹鄉,8,3155,5.00
6474,2023-03-04,嘉義縣,義竹鄉,3,3147,5.00
6831,2023-03-03,嘉義縣,義竹鄉,6,3144,5.29
7193,2023-03-02,嘉義縣,義竹鄉,4,3138,4.71
7562,2023-03-01,嘉義縣,義竹鄉,10,3134,4.29
7928,2023-02-28,嘉義縣,義竹鄉,4,3124,3.14
8287,2023-02-27,嘉義縣,義竹鄉,4,3120,3.57
8635,2023-02-26,嘉義縣,義竹鄉,4,3116,4.14
9003,2023-02-25,嘉義縣,義竹鄉,5,3112,4.43
9363,2023-02-24,嘉義縣,義竹鄉,2,3107,4.43
9730,2023-02-23,嘉義縣,義竹鄉,1,3105,4.57
10105,2023-02-22,嘉義縣,義竹鄉,2,3104,5.00
10479,2023-02-21,嘉義縣,義竹鄉,7,3102,5.57
10851,2023-02-20,嘉義縣,義竹鄉,8,3095,5.29
11212,2023-02-19,嘉義縣,義竹鄉,6,3087,5.29
11581,2023-02-18,嘉義縣,義竹鄉,5,3081,5.71
11953,2023-02-17,嘉義縣,義竹鄉,3,3076,6.00
12327,2023-02-16,嘉義縣,義竹鄉,4,3073,6.14
12700,2023-02-15,嘉義縣,義竹鄉,6,3069,7.00
13074,2023-02-14,嘉義縣,義竹鄉,5,3063,6.86
13450,2023-02-13,嘉義縣,義竹鄉,8,3058,8.00
13813,2023-02-12,嘉義縣,義竹鄉,9,3050,8.71
14184,2023-02-11,嘉義縣,義竹鄉,7,3041,8.71
14553,2023-02-10,嘉義縣,義竹鄉,4,3034,9.14
14927,2023-02-09,嘉義縣,義竹鄉,10,3030,9.86
15305,2023-02-08,嘉義縣,義竹鄉,5,3020,9.57
15687,2023-02-07,嘉義縣,義竹鄉,13,3015,10.00
16066,2023-02-06,嘉義縣,義竹鄉,13,3002,11.14
16438,2023-02-05,嘉義縣,義竹鄉,9,2989,10.71
16815,2023-02-04,嘉義縣,義竹鄉,10,2980,10.86
17197,2023-02-03,嘉義縣,義竹鄉,9,2970,10.43
17581,2023-02-02,嘉義縣,義竹鄉,8,2961,10.00
17962,2023-02-01,嘉義縣,義竹鄉,8,2953,9.43
18343,2023-01-31,嘉義縣,義竹鄉,21,2945,8.71
18731,2023-01-30,嘉義縣,義竹鄉,10,2924,6.86
19113,2023-01-29,嘉義縣,義竹鄉,10,2914,6.29
19492,2023-01-28,嘉義縣,義竹鄉,7,2904,5.14
19867,2023-01-27,嘉義縣,義竹鄉,6,2897,5.14
20245,2023-01-26,嘉義縣,義竹鄉,4,2891,5.14
20617,2023-01-25,嘉義縣,義竹鄉,3,2887,5.14
20985,2023-01-24,嘉義縣,義竹鄉,8,2884,5.86
21355,2023-01-23,嘉義縣,義竹鄉,6,2876,5.86
21720,2023-01-22,嘉義縣,義竹鄉,2,2870,5.29
22092,2023-01-21,嘉義縣,義竹鄉,7,2868,5.29
22458,2023-01-20,嘉義縣,義竹鄉,6,2861,5.86
22827,2023-01-19,嘉義縣,義竹鄉,4,2855,6.00
23200,2023-01-18,嘉義縣,義竹鄉,8,2851,6.29
23565,2023-01-17,嘉義縣,義竹鄉,8,2843,5.43
23939,2023-01-16,嘉義縣,義竹鄉,2,2835,5.43
24312,2023-01-15,嘉義縣,義竹鄉,2,2833,7.29
24676,2023-01-14,嘉義縣,義竹鄉,11,2831,7.86
25042,2023-01-13,嘉義縣,義竹鄉,7,2820,7.29
25419,2023-01-12,嘉義縣,義竹鄉,6,2813,8.00
25791,2023-01-11,嘉義縣,義竹鄉,2,2807,8.43
26165,2023-01-10,嘉義縣,義竹鄉,8,2805,10.29
26542,2023-01-09,嘉義縣,義竹鄉,15,2797,10.00
26910,2023-01-08,嘉義縣,義竹鄉,6,2782,9.29
27274,2023-01-07,嘉義縣,義竹鄉,7,2776,8.71
27645,2023-01-06,嘉義縣,義竹鄉,12,2769,8.57
28026,2023-01-05,嘉義縣,義竹鄉,9,2757,8.43
28407,2023-01-04,嘉義縣,義竹鄉,15,2748,9.14
28788,2023-01-03,嘉義縣,義竹鄉,6,2733,8.00
29163,2023-01-02,嘉義縣,義竹鄉,10,2727,8.14
29527,2023-01-01,嘉義縣,義竹鄉,2,2717,7.86
29894,2022-12-31,嘉義縣,義竹鄉,6,2715,7.71
30263,2022-12-30,嘉義縣,義竹鄉,11,2709,7.29
30635,2022-12-29,嘉義縣,義竹鄉,14,2698,6.57
31008,2022-12-28,嘉義縣,義竹鄉,7,2684,5.71
31383,2022-12-27,嘉義縣,義竹鄉,7,2677,5.71
31755,2022-12-26,嘉義縣,義竹鄉,8,2670,5.14
32112,2022-12-25,嘉義縣,義竹鄉,1,2662,4.14
32473,2022-12-24,嘉義縣,義竹鄉,3,2661,4.43
32833,2022-12-23,嘉義縣,義竹鄉,6,2658,4.14
33201,2022-12-22,嘉義縣,義竹鄉,8,2652,3.57
33572,2022-12-21,嘉義縣,義竹鄉,7,2644,3.29
33935,2022-12-20,嘉義縣,義竹鄉,3,2637,3.86
