UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1207,2023-03-04,嘉義縣,鹿草鄉,1,15,0.14
1779,2023-02-22,嘉義縣,鹿草鄉,1,14,0.14
3472,2023-01-25,嘉義縣,鹿草鄉,1,13,0.14
3854,2023-01-17,嘉義縣,鹿草鄉,1,12,0.14
4456,2023-01-05,嘉義縣,鹿草鄉,1,11,0.14
6887,2022-11-10,嘉義縣,鹿草鄉,1,10,0.14
7671,2022-10-28,嘉義縣,鹿草鄉,1,9,0.14
11541,2022-08-21,嘉義縣,鹿草鄉,1,8,0.14
14073,2022-07-05,嘉義縣,鹿草鄉,1,7,0.29
14538,2022-06-30,嘉義縣,鹿草鄉,1,6,0.29
14840,2022-06-27,嘉義縣,鹿草鄉,1,5,0.29
15345,2022-06-22,嘉義縣,鹿草鄉,1,4,0.14
16186,2022-06-15,嘉義縣,鹿草鄉,1,3,0.14
17174,2022-06-07,嘉義縣,鹿草鄉,1,2,0.29
17410,2022-06-05,嘉義縣,鹿草鄉,1,1,0.14
