UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
129,2023-06-14,基隆市,七堵區,1,26955,0.14
662,2023-03-20,基隆市,七堵區,6,26954,20.71
949,2023-03-19,基隆市,七堵區,13,26948,21.43
1277,2023-03-18,基隆市,七堵區,27,26935,21.86
1617,2023-03-17,基隆市,七堵區,18,26908,20.00
1969,2023-03-16,基隆市,七堵區,20,26890,21.43
2322,2023-03-15,基隆市,七堵區,33,26870,21.57
2673,2023-03-14,基隆市,七堵區,28,26837,20.71
3030,2023-03-13,基隆市,七堵區,11,26809,20.86
3389,2023-03-12,基隆市,七堵區,16,26798,21.00
3734,2023-03-11,基隆市,七堵區,14,26782,22.43
4087,2023-03-10,基隆市,七堵區,28,26768,24.14
4442,2023-03-09,基隆市,七堵區,21,26740,23.86
4801,2023-03-08,基隆市,七堵區,27,26719,25.00
5155,2023-03-07,基隆市,七堵區,29,26692,23.57
5514,2023-03-06,基隆市,七堵區,12,26663,23.43
5879,2023-03-05,基隆市,七堵區,26,26651,23.71
6218,2023-03-04,基隆市,七堵區,26,26625,22.86
6570,2023-03-03,基隆市,七堵區,26,26599,24.00
6929,2023-03-02,基隆市,七堵區,29,26573,25.29
7293,2023-03-01,基隆市,七堵區,17,26544,24.71
7664,2023-02-28,基隆市,七堵區,28,26527,26.43
8027,2023-02-27,基隆市,七堵區,14,26499,31.00
8386,2023-02-26,基隆市,七堵區,20,26485,31.14
8731,2023-02-25,基隆市,七堵區,34,26465,31.43
9101,2023-02-24,基隆市,七堵區,35,26431,33.57
9462,2023-02-23,基隆市,七堵區,25,26396,32.71
9832,2023-02-22,基隆市,七堵區,29,26371,34.29
10207,2023-02-21,基隆市,七堵區,60,26342,37.14
10576,2023-02-20,基隆市,七堵區,15,26282,37.00
10956,2023-02-19,基隆市,七堵區,22,26267,37.86
11314,2023-02-18,基隆市,七堵區,49,26245,39.71
11681,2023-02-17,基隆市,七堵區,29,26196,40.71
12053,2023-02-16,基隆市,七堵區,36,26167,41.29
12428,2023-02-15,基隆市,七堵區,49,26131,42.43
12801,2023-02-14,基隆市,七堵區,59,26082,46.43
13173,2023-02-13,基隆市,七堵區,21,26023,48.43
13552,2023-02-12,基隆市,七堵區,35,26002,51.43
13909,2023-02-11,基隆市,七堵區,56,25967,54.29
14281,2023-02-10,基隆市,七堵區,33,25911,58.00
14655,2023-02-09,基隆市,七堵區,44,25878,63.00
15031,2023-02-08,基隆市,七堵區,77,25834,66.00
15410,2023-02-07,基隆市,七堵區,73,25757,68.29
15789,2023-02-06,基隆市,七堵區,42,25684,71.14
16171,2023-02-05,基隆市,七堵區,55,25642,71.71
