UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
20,2023-07-24,基隆市,中山區,1,21891,0.14
117,2023-06-14,基隆市,中山區,2,21890,0.29
649,2023-03-20,基隆市,中山區,1,21888,20.14
934,2023-03-19,基隆市,中山區,19,21887,21.57
1262,2023-03-18,基隆市,中山區,33,21868,20.86
1602,2023-03-17,基隆市,中山區,20,21835,18.71
1954,2023-03-16,基隆市,中山區,23,21815,18.71
2307,2023-03-15,基隆市,中山區,25,21792,17.57
2658,2023-03-14,基隆市,中山區,20,21767,17.43
3015,2023-03-13,基隆市,中山區,11,21747,17.00
3374,2023-03-12,基隆市,中山區,14,21736,19.71
3719,2023-03-11,基隆市,中山區,18,21722,20.86
4072,2023-03-10,基隆市,中山區,20,21704,21.43
4427,2023-03-09,基隆市,中山區,15,21684,21.29
4786,2023-03-08,基隆市,中山區,24,21669,22.57
5140,2023-03-07,基隆市,中山區,17,21645,25.00
5499,2023-03-06,基隆市,中山區,30,21628,24.86
5864,2023-03-05,基隆市,中山區,22,21598,24.57
6203,2023-03-04,基隆市,中山區,22,21576,23.43
6555,2023-03-03,基隆市,中山區,19,21554,25.29
6914,2023-03-02,基隆市,中山區,24,21535,26.29
7278,2023-03-01,基隆市,中山區,41,21511,28.14
7649,2023-02-28,基隆市,中山區,16,21470,26.29
8012,2023-02-27,基隆市,中山區,28,21454,29.86
8371,2023-02-26,基隆市,中山區,14,21426,30.86
8716,2023-02-25,基隆市,中山區,35,21412,33.00
9086,2023-02-24,基隆市,中山區,26,21377,30.57
9447,2023-02-23,基隆市,中山區,37,21351,31.43
9817,2023-02-22,基隆市,中山區,28,21314,31.00
10192,2023-02-21,基隆市,中山區,41,21286,31.86
10561,2023-02-20,基隆市,中山區,35,21245,31.86
10941,2023-02-19,基隆市,中山區,29,21210,34.00
11299,2023-02-18,基隆市,中山區,18,21181,35.00
11666,2023-02-17,基隆市,中山區,32,21163,37.14
12038,2023-02-16,基隆市,中山區,34,21131,38.00
12413,2023-02-15,基隆市,中山區,34,21097,38.86
12786,2023-02-14,基隆市,中山區,41,21063,42.43
13158,2023-02-13,基隆市,中山區,50,21022,45.00
13537,2023-02-12,基隆市,中山區,36,20972,44.14
13894,2023-02-11,基隆市,中山區,33,20936,46.00
14266,2023-02-10,基隆市,中山區,38,20903,47.57
14640,2023-02-09,基隆市,中山區,40,20865,50.57
15016,2023-02-08,基隆市,中山區,59,20825,52.71
15395,2023-02-07,基隆市,中山區,59,20766,54.14
15774,2023-02-06,基隆市,中山區,44,20707,56.14
16156,2023-02-05,基隆市,中山區,49,20663,59.71
16524,2023-02-04,基隆市,中山區,44,20614,63.14
16903,2023-02-03,基隆市,中山區,59,20570,67.43
17289,2023-02-02,基隆市,中山區,55,20511,71.29
17672,2023-02-01,基隆市,中山區,69,20456,73.86
18049,2023-01-31,基隆市,中山區,73,20387,70.57
18434,2023-01-30,基隆市,中山區,69,20314,66.14
18823,2023-01-29,基隆市,中山區,73,20245,61.43
19199,2023-01-28,基隆市,中山區,74,20172,54.43
19578,2023-01-27,基隆市,中山區,86,20098,51.86
19956,2023-01-26,基隆市,中山區,73,20012,46.29
20333,2023-01-25,基隆市,中山區,46,19939,42.57
20698,2023-01-24,基隆市,中山區,42,19893,42.86
21073,2023-01-23,基隆市,中山區,36,19851,43.00
21440,2023-01-22,基隆市,中山區,24,19815,41.71
21804,2023-01-21,基隆市,中山區,56,19791,42.57
22176,2023-01-20,基隆市,中山區,47,19735,40.29
22543,2023-01-19,基隆市,中山區,47,19688,40.71
22914,2023-01-18,基隆市,中山區,48,19641,40.86
23286,2023-01-17,基隆市,中山區,43,19593,40.14
23650,2023-01-16,基隆市,中山區,27,19550,39.57
24026,2023-01-15,基隆市,中山區,30,19523,42.71
24393,2023-01-14,基隆市,中山區,40,19493,45.86
24761,2023-01-13,基隆市,中山區,50,19453,45.00
25129,2023-01-12,基隆市,中山區,48,19403,43.86
25504,2023-01-11,基隆市,中山區,43,19355,42.43
25880,2023-01-10,基隆市,中山區,39,19312,43.86
26252,2023-01-09,基隆市,中山區,49,19273,47.00
26631,2023-01-08,基隆市,中山區,52,19224,46.00
26988,2023-01-07,基隆市,中山區,34,19172,45.14
27359,2023-01-06,基隆市,中山區,42,19138,44.57
27735,2023-01-05,基隆市,中山區,38,19096,44.29
28115,2023-01-04,基隆市,中山區,53,19058,43.71
28496,2023-01-03,基隆市,中山區,61,19005,43.43
28878,2023-01-02,基隆市,中山區,42,18944,43.00
29249,2023-01-01,基隆市,中山區,46,18902,40.86
29611,2022-12-31,基隆市,中山區,30,18856,39.71
29977,2022-12-30,基隆市,中山區,40,18826,38.00
30349,2022-12-29,基隆市,中山區,34,18786,36.57
30722,2022-12-28,基隆市,中山區,51,18752,37.71
31092,2022-12-27,基隆市,中山區,58,18701,34.00
31469,2022-12-26,基隆市,中山區,27,18643,29.29
31841,2022-12-25,基隆市,中山區,38,18616,29.00
32195,2022-12-24,基隆市,中山區,18,18578,25.86
32555,2022-12-23,基隆市,中山區,30,18560,26.29
32919,2022-12-22,基隆市,中山區,42,18530,24.71
33286,2022-12-21,基隆市,中山區,25,18488,21.29
33656,2022-12-20,基隆市,中山區,25,18463,20.14
34019,2022-12-19,基隆市,中山區,25,18438,19.14
34390,2022-12-18,基隆市,中山區,16,18413,18.71
34738,2022-12-17,基隆市,中山區,21,18397,19.29
35098,2022-12-16,基隆市,中山區,19,18376,17.86
35463,2022-12-15,基隆市,中山區,18,18357,19.29
35834,2022-12-14,基隆市,中山區,17,18339,20.14
36193,2022-12-13,基隆市,中山區,18,18322,21.14
36567,2022-12-12,基隆市,中山區,22,18304,21.29
36938,2022-12-11,基隆市,中山區,20,18282,20.86
37290,2022-12-10,基隆市,中山區,11,18262,20.14
37659,2022-12-09,基隆市,中山區,29,18251,21.14
38024,2022-12-08,基隆市,中山區,24,18222,19.29
38397,2022-12-07,基隆市,中山區,24,18198,18.29
38769,2022-12-06,基隆市,中山區,19,18174,17.14
39140,2022-12-05,基隆市,中山區,19,18155,17.86
39518,2022-12-04,基隆市,中山區,15,18136,19.57
39884,2022-12-03,基隆市,中山區,18,18121,20.00
40253,2022-12-02,基隆市,中山區,16,18103,19.29
40623,2022-12-01,基隆市,中山區,17,18087,20.43
40992,2022-11-30,基隆市,中山區,16,18070,21.14
41363,2022-11-29,基隆市,中山區,24,18054,22.00
41743,2022-11-28,基隆市,中山區,31,18030,22.71
42121,2022-11-27,基隆市,中山區,18,17999,23.43
42482,2022-11-26,基隆市,中山區,13,17981,23.29
42838,2022-11-25,基隆市,中山區,24,17968,24.86
43209,2022-11-24,基隆市,中山區,22,17944,25.43
43579,2022-11-23,基隆市,中山區,22,17922,25.43
43951,2022-11-22,基隆市,中山區,29,17900,27.86
44324,2022-11-21,基隆市,中山區,36,17871,30.86
44707,2022-11-20,基隆市,中山區,17,17835,31.14
45070,2022-11-19,基隆市,中山區,24,17818,33.14
45444,2022-11-18,基隆市,中山區,28,17794,35.71
45816,2022-11-17,基隆市,中山區,22,17766,36.86
46189,2022-11-16,基隆市,中山區,39,17744,37.71
46569,2022-11-15,基隆市,中山區,50,17705,37.14
46950,2022-11-14,基隆市,中山區,38,17655,36.43
47331,2022-11-13,基隆市,中山區,31,17617,35.86
47701,2022-11-12,基隆市,中山區,42,17586,36.14
48078,2022-11-11,基隆市,中山區,36,17544,34.29
