UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2071,2023-06-14,基隆市,中正區,40-44,2371
2072,2023-06-14,基隆市,中正區,70+,2080
2073,2023-06-14,基隆市,中正區,60-64,1437
2074,2023-06-14,基隆市,中正區,50-54,1684
2075,2023-06-14,基隆市,中正區,35-39,2139
2076,2023-06-14,基隆市,中正區,3,205
2077,2023-06-14,基隆市,中正區,20-24,2538
2078,2023-06-14,基隆市,中正區,25-29,2212
2079,2023-06-14,基隆市,中正區,45-49,1897
2080,2023-03-20,基隆市,中正區,55-59,1652
2081,2023-03-20,基隆市,中正區,30-34,2061
2082,2023-03-20,基隆市,中正區,15-19,1490
2083,2023-03-20,基隆市,中正區,65-69,1230
2084,2023-03-19,基隆市,中正區,2,207
2085,2023-03-18,基隆市,中正區,0,136
2086,2023-03-18,基隆市,中正區,5-9,1217
2087,2023-03-18,基隆市,中正區,10-14,1208
2088,2023-03-16,基隆市,中正區,4,220
2089,2023-03-14,基隆市,中正區,1,182
