UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
109,2023-06-14,基隆市,中正區,11,26166,1.57
494,2023-03-21,基隆市,中正區,1,26155,22.00
639,2023-03-20,基隆市,中正區,16,26154,29.71
923,2023-03-19,基隆市,中正區,22,26138,31.71
1251,2023-03-18,基隆市,中正區,29,26116,31.00
1591,2023-03-17,基隆市,中正區,25,26087,29.57
1943,2023-03-16,基隆市,中正區,27,26062,29.00
2296,2023-03-15,基隆市,中正區,34,26035,28.14
2647,2023-03-14,基隆市,中正區,55,26001,27.43
3004,2023-03-13,基隆市,中正區,30,25946,22.71
3363,2023-03-12,基隆市,中正區,17,25916,21.71
3708,2023-03-11,基隆市,中正區,19,25899,21.00
4061,2023-03-10,基隆市,中正區,21,25880,21.43
4416,2023-03-09,基隆市,中正區,21,25859,21.86
4775,2023-03-08,基隆市,中正區,29,25838,23.57
5129,2023-03-07,基隆市,中正區,22,25809,24.86
5488,2023-03-06,基隆市,中正區,23,25787,27.71
5853,2023-03-05,基隆市,中正區,12,25764,28.14
6192,2023-03-04,基隆市,中正區,22,25752,29.57
6544,2023-03-03,基隆市,中正區,24,25730,30.71
6903,2023-03-02,基隆市,中正區,33,25706,31.71
7267,2023-03-01,基隆市,中正區,38,25673,32.71
7638,2023-02-28,基隆市,中正區,42,25635,32.14
8001,2023-02-27,基隆市,中正區,26,25593,32.86
8360,2023-02-26,基隆市,中正區,22,25567,34.29
8705,2023-02-25,基隆市,中正區,30,25545,35.57
9075,2023-02-24,基隆市,中正區,31,25515,38.00
9436,2023-02-23,基隆市,中正區,40,25484,37.29
9806,2023-02-22,基隆市,中正區,34,25444,38.86
10181,2023-02-21,基隆市,中正區,47,25410,40.71
10550,2023-02-20,基隆市,中正區,36,25363,40.14
10930,2023-02-19,基隆市,中正區,31,25327,42.71
11288,2023-02-18,基隆市,中正區,47,25296,44.43
11655,2023-02-17,基隆市,中正區,26,25249,44.43
12027,2023-02-16,基隆市,中正區,51,25223,46.29
12402,2023-02-15,基隆市,中正區,47,25172,47.71
