UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
13,2023-07-25,基隆市,仁愛區,1,17601,0.14
91,2023-06-14,基隆市,仁愛區,3,17600,0.43
480,2023-03-21,基隆市,仁愛區,1,17597,11.43
619,2023-03-20,基隆市,仁愛區,5,17596,14.71
903,2023-03-19,基隆市,仁愛區,23,17591,15.57
1231,2023-03-18,基隆市,仁愛區,18,17568,13.71
1571,2023-03-17,基隆市,仁愛區,15,17550,14.43
1923,2023-03-16,基隆市,仁愛區,10,17535,14.43
2276,2023-03-15,基隆市,仁愛區,8,17525,14.86
2627,2023-03-14,基隆市,仁愛區,24,17517,15.57
2984,2023-03-13,基隆市,仁愛區,11,17493,15.14
3343,2023-03-12,基隆市,仁愛區,10,17482,15.57
3688,2023-03-11,基隆市,仁愛區,23,17472,15.86
4041,2023-03-10,基隆市,仁愛區,15,17449,14.86
4396,2023-03-09,基隆市,仁愛區,13,17434,15.43
4755,2023-03-08,基隆市,仁愛區,13,17421,17.00
5109,2023-03-07,基隆市,仁愛區,21,17408,17.71
5468,2023-03-06,基隆市,仁愛區,14,17387,16.71
5833,2023-03-05,基隆市,仁愛區,12,17373,17.14
6172,2023-03-04,基隆市,仁愛區,16,17361,16.71
6524,2023-03-03,基隆市,仁愛區,19,17345,18.00
6883,2023-03-02,基隆市,仁愛區,24,17326,18.14
7247,2023-03-01,基隆市,仁愛區,18,17302,17.86
7618,2023-02-28,基隆市,仁愛區,14,17284,17.29
7981,2023-02-27,基隆市,仁愛區,17,17270,18.43
8340,2023-02-26,基隆市,仁愛區,9,17253,18.43
8685,2023-02-25,基隆市,仁愛區,25,17244,19.14
9055,2023-02-24,基隆市,仁愛區,20,17219,18.71
9416,2023-02-23,基隆市,仁愛區,22,17199,19.43
9786,2023-02-22,基隆市,仁愛區,14,17177,19.29
10161,2023-02-21,基隆市,仁愛區,22,17163,21.57
10530,2023-02-20,基隆市,仁愛區,17,17141,22.86
10910,2023-02-19,基隆市,仁愛區,14,17124,26.00
11268,2023-02-18,基隆市,仁愛區,22,17110,27.29
11635,2023-02-17,基隆市,仁愛區,25,17088,28.71
12007,2023-02-16,基隆市,仁愛區,21,17063,29.71
12382,2023-02-15,基隆市,仁愛區,30,17042,32.43
12755,2023-02-14,基隆市,仁愛區,31,17012,34.57
13127,2023-02-13,基隆市,仁愛區,39,16981,35.86
13506,2023-02-12,基隆市,仁愛區,23,16942,37.43
13863,2023-02-11,基隆市,仁愛區,32,16919,37.57
14235,2023-02-10,基隆市,仁愛區,32,16887,38.00
14609,2023-02-09,基隆市,仁愛區,40,16855,38.71
14985,2023-02-08,基隆市,仁愛區,45,16815,40.57
15364,2023-02-07,基隆市,仁愛區,40,16770,40.57
15743,2023-02-06,基隆市,仁愛區,50,16730,44.57
16125,2023-02-05,基隆市,仁愛區,24,16680,43.29
16493,2023-02-04,基隆市,仁愛區,35,16656,45.43
16872,2023-02-03,基隆市,仁愛區,37,16621,44.57
17258,2023-02-02,基隆市,仁愛區,53,16584,47.71
17641,2023-02-01,基隆市,仁愛區,45,16531,45.14
18018,2023-01-31,基隆市,仁愛區,68,16486,43.29
18403,2023-01-30,基隆市,仁愛區,41,16418,38.86
18792,2023-01-29,基隆市,仁愛區,39,16377,36.29
19168,2023-01-28,基隆市,仁愛區,29,16338,33.71
19547,2023-01-27,基隆市,仁愛區,59,16309,33.57
19925,2023-01-26,基隆市,仁愛區,35,16250,29.00
20302,2023-01-25,基隆市,仁愛區,32,16215,28.29
20667,2023-01-24,基隆市,仁愛區,37,16183,28.29
21042,2023-01-23,基隆市,仁愛區,23,16146,27.29
21409,2023-01-22,基隆市,仁愛區,21,16123,27.71
21773,2023-01-21,基隆市,仁愛區,28,16102,27.71
22145,2023-01-20,基隆市,仁愛區,27,16074,29.00
22512,2023-01-19,基隆市,仁愛區,30,16047,31.43
22883,2023-01-18,基隆市,仁愛區,32,16017,30.43
23255,2023-01-17,基隆市,仁愛區,30,15985,31.86
23619,2023-01-16,基隆市,仁愛區,26,15955,31.29
23995,2023-01-15,基隆市,仁愛區,21,15929,32.57
24362,2023-01-14,基隆市,仁愛區,37,15908,31.14
24730,2023-01-13,基隆市,仁愛區,44,15871,29.57
25098,2023-01-12,基隆市,仁愛區,23,15827,28.43
25473,2023-01-11,基隆市,仁愛區,42,15804,29.71
25849,2023-01-10,基隆市,仁愛區,26,15762,29.00
26221,2023-01-09,基隆市,仁愛區,35,15736,30.71
26600,2023-01-08,基隆市,仁愛區,11,15701,30.71
26957,2023-01-07,基隆市,仁愛區,26,15690,31.29
27328,2023-01-06,基隆市,仁愛區,36,15664,32.43
27704,2023-01-05,基隆市,仁愛區,32,15628,31.43
28084,2023-01-04,基隆市,仁愛區,37,15596,33.71
28465,2023-01-03,基隆市,仁愛區,38,15559,34.29
28847,2023-01-02,基隆市,仁愛區,35,15521,32.29
29218,2023-01-01,基隆市,仁愛區,15,15486,32.00
29580,2022-12-31,基隆市,仁愛區,34,15471,31.29
29946,2022-12-30,基隆市,仁愛區,29,15437,31.29
30318,2022-12-29,基隆市,仁愛區,48,15408,31.57
30691,2022-12-28,基隆市,仁愛區,41,15360,27.86
31061,2022-12-27,基隆市,仁愛區,24,15319,26.00
31438,2022-12-26,基隆市,仁愛區,33,15295,24.71
31810,2022-12-25,基隆市,仁愛區,10,15262,22.29
32164,2022-12-24,基隆市,仁愛區,34,15252,22.43
32524,2022-12-23,基隆市,仁愛區,31,15218,21.29
32888,2022-12-22,基隆市,仁愛區,22,15187,19.14
33255,2022-12-21,基隆市,仁愛區,28,15165,19.00
33625,2022-12-20,基隆市,仁愛區,15,15137,16.57
33988,2022-12-19,基隆市,仁愛區,16,15122,17.43
34359,2022-12-18,基隆市,仁愛區,11,15106,17.57
34707,2022-12-17,基隆市,仁愛區,26,15095,18.14
35067,2022-12-16,基隆市,仁愛區,16,15069,16.29
35432,2022-12-15,基隆市,仁愛區,21,15053,17.71
35803,2022-12-14,基隆市,仁愛區,11,15032,16.57
36162,2022-12-13,基隆市,仁愛區,21,15021,16.57
36536,2022-12-12,基隆市,仁愛區,17,15000,16.14
36908,2022-12-11,基隆市,仁愛區,15,14983,16.14
37259,2022-12-10,基隆市,仁愛區,13,14968,15.29
37628,2022-12-09,基隆市,仁愛區,26,14955,15.43
37993,2022-12-08,基隆市,仁愛區,13,14929,14.29
38366,2022-12-07,基隆市,仁愛區,11,14916,13.86
38738,2022-12-06,基隆市,仁愛區,18,14905,15.14
39109,2022-12-05,基隆市,仁愛區,17,14887,14.86
39487,2022-12-04,基隆市,仁愛區,9,14870,14.00
39853,2022-12-03,基隆市,仁愛區,14,14861,13.71
40222,2022-12-02,基隆市,仁愛區,18,14847,15.14
40592,2022-12-01,基隆市,仁愛區,10,14829,13.86
40961,2022-11-30,基隆市,仁愛區,20,14819,13.71
41332,2022-11-29,基隆市,仁愛區,16,14799,13.86
41712,2022-11-28,基隆市,仁愛區,11,14783,13.29
42090,2022-11-27,基隆市,仁愛區,7,14772,16.00
42451,2022-11-26,基隆市,仁愛區,24,14765,17.00
42807,2022-11-25,基隆市,仁愛區,9,14741,15.43
43178,2022-11-24,基隆市,仁愛區,9,14732,17.14
43548,2022-11-23,基隆市,仁愛區,21,14723,17.86
43920,2022-11-22,基隆市,仁愛區,12,14702,18.14
44293,2022-11-21,基隆市,仁愛區,30,14690,19.00
44676,2022-11-20,基隆市,仁愛區,14,14660,18.14
45039,2022-11-19,基隆市,仁愛區,13,14646,17.86
45413,2022-11-18,基隆市,仁愛區,21,14633,18.00
45785,2022-11-17,基隆市,仁愛區,14,14612,18.43
46158,2022-11-16,基隆市,仁愛區,23,14598,19.57
46538,2022-11-15,基隆市,仁愛區,18,14575,20.00
46919,2022-11-14,基隆市,仁愛區,24,14557,21.00
47300,2022-11-13,基隆市,仁愛區,12,14533,21.29
47670,2022-11-12,基隆市,仁愛區,14,14521,20.86
48047,2022-11-11,基隆市,仁愛區,24,14507,22.86
48426,2022-11-10,基隆市,仁愛區,22,14483,21.43
48809,2022-11-09,基隆市,仁愛區,26,14461,21.86
49192,2022-11-08,基隆市,仁愛區,25,14435,23.71
49577,2022-11-07,基隆市,仁愛區,26,14410,25.86
49962,2022-11-06,基隆市,仁愛區,9,14384,27.00
50331,2022-11-05,基隆市,仁愛區,28,14375,28.86
50706,2022-11-04,基隆市,仁愛區,14,14347,30.00
51092,2022-11-03,基隆市,仁愛區,25,14333,34.14
51472,2022-11-02,基隆市,仁愛區,39,14308,39.43
51858,2022-11-01,基隆市,仁愛區,40,14269,39.43
52243,2022-10-31,基隆市,仁愛區,34,14229,41.86
52626,2022-10-30,基隆市,仁愛區,22,14195,42.57
53005,2022-10-29,基隆市,仁愛區,36,14173,44.57
53384,2022-10-28,基隆市,仁愛區,43,14137,46.57
53771,2022-10-27,基隆市,仁愛區,62,14094,48.29
54158,2022-10-26,基隆市,仁愛區,39,14032,45.00
54542,2022-10-25,基隆市,仁愛區,57,13993,48.71
54931,2022-10-24,基隆市,仁愛區,39,13936,49.71
55321,2022-10-23,基隆市,仁愛區,36,13897,54.00
55698,2022-10-22,基隆市,仁愛區,50,13861,53.71
56083,2022-10-21,基隆市,仁愛區,55,13811,55.14
56473,2022-10-20,基隆市,仁愛區,39,13756,55.14
56858,2022-10-19,基隆市,仁愛區,65,13717,58.71
57245,2022-10-18,基隆市,仁愛區,64,13652,60.14
57635,2022-10-17,基隆市,仁愛區,69,13588,59.00
58025,2022-10-16,基隆市,仁愛區,34,13519,58.43
58409,2022-10-15,基隆市,仁愛區,60,13485,58.86
58794,2022-10-14,基隆市,仁愛區,55,13425,60.71
59184,2022-10-13,基隆市,仁愛區,64,13370,61.14
59575,2022-10-12,基隆市,仁愛區,75,13306,59.71
59964,2022-10-11,基隆市,仁愛區,56,13231,59.57
60356,2022-10-10,基隆市,仁愛區,65,13175,61.14
60740,2022-10-09,基隆市,仁愛區,37,13110,61.43
61127,2022-10-08,基隆市,仁愛區,73,13073,60.86
61516,2022-10-07,基隆市,仁愛區,58,13000,60.14
61903,2022-10-06,基隆市,仁愛區,54,12942,62.00
62294,2022-10-05,基隆市,仁愛區,74,12888,60.71
62681,2022-10-04,基隆市,仁愛區,67,12814,62.14
63069,2022-10-03,基隆市,仁愛區,67,12747,63.57
63460,2022-10-02,基隆市,仁愛區,33,12680,66.57
63842,2022-10-01,基隆市,仁愛區,68,12647,66.71
64228,2022-09-30,基隆市,仁愛區,71,12579,67.57
64612,2022-09-29,基隆市,仁愛區,45,12508,65.29
65000,2022-09-28,基隆市,仁愛區,84,12463,66.57
65388,2022-09-27,基隆市,仁愛區,77,12379,66.43
65775,2022-09-26,基隆市,仁愛區,88,12302,66.57
66164,2022-09-25,基隆市,仁愛區,34,12214,68.00
66547,2022-09-24,基隆市,仁愛區,74,12180,70.43
66930,2022-09-23,基隆市,仁愛區,55,12106,69.43
67319,2022-09-22,基隆市,仁愛區,54,12051,73.86
67706,2022-09-21,基隆市,仁愛區,83,11997,76.14
68095,2022-09-20,基隆市,仁愛區,78,11914,75.71
68485,2022-09-19,基隆市,仁愛區,98,11836,75.86
68876,2022-09-18,基隆市,仁愛區,51,11738,76.43
69258,2022-09-17,基隆市,仁愛區,67,11687,76.43
69646,2022-09-16,基隆市,仁愛區,86,11620,75.57
70031,2022-09-15,基隆市,仁愛區,70,11534,74.29
70418,2022-09-14,基隆市,仁愛區,80,11464,71.57
70803,2022-09-13,基隆市,仁愛區,79,11384,69.71
71192,2022-09-12,基隆市,仁愛區,102,11305,70.29
71582,2022-09-11,基隆市,仁愛區,51,11203,68.57
71964,2022-09-10,基隆市,仁愛區,61,11152,65.43
72346,2022-09-09,基隆市,仁愛區,77,11091,65.14
72728,2022-09-08,基隆市,仁愛區,51,11014,63.86
73115,2022-09-07,基隆市,仁愛區,67,10963,63.57
73499,2022-09-06,基隆市,仁愛區,83,10896,62.57
73885,2022-09-05,基隆市,仁愛區,90,10813,58.86
74272,2022-09-04,基隆市,仁愛區,29,10723,53.57
74654,2022-09-03,基隆市,仁愛區,59,10694,54.00
75041,2022-09-02,基隆市,仁愛區,68,10635,53.14
75427,2022-09-01,基隆市,仁愛區,49,10567,50.29
75816,2022-08-31,基隆市,仁愛區,60,10518,50.00
76203,2022-08-30,基隆市,仁愛區,57,10458,47.57
76591,2022-08-29,基隆市,仁愛區,53,10401,44.29
76981,2022-08-28,基隆市,仁愛區,32,10348,42.57
77362,2022-08-27,基隆市,仁愛區,53,10316,40.71
77749,2022-08-26,基隆市,仁愛區,48,10263,37.00
78134,2022-08-25,基隆市,仁愛區,47,10215,37.86
78520,2022-08-24,基隆市,仁愛區,43,10168,35.00
78907,2022-08-23,基隆市,仁愛區,34,10125,35.00
79290,2022-08-22,基隆市,仁愛區,41,10091,33.71
