UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
128,2023-06-14,基隆市,信義區,4,27594,0.57
508,2023-03-21,基隆市,信義區,1,27590,20.71
661,2023-03-20,基隆市,信義區,9,27589,25.86
948,2023-03-19,基隆市,信義區,24,27580,28.71
1276,2023-03-18,基隆市,信義區,27,27556,28.14
1616,2023-03-17,基隆市,信義區,26,27529,29.29
1968,2023-03-16,基隆市,信義區,26,27503,28.86
2321,2023-03-15,基隆市,信義區,32,27477,28.43
2672,2023-03-14,基隆市,信義區,37,27445,26.71
3029,2023-03-13,基隆市,信義區,29,27408,25.57
3388,2023-03-12,基隆市,信義區,20,27379,25.14
3733,2023-03-11,基隆市,信義區,35,27359,24.43
4086,2023-03-10,基隆市,信義區,23,27324,23.86
4441,2023-03-09,基隆市,信義區,23,27301,24.14
4800,2023-03-08,基隆市,信義區,20,27278,26.00
5154,2023-03-07,基隆市,信義區,29,27258,26.86
5513,2023-03-06,基隆市,信義區,26,27229,27.57
5878,2023-03-05,基隆市,信義區,15,27203,28.43
6217,2023-03-04,基隆市,信義區,31,27188,29.00
6569,2023-03-03,基隆市,信義區,25,27157,30.00
6928,2023-03-02,基隆市,信義區,36,27132,34.00
7292,2023-03-01,基隆市,信義區,26,27096,32.00
7663,2023-02-28,基隆市,信義區,34,27070,34.71
8026,2023-02-27,基隆市,信義區,32,27036,36.57
8385,2023-02-26,基隆市,信義區,19,27004,40.86
8730,2023-02-25,基隆市,信義區,38,26985,42.00
9100,2023-02-24,基隆市,信義區,53,26947,44.86
9461,2023-02-23,基隆市,信義區,22,26894,42.71
9831,2023-02-22,基隆市,信義區,45,26872,46.14
10206,2023-02-21,基隆市,信義區,47,26827,45.14
10575,2023-02-20,基隆市,信義區,62,26780,44.71
10955,2023-02-19,基隆市,信義區,27,26718,47.43
11313,2023-02-18,基隆市,信義區,58,26691,51.57
11680,2023-02-17,基隆市,信義區,38,26633,51.57
12052,2023-02-16,基隆市,信義區,46,26595,53.71
12427,2023-02-15,基隆市,信義區,38,26549,55.57
12800,2023-02-14,基隆市,信義區,44,26511,60.57
13172,2023-02-13,基隆市,信義區,81,26467,67.00
13551,2023-02-12,基隆市,信義區,56,26386,64.43
13908,2023-02-11,基隆市,信義區,58,26330,62.57
14280,2023-02-10,基隆市,信義區,53,26272,62.43
14654,2023-02-09,基隆市,信義區,59,26219,65.86
15030,2023-02-08,基隆市,信義區,73,26160,69.57
15409,2023-02-07,基隆市,信義區,89,26087,71.86
15788,2023-02-06,基隆市,信義區,63,25998,72.57
16170,2023-02-05,基隆市,信義區,43,25935,78.71
16538,2023-02-04,基隆市,信義區,57,25892,80.86
16917,2023-02-03,基隆市,信義區,77,25835,86.00
17303,2023-02-02,基隆市,信義區,85,25758,87.29
17686,2023-02-01,基隆市,信義區,89,25673,86.71
18063,2023-01-31,基隆市,信義區,94,25584,84.00
18448,2023-01-30,基隆市,信義區,106,25490,77.71
18837,2023-01-29,基隆市,信義區,58,25384,68.00
19213,2023-01-28,基隆市,信義區,93,25326,62.86
19592,2023-01-27,基隆市,信義區,86,25233,58.29
19970,2023-01-26,基隆市,信義區,81,25147,54.57
20347,2023-01-25,基隆市,信義區,70,25066,49.57
20712,2023-01-24,基隆市,信義區,50,24996,46.43
21087,2023-01-23,基隆市,信義區,38,24946,46.14
21454,2023-01-22,基隆市,信義區,22,24908,49.86
21818,2023-01-21,基隆市,信義區,61,24886,53.00
22190,2023-01-20,基隆市,信義區,60,24825,51.14
22557,2023-01-19,基隆市,信義區,46,24765,50.57
22928,2023-01-18,基隆市,信義區,48,24719,51.71
23300,2023-01-17,基隆市,信義區,48,24671,52.86
23664,2023-01-16,基隆市,信義區,64,24623,55.71
24040,2023-01-15,基隆市,信義區,44,24559,54.57
24407,2023-01-14,基隆市,信義區,48,24515,53.43
24775,2023-01-13,基隆市,信義區,56,24467,54.29
25143,2023-01-12,基隆市,信義區,54,24411,53.14
25518,2023-01-11,基隆市,信義區,56,24357,52.14
25894,2023-01-10,基隆市,信義區,68,24301,54.14
26266,2023-01-09,基隆市,信義區,56,24233,56.43
26645,2023-01-08,基隆市,信義區,36,24177,57.43
27002,2023-01-07,基隆市,信義區,54,24141,57.29
27373,2023-01-06,基隆市,信義區,48,24087,58.29
27749,2023-01-05,基隆市,信義區,47,24039,60.43
28129,2023-01-04,基隆市,信義區,70,23992,65.57
28510,2023-01-03,基隆市,信義區,84,23922,63.86
28892,2023-01-02,基隆市,信義區,63,23838,58.57
29263,2023-01-01,基隆市,信義區,35,23775,57.00
29625,2022-12-31,基隆市,信義區,61,23740,55.71
29991,2022-12-30,基隆市,信義區,63,23679,51.71
30363,2022-12-29,基隆市,信義區,83,23616,48.57
30736,2022-12-28,基隆市,信義區,58,23533,41.00
31106,2022-12-27,基隆市,信義區,47,23475,37.86
31483,2022-12-26,基隆市,信義區,52,23428,36.71
31855,2022-12-25,基隆市,信義區,26,23376,34.43
32209,2022-12-24,基隆市,信義區,33,23350,33.57
32569,2022-12-23,基隆市,信義區,41,23317,33.57
32933,2022-12-22,基隆市,信義區,30,23276,32.43
33300,2022-12-21,基隆市,信義區,36,23246,32.00
33670,2022-12-20,基隆市,信義區,39,23210,32.00
34033,2022-12-19,基隆市,信義區,36,23171,31.29
34404,2022-12-18,基隆市,信義區,20,23135,29.57
34752,2022-12-17,基隆市,信義區,33,23115,28.57
35112,2022-12-16,基隆市,信義區,33,23082,26.00
35477,2022-12-15,基隆市,信義區,27,23049,25.14
35848,2022-12-14,基隆市,信義區,36,23022,25.00
36207,2022-12-13,基隆市,信義區,34,22986,22.86
36581,2022-12-12,基隆市,信義區,24,22952,21.57
36952,2022-12-11,基隆市,信義區,13,22928,20.86
37304,2022-12-10,基隆市,信義區,15,22915,22.14
37673,2022-12-09,基隆市,信義區,27,22900,22.57
38038,2022-12-08,基隆市,信義區,26,22873,22.43
38411,2022-12-07,基隆市,信義區,21,22847,23.43
38783,2022-12-06,基隆市,信義區,25,22826,25.14
39154,2022-12-05,基隆市,信義區,19,22801,26.71
39532,2022-12-04,基隆市,信義區,22,22782,29.00
39898,2022-12-03,基隆市,信義區,18,22760,28.71
40267,2022-12-02,基隆市,信義區,26,22742,30.00
40637,2022-12-01,基隆市,信義區,33,22716,31.43
41006,2022-11-30,基隆市,信義區,33,22683,29.86
41377,2022-11-29,基隆市,信義區,36,22650,30.00
41757,2022-11-28,基隆市,信義區,35,22614,31.14
42135,2022-11-27,基隆市,信義區,20,22579,31.86
42496,2022-11-26,基隆市,信義區,27,22559,31.43
42852,2022-11-25,基隆市,信義區,36,22532,31.14
43223,2022-11-24,基隆市,信義區,22,22496,29.00
43593,2022-11-23,基隆市,信義區,34,22474,31.00
43965,2022-11-22,基隆市,信義區,44,22440,32.29
44338,2022-11-21,基隆市,信義區,40,22396,31.29
44721,2022-11-20,基隆市,信義區,17,22356,31.29
45084,2022-11-19,基隆市,信義區,25,22339,32.71
45458,2022-11-18,基隆市,信義區,21,22314,33.86
45830,2022-11-17,基隆市,信義區,36,22293,36.57
46203,2022-11-16,基隆市,信義區,43,22257,36.43
46583,2022-11-15,基隆市,信義區,37,22214,34.71
46964,2022-11-14,基隆市,信義區,40,22177,34.57
47345,2022-11-13,基隆市,信義區,27,22137,36.14
47715,2022-11-12,基隆市,信義區,33,22110,38.71
48092,2022-11-11,基隆市,信義區,40,22077,40.71
48471,2022-11-10,基隆市,信義區,35,22037,41.86
48854,2022-11-09,基隆市,信義區,31,22002,44.14
49237,2022-11-08,基隆市,信義區,36,21971,51.14
49622,2022-11-07,基隆市,信義區,51,21935,54.57
