UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
124,2023-06-14,基隆市,安樂區,6,43816,0.86
505,2023-03-21,基隆市,安樂區,4,43810,32.86
657,2023-03-20,基隆市,安樂區,6,43806,40.57
943,2023-03-19,基隆市,安樂區,29,43800,43.86
1271,2023-03-18,基隆市,安樂區,52,43771,43.14
1611,2023-03-17,基隆市,安樂區,50,43719,42.14
1963,2023-03-16,基隆市,安樂區,42,43669,41.43
2316,2023-03-15,基隆市,安樂區,47,43627,38.43
2667,2023-03-14,基隆市,安樂區,58,43580,38.43
3024,2023-03-13,基隆市,安樂區,29,43522,37.57
3383,2023-03-12,基隆市,安樂區,24,43493,37.57
3728,2023-03-11,基隆市,安樂區,45,43469,38.57
4081,2023-03-10,基隆市,安樂區,45,43424,39.14
4436,2023-03-09,基隆市,安樂區,21,43379,41.43
4795,2023-03-08,基隆市,安樂區,47,43358,46.57
5149,2023-03-07,基隆市,安樂區,52,43311,46.14
5508,2023-03-06,基隆市,安樂區,29,43259,44.86
5873,2023-03-05,基隆市,安樂區,31,43230,46.14
6212,2023-03-04,基隆市,安樂區,49,43199,45.29
6564,2023-03-03,基隆市,安樂區,61,43150,47.00
6923,2023-03-02,基隆市,安樂區,57,43089,45.00
7287,2023-03-01,基隆市,安樂區,44,43032,43.43
7658,2023-02-28,基隆市,安樂區,43,42988,47.00
8021,2023-02-27,基隆市,安樂區,38,42945,51.00
8380,2023-02-26,基隆市,安樂區,25,42907,52.86
8725,2023-02-25,基隆市,安樂區,61,42882,55.86
9095,2023-02-24,基隆市,安樂區,47,42821,59.00
9456,2023-02-23,基隆市,安樂區,46,42774,62.29
9826,2023-02-22,基隆市,安樂區,69,42728,64.71
10201,2023-02-21,基隆市,安樂區,71,42659,67.00
10570,2023-02-20,基隆市,安樂區,51,42588,66.71
10950,2023-02-19,基隆市,安樂區,46,42537,67.00
11308,2023-02-18,基隆市,安樂區,83,42491,68.29
11675,2023-02-17,基隆市,安樂區,70,42408,69.43
12047,2023-02-16,基隆市,安樂區,63,42338,71.57
12422,2023-02-15,基隆市,安樂區,85,42275,74.86
12795,2023-02-14,基隆市,安樂區,69,42190,72.71
13167,2023-02-13,基隆市,安樂區,53,42121,83.71
13546,2023-02-12,基隆市,安樂區,55,42068,87.43
13903,2023-02-11,基隆市,安樂區,91,42013,90.57
14275,2023-02-10,基隆市,安樂區,85,41922,94.86
14649,2023-02-09,基隆市,安樂區,86,41837,101.57
15025,2023-02-08,基隆市,安樂區,70,41751,102.14
15404,2023-02-07,基隆市,安樂區,146,41681,112.71
15783,2023-02-06,基隆市,安樂區,79,41535,113.57
16165,2023-02-05,基隆市,安樂區,77,41456,116.71
16533,2023-02-04,基隆市,安樂區,121,41379,123.43
16912,2023-02-03,基隆市,安樂區,132,41258,127.29
17298,2023-02-02,基隆市,安樂區,90,41126,124.43
17681,2023-02-01,基隆市,安樂區,144,41036,127.57
18058,2023-01-31,基隆市,安樂區,152,40892,119.71
18443,2023-01-30,基隆市,安樂區,101,40740,107.29
18832,2023-01-29,基隆市,安樂區,124,40639,105.29
19208,2023-01-28,基隆市,安樂區,148,40515,95.86
19587,2023-01-27,基隆市,安樂區,112,40367,86.14
19965,2023-01-26,基隆市,安樂區,112,40255,82.14
20342,2023-01-25,基隆市,安樂區,89,40143,78.86
20707,2023-01-24,基隆市,安樂區,65,40054,78.29
21082,2023-01-23,基隆市,安樂區,87,39989,79.86
21449,2023-01-22,基隆市,安樂區,58,39902,75.86
21813,2023-01-21,基隆市,安樂區,80,39844,74.86
22185,2023-01-20,基隆市,安樂區,84,39764,78.43
22552,2023-01-19,基隆市,安樂區,89,39680,78.43
22923,2023-01-18,基隆市,安樂區,85,39591,78.57
23295,2023-01-17,基隆市,安樂區,76,39506,78.71
23659,2023-01-16,基隆市,安樂區,59,39430,81.29
24035,2023-01-15,基隆市,安樂區,51,39371,86.43
24402,2023-01-14,基隆市,安樂區,105,39320,89.57
24770,2023-01-13,基隆市,安樂區,84,39215,87.57
25138,2023-01-12,基隆市,安樂區,90,39131,89.71
25513,2023-01-11,基隆市,安樂區,86,39041,93.43
25889,2023-01-10,基隆市,安樂區,94,38955,97.00
26261,2023-01-09,基隆市,安樂區,95,38861,102.14
26640,2023-01-08,基隆市,安樂區,73,38766,101.57
26997,2023-01-07,基隆市,安樂區,91,38693,101.43
27368,2023-01-06,基隆市,安樂區,99,38602,105.43
27744,2023-01-05,基隆市,安樂區,116,38503,105.14
28124,2023-01-04,基隆市,安樂區,111,38387,99.00
28505,2023-01-03,基隆市,安樂區,130,38276,95.71
28887,2023-01-02,基隆市,安樂區,91,38146,88.00
29258,2023-01-01,基隆市,安樂區,72,38055,84.00
29620,2022-12-31,基隆市,安樂區,119,37983,80.71
29986,2022-12-30,基隆市,安樂區,97,37864,73.29
30358,2022-12-29,基隆市,安樂區,73,37767,67.43
30731,2022-12-28,基隆市,安樂區,88,37694,64.43
31101,2022-12-27,基隆市,安樂區,76,37606,61.29
31478,2022-12-26,基隆市,安樂區,63,37530,57.86
31850,2022-12-25,基隆市,安樂區,49,37467,54.29
32204,2022-12-24,基隆市,安樂區,67,37418,51.00
32564,2022-12-23,基隆市,安樂區,56,37351,50.14
32928,2022-12-22,基隆市,安樂區,52,37295,49.43
33295,2022-12-21,基隆市,安樂區,66,37243,48.57
33665,2022-12-20,基隆市,安樂區,52,37177,46.00
34028,2022-12-19,基隆市,安樂區,38,37125,46.57
34399,2022-12-18,基隆市,安樂區,26,37087,46.43
34747,2022-12-17,基隆市,安樂區,61,37061,46.86
35107,2022-12-16,基隆市,安樂區,51,37000,45.71
35472,2022-12-15,基隆市,安樂區,46,36949,44.86
35843,2022-12-14,基隆市,安樂區,48,36903,45.00
36202,2022-12-13,基隆市,安樂區,56,36855,47.00
36576,2022-12-12,基隆市,安樂區,37,36799,48.43
36947,2022-12-11,基隆市,安樂區,29,36762,47.29
37299,2022-12-10,基隆市,安樂區,53,36733,46.71
37668,2022-12-09,基隆市,安樂區,45,36680,47.00
38033,2022-12-08,基隆市,安樂區,47,36635,44.86
38406,2022-12-07,基隆市,安樂區,62,36588,42.00
38778,2022-12-06,基隆市,安樂區,66,36526,39.71
39149,2022-12-05,基隆市,安樂區,29,36460,38.71
39527,2022-12-04,基隆市,安樂區,25,36431,40.71
39893,2022-12-03,基隆市,安樂區,55,36406,42.43
40262,2022-12-02,基隆市,安樂區,30,36351,42.00
40632,2022-12-01,基隆市,安樂區,27,36321,44.29
41001,2022-11-30,基隆市,安樂區,46,36294,50.14
41372,2022-11-29,基隆市,安樂區,59,36248,52.14
41752,2022-11-28,基隆市,安樂區,43,36189,54.57
42130,2022-11-27,基隆市,安樂區,37,36146,55.14
42491,2022-11-26,基隆市,安樂區,52,36109,54.71
42847,2022-11-25,基隆市,安樂區,46,36057,58.00
43218,2022-11-24,基隆市,安樂區,68,36011,59.71
43588,2022-11-23,基隆市,安樂區,60,35943,59.29
43960,2022-11-22,基隆市,安樂區,76,35883,60.71
44333,2022-11-21,基隆市,安樂區,47,35807,63.71
44716,2022-11-20,基隆市,安樂區,34,35760,62.86
45079,2022-11-19,基隆市,安樂區,75,35726,63.71
45453,2022-11-18,基隆市,安樂區,58,35651,62.86
45825,2022-11-17,基隆市,安樂區,65,35593,64.43
46198,2022-11-16,基隆市,安樂區,70,35528,64.00
46578,2022-11-15,基隆市,安樂區,97,35458,61.43
46959,2022-11-14,基隆市,安樂區,41,35361,60.71
47340,2022-11-13,基隆市,安樂區,40,35320,63.00
47710,2022-11-12,基隆市,安樂區,69,35280,62.43
48087,2022-11-11,基隆市,安樂區,69,35211,65.57
48466,2022-11-10,基隆市,安樂區,62,35142,68.71
48849,2022-11-09,基隆市,安樂區,52,35080,71.43
49232,2022-11-08,基隆市,安樂區,92,35028,79.43
49617,2022-11-07,基隆市,安樂區,57,34936,82.86
50002,2022-11-06,基隆市,安樂區,36,34879,85.43
50371,2022-11-05,基隆市,安樂區,91,34843,88.57
50746,2022-11-04,基隆市,安樂區,91,34752,92.14
51132,2022-11-03,基隆市,安樂區,81,34661,93.29
51512,2022-11-02,基隆市,安樂區,108,34580,96.57
51898,2022-11-01,基隆市,安樂區,116,34472,95.14
52283,2022-10-31,基隆市,安樂區,75,34356,101.29
52666,2022-10-30,基隆市,安樂區,58,34281,105.14
53045,2022-10-29,基隆市,安樂區,116,34223,109.71
53424,2022-10-28,基隆市,安樂區,99,34107,112.43
53811,2022-10-27,基隆市,安樂區,104,34008,117.71
54198,2022-10-26,基隆市,安樂區,98,33904,119.00
54582,2022-10-25,基隆市,安樂區,159,33806,123.86
54971,2022-10-24,基隆市,安樂區,102,33647,124.14
55361,2022-10-23,基隆市,安樂區,90,33545,132.14
55738,2022-10-22,基隆市,安樂區,135,33455,135.86
56123,2022-10-21,基隆市,安樂區,136,33320,135.57
56513,2022-10-20,基隆市,安樂區,113,33184,141.29
56898,2022-10-19,基隆市,安樂區,132,33071,152.43
57285,2022-10-18,基隆市,安樂區,161,32939,160.00
57675,2022-10-17,基隆市,安樂區,158,32778,166.71
58065,2022-10-16,基隆市,安樂區,116,32620,163.29
58449,2022-10-15,基隆市,安樂區,133,32504,168.29
58834,2022-10-14,基隆市,安樂區,176,32371,179.00
59224,2022-10-13,基隆市,安樂區,191,32195,184.00
59615,2022-10-12,基隆市,安樂區,185,32004,190.29
60004,2022-10-11,基隆市,安樂區,208,31819,193.14
60396,2022-10-10,基隆市,安樂區,134,31611,196.86
60780,2022-10-09,基隆市,安樂區,151,31477,200.71
61167,2022-10-08,基隆市,安樂區,208,31326,197.00
61556,2022-10-07,基隆市,安樂區,211,31118,197.14
61943,2022-10-06,基隆市,安樂區,235,30907,191.71
62334,2022-10-05,基隆市,安樂區,205,30672,183.71
62721,2022-10-04,基隆市,安樂區,234,30467,184.86
63109,2022-10-03,基隆市,安樂區,161,30233,180.29
63500,2022-10-02,基隆市,安樂區,125,30072,182.57
63882,2022-10-01,基隆市,安樂區,209,29947,184.86
64268,2022-09-30,基隆市,安樂區,173,29738,178.43
64652,2022-09-29,基隆市,安樂區,179,29565,179.71
65040,2022-09-28,基隆市,安樂區,213,29386,174.86
65428,2022-09-27,基隆市,安樂區,202,29173,176.29
65815,2022-09-26,基隆市,安樂區,177,28971,180.86
66204,2022-09-25,基隆市,安樂區,141,28794,182.71
66587,2022-09-24,基隆市,安樂區,164,28653,185.14
66970,2022-09-23,基隆市,安樂區,182,28489,191.14
67359,2022-09-22,基隆市,安樂區,145,28307,191.14
67746,2022-09-21,基隆市,安樂區,223,28162,199.43
68135,2022-09-20,基隆市,安樂區,234,27939,199.71
