UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
679,2023-03-20,基隆市,暖暖區,6,19727,15.71
968,2023-03-19,基隆市,暖暖區,16,19721,17.57
1297,2023-03-18,基隆市,暖暖區,14,19705,15.86
1636,2023-03-17,基隆市,暖暖區,15,19691,15.71
1989,2023-03-16,基隆市,暖暖區,18,19676,17.00
2341,2023-03-15,基隆市,暖暖區,24,19658,15.43
2692,2023-03-14,基隆市,暖暖區,17,19634,14.57
3050,2023-03-13,基隆市,暖暖區,19,19617,15.00
3408,2023-03-12,基隆市,暖暖區,4,19598,14.00
3754,2023-03-11,基隆市,暖暖區,13,19594,15.29
4106,2023-03-10,基隆市,暖暖區,24,19581,17.86
4462,2023-03-09,基隆市,暖暖區,7,19557,17.29
4821,2023-03-08,基隆市,暖暖區,18,19550,19.14
5174,2023-03-07,基隆市,暖暖區,20,19532,19.00
5534,2023-03-06,基隆市,暖暖區,12,19512,19.86
5898,2023-03-05,基隆市,暖暖區,13,19500,20.57
6237,2023-03-04,基隆市,暖暖區,31,19487,19.29
6590,2023-03-03,基隆市,暖暖區,20,19456,19.14
6949,2023-03-02,基隆市,暖暖區,20,19436,19.57
7313,2023-03-01,基隆市,暖暖區,17,19416,20.86
7684,2023-02-28,基隆市,暖暖區,26,19399,20.86
8047,2023-02-27,基隆市,暖暖區,17,19373,20.86
8406,2023-02-26,基隆市,暖暖區,4,19356,22.00
8750,2023-02-25,基隆市,暖暖區,30,19352,24.43
9120,2023-02-24,基隆市,暖暖區,23,19322,24.57
9481,2023-02-23,基隆市,暖暖區,29,19299,23.71
9852,2023-02-22,基隆市,暖暖區,17,19270,23.57
10226,2023-02-21,基隆市,暖暖區,26,19253,24.71
10596,2023-02-20,基隆市,暖暖區,25,19227,28.57
10975,2023-02-19,基隆市,暖暖區,21,19202,30.14
11334,2023-02-18,基隆市,暖暖區,31,19181,30.00
11700,2023-02-17,基隆市,暖暖區,17,19150,31.86
12073,2023-02-16,基隆市,暖暖區,28,19133,36.29
12448,2023-02-15,基隆市,暖暖區,25,19105,38.71
12821,2023-02-14,基隆市,暖暖區,53,19080,41.00
13193,2023-02-13,基隆市,暖暖區,36,19027,40.57
