UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
91,2023-09-17,基隆市,全區,90.10,86.30,0.50,76.10,25.60,0.00,0.00,0.00
92,2023-09-17,基隆市,6個月-4歲,42.60,25.70,3.30,2.40,0.00,0.00,0.00,0.00
93,2023-09-17,基隆市,5-11歲,82.40,67.20,0.30,31.50,3.70,0.00,0.00,0.00
94,2023-09-17,基隆市,12-17歲,93.80,86.80,0.20,66.40,18.40,0.00,0.00,0.00
95,2023-09-17,基隆市,18-29歲,95.80,92.70,0.30,79.80,11.20,0.00,0.00,0.00
96,2023-09-17,基隆市,30-49歲,93.10,90.40,0.50,81.80,18.10,0.00,0.00,0.00
97,2023-09-17,基隆市,50-64歲,90.30,87.80,0.50,81.20,27.40,0.00,0.00,0.00
98,2023-09-17,基隆市,65-74歲,91.30,89.10,0.40,85.10,56.50,15.10,0.00,0.00
99,2023-09-17,基隆市,75歲以上,85.50,81.90,0.50,75.90,53.20,12.10,0.00,0.00
346,2023-09-10,基隆市,全區,90.10,86.30,0.50,76.10,25.60,0.00,0.00,0.00
347,2023-09-10,基隆市,6個月-4歲,43.00,26.00,3.30,2.50,0.00,0.00,0.00,0.00
348,2023-09-10,基隆市,5-11歲,82.50,67.40,0.30,31.60,3.70,0.00,0.00,0.00
349,2023-09-10,基隆市,12-17歲,93.70,86.70,0.20,66.50,18.50,0.00,0.00,0.00
350,2023-09-10,基隆市,18-29歲,95.80,92.80,0.30,79.90,11.20,0.00,0.00,0.00
351,2023-09-10,基隆市,30-49歲,93.00,90.30,0.50,81.80,18.10,0.00,0.00,0.00
352,2023-09-10,基隆市,50-64歲,90.30,87.80,0.50,81.20,27.40,0.00,0.00,0.00
353,2023-09-10,基隆市,65-74歲,91.20,89.00,0.40,85.00,56.50,15.10,0.00,0.00
354,2023-09-10,基隆市,75歲以上,85.40,81.70,0.50,75.80,53.10,12.00,0.00,0.00
601,2023-09-03,基隆市,全區,90.10,86.30,0.50,76.10,25.60,0.00,0.00,0.00
602,2023-09-03,基隆市,6個月-4歲,43.40,26.10,3.30,2.50,0.00,0.00,0.00,0.00
603,2023-09-03,基隆市,5-11歲,82.50,67.50,0.30,31.80,3.70,0.00,0.00,0.00
604,2023-09-03,基隆市,12-17歲,93.70,86.80,0.20,66.50,18.50,0.00,0.00,0.00
