UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
222,2023-06-14,宜蘭縣,三星鄉,4,9014,0.57
810,2023-03-20,宜蘭縣,三星鄉,3,9010,4.86
1116,2023-03-19,宜蘭縣,三星鄉,3,9007,5.71
1450,2023-03-18,宜蘭縣,三星鄉,9,9004,6.14
1798,2023-03-17,宜蘭縣,三星鄉,3,8995,5.71
2147,2023-03-16,宜蘭縣,三星鄉,2,8992,7.29
2502,2023-03-15,宜蘭縣,三星鄉,5,8990,10.00
2852,2023-03-14,宜蘭縣,三星鄉,9,8985,12.14
3208,2023-03-13,宜蘭縣,三星鄉,9,8976,13.00
3563,2023-03-12,宜蘭縣,三星鄉,6,8967,13.29
3914,2023-03-11,宜蘭縣,三星鄉,6,8961,13.86
4263,2023-03-10,宜蘭縣,三星鄉,14,8955,14.86
4620,2023-03-09,宜蘭縣,三星鄉,21,8941,15.71
4976,2023-03-08,宜蘭縣,三星鄉,20,8920,15.00
5333,2023-03-07,宜蘭縣,三星鄉,15,8900,14.14
5697,2023-03-06,宜蘭縣,三星鄉,11,8885,13.14
6052,2023-03-05,宜蘭縣,三星鄉,10,8874,12.86
6394,2023-03-04,宜蘭縣,三星鄉,13,8864,13.43
6749,2023-03-03,宜蘭縣,三星鄉,20,8851,15.00
7111,2023-03-02,宜蘭縣,三星鄉,16,8831,14.43
7473,2023-03-01,宜蘭縣,三星鄉,14,8815,14.29
7845,2023-02-28,宜蘭縣,三星鄉,8,8801,14.43
8210,2023-02-27,宜蘭縣,三星鄉,9,8793,15.00
8560,2023-02-26,宜蘭縣,三星鄉,14,8784,16.14
8914,2023-02-25,宜蘭縣,三星鄉,24,8770,15.71
9283,2023-02-24,宜蘭縣,三星鄉,16,8746,14.14
9645,2023-02-23,宜蘭縣,三星鄉,15,8730,13.14
10017,2023-02-22,宜蘭縣,三星鄉,15,8715,13.43
10389,2023-02-21,宜蘭縣,三星鄉,12,8700,13.71
10761,2023-02-20,宜蘭縣,三星鄉,17,8688,14.29
11133,2023-02-19,宜蘭縣,三星鄉,11,8671,15.14
11496,2023-02-18,宜蘭縣,三星鄉,13,8660,14.57
11863,2023-02-17,宜蘭縣,三星鄉,9,8647,17.14
12238,2023-02-16,宜蘭縣,三星鄉,17,8638,19.14
12611,2023-02-15,宜蘭縣,三星鄉,17,8621,19.71
12987,2023-02-14,宜蘭縣,三星鄉,16,8604,23.00
13357,2023-02-13,宜蘭縣,三星鄉,23,8588,27.43
13733,2023-02-12,宜蘭縣,三星鄉,7,8565,27.71
14096,2023-02-11,宜蘭縣,三星鄉,31,8558,29.00
14464,2023-02-10,宜蘭縣,三星鄉,23,8527,31.14
14838,2023-02-09,宜蘭縣,三星鄉,21,8504,32.14
15218,2023-02-08,宜蘭縣,三星鄉,40,8483,32.00
15596,2023-02-07,宜蘭縣,三星鄉,47,8443,30.71
15975,2023-02-06,宜蘭縣,三星鄉,25,8396,28.00
16351,2023-02-05,宜蘭縣,三星鄉,16,8371,28.86
16726,2023-02-04,宜蘭縣,三星鄉,46,8355,29.86
17104,2023-02-03,宜蘭縣,三星鄉,30,8309,27.00
17490,2023-02-02,宜蘭縣,三星鄉,20,8279,27.14
17871,2023-02-01,宜蘭縣,三星鄉,31,8259,27.57
18252,2023-01-31,宜蘭縣,三星鄉,28,8228,25.14
18637,2023-01-30,宜蘭縣,三星鄉,31,8200,22.71
19023,2023-01-29,宜蘭縣,三星鄉,23,8169,20.14
19401,2023-01-28,宜蘭縣,三星鄉,26,8146,17.29
19777,2023-01-27,宜蘭縣,三星鄉,31,8120,15.57
20157,2023-01-26,宜蘭縣,三星鄉,23,8089,13.29
20528,2023-01-25,宜蘭縣,三星鄉,14,8066,11.57
20896,2023-01-24,宜蘭縣,三星鄉,11,8052,11.43
21268,2023-01-23,宜蘭縣,三星鄉,13,8041,11.57
21637,2023-01-22,宜蘭縣,三星鄉,3,8028,10.86
22005,2023-01-21,宜蘭縣,三星鄉,14,8025,11.71
22377,2023-01-20,宜蘭縣,三星鄉,15,8011,11.43
22743,2023-01-19,宜蘭縣,三星鄉,11,7996,11.43
23116,2023-01-18,宜蘭縣,三星鄉,13,7985,11.71
23482,2023-01-17,宜蘭縣,三星鄉,12,7972,12.57
23848,2023-01-16,宜蘭縣,三星鄉,8,7960,13.29
24226,2023-01-15,宜蘭縣,三星鄉,9,7952,14.57
24590,2023-01-14,宜蘭縣,三星鄉,12,7943,14.57
24957,2023-01-13,宜蘭縣,三星鄉,15,7931,15.57
25329,2023-01-12,宜蘭縣,三星鄉,13,7916,14.57
25700,2023-01-11,宜蘭縣,三星鄉,19,7903,15.43
26077,2023-01-10,宜蘭縣,三星鄉,17,7884,15.43
26451,2023-01-09,宜蘭縣,三星鄉,17,7867,14.57
26825,2023-01-08,宜蘭縣,三星鄉,9,7850,14.57
27185,2023-01-07,宜蘭縣,三星鄉,19,7841,14.71
27558,2023-01-06,宜蘭縣,三星鄉,8,7822,14.14
27936,2023-01-05,宜蘭縣,三星鄉,19,7814,14.86
28315,2023-01-04,宜蘭縣,三星鄉,19,7795,13.71
28697,2023-01-03,宜蘭縣,三星鄉,11,7776,13.57
29077,2023-01-02,宜蘭縣,三星鄉,17,7765,14.71
29448,2023-01-01,宜蘭縣,三星鄉,10,7748,14.43
29808,2022-12-31,宜蘭縣,三星鄉,15,7738,13.71
30175,2022-12-30,宜蘭縣,三星鄉,13,7723,13.29
30549,2022-12-29,宜蘭縣,三星鄉,11,7710,14.14
30921,2022-12-28,宜蘭縣,三星鄉,18,7699,14.00
31292,2022-12-27,宜蘭縣,三星鄉,19,7681,13.29
31667,2022-12-26,宜蘭縣,三星鄉,15,7662,12.57
32034,2022-12-25,宜蘭縣,三星鄉,5,7647,12.00
32393,2022-12-24,宜蘭縣,三星鄉,12,7642,11.57
32750,2022-12-23,宜蘭縣,三星鄉,19,7630,11.43
33118,2022-12-22,宜蘭縣,三星鄉,10,7611,10.14
33483,2022-12-21,宜蘭縣,三星鄉,13,7601,9.86
33849,2022-12-20,宜蘭縣,三星鄉,14,7588,8.71
34216,2022-12-19,宜蘭縣,三星鄉,11,7574,8.43
34581,2022-12-18,宜蘭縣,三星鄉,2,7563,9.14
34933,2022-12-17,宜蘭縣,三星鄉,11,7561,9.71
35297,2022-12-16,宜蘭縣,三星鄉,10,7550,8.71
