UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
549,2023-03-18,宜蘭縣,五結鄉,1,37,0.14
890,2023-03-10,宜蘭縣,五結鄉,1,36,0.29
1078,2023-03-06,宜蘭縣,五結鄉,1,35,0.14
1872,2023-02-20,宜蘭縣,五結鄉,1,34,0.14
3460,2023-01-25,宜蘭縣,五結鄉,1,33,0.14
4399,2023-01-06,宜蘭縣,五結鄉,1,32,0.14
6866,2022-11-10,宜蘭縣,五結鄉,1,31,0.29
7157,2022-11-05,宜蘭縣,五結鄉,1,30,0.29
7465,2022-10-31,宜蘭縣,五結鄉,1,29,0.14
8149,2022-10-21,宜蘭縣,五結鄉,1,28,0.29
8228,2022-10-20,宜蘭縣,五結鄉,1,27,0.14
9114,2022-10-07,宜蘭縣,五結鄉,1,26,0.29
9180,2022-10-06,宜蘭縣,五結鄉,1,25,0.14
9649,2022-09-29,宜蘭縣,五結鄉,1,24,0.29
9940,2022-09-24,宜蘭縣,五結鄉,1,23,0.29
10267,2022-09-18,宜蘭縣,五結鄉,1,22,0.14
10805,2022-09-08,宜蘭縣,五結鄉,1,21,0.14
11855,2022-08-12,宜蘭縣,五結鄉,1,20,0.43
12008,2022-08-08,宜蘭縣,五結鄉,1,19,0.29
12054,2022-08-07,宜蘭縣,五結鄉,1,18,0.14
12920,2022-07-21,宜蘭縣,五結鄉,1,17,0.43
13046,2022-07-19,宜蘭縣,五結鄉,1,16,0.29
13111,2022-07-18,宜蘭縣,五結鄉,1,15,0.29
13522,2022-07-12,宜蘭縣,五結鄉,1,14,0.29
13956,2022-07-06,宜蘭縣,五結鄉,1,13,0.43
14234,2022-07-03,宜蘭縣,五結鄉,1,12,0.43
14496,2022-06-30,宜蘭縣,五結鄉,1,11,0.29
14789,2022-06-27,宜蘭縣,五結鄉,1,10,0.14
16519,2022-06-12,宜蘭縣,五結鄉,1,9,0.14
17623,2022-06-03,宜蘭縣,五結鄉,1,8,0.71
17854,2022-06-01,宜蘭縣,五結鄉,3,7,0.57
17987,2022-05-31,宜蘭縣,五結鄉,1,4,0.14
18999,2022-05-21,宜蘭縣,五結鄉,1,3,0.29
19077,2022-05-20,宜蘭縣,五結鄉,1,2,0.29
19462,2022-05-14,宜蘭縣,五結鄉,1,1,0.14
