UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
106,2023-06-14,宜蘭縣,五結鄉,1,19022,0.14
636,2023-03-20,宜蘭縣,五結鄉,4,19021,13.14
920,2023-03-19,宜蘭縣,五結鄉,2,19017,17.29
1248,2023-03-18,宜蘭縣,五結鄉,16,19015,19.14
1588,2023-03-17,宜蘭縣,五結鄉,12,18999,19.71
1940,2023-03-16,宜蘭縣,五結鄉,11,18987,19.71
2293,2023-03-15,宜蘭縣,五結鄉,14,18976,20.71
2644,2023-03-14,宜蘭縣,五結鄉,33,18962,23.71
3001,2023-03-13,宜蘭縣,五結鄉,33,18929,23.57
3360,2023-03-12,宜蘭縣,五結鄉,15,18896,22.43
3705,2023-03-11,宜蘭縣,五結鄉,20,18881,21.71
4058,2023-03-10,宜蘭縣,五結鄉,12,18861,22.57
4413,2023-03-09,宜蘭縣,五結鄉,18,18849,25.00
4772,2023-03-08,宜蘭縣,五結鄉,35,18831,27.14
5126,2023-03-07,宜蘭縣,五結鄉,32,18796,25.86
5485,2023-03-06,宜蘭縣,五結鄉,25,18764,25.43
5850,2023-03-05,宜蘭縣,五結鄉,10,18739,24.43
6189,2023-03-04,宜蘭縣,五結鄉,26,18729,24.86
6541,2023-03-03,宜蘭縣,五結鄉,29,18703,26.57
6900,2023-03-02,宜蘭縣,五結鄉,33,18674,26.43
7264,2023-03-01,宜蘭縣,五結鄉,26,18641,24.43
7635,2023-02-28,宜蘭縣,五結鄉,29,18615,24.43
7998,2023-02-27,宜蘭縣,五結鄉,18,18586,23.57
8357,2023-02-26,宜蘭縣,五結鄉,13,18568,27.14
8702,2023-02-25,宜蘭縣,五結鄉,38,18555,28.57
9072,2023-02-24,宜蘭縣,五結鄉,28,18517,28.43
9433,2023-02-23,宜蘭縣,五結鄉,19,18489,29.86
9803,2023-02-22,宜蘭縣,五結鄉,26,18470,32.71
10178,2023-02-21,宜蘭縣,五結鄉,23,18444,34.14
10547,2023-02-20,宜蘭縣,五結鄉,43,18421,36.14
10927,2023-02-19,宜蘭縣,五結鄉,23,18378,36.57
11285,2023-02-18,宜蘭縣,五結鄉,37,18355,36.14
11652,2023-02-17,宜蘭縣,五結鄉,38,18318,38.43
12024,2023-02-16,宜蘭縣,五結鄉,39,18280,38.14
12399,2023-02-15,宜蘭縣,五結鄉,36,18241,39.43
12772,2023-02-14,宜蘭縣,五結鄉,37,18205,39.14
13144,2023-02-13,宜蘭縣,五結鄉,46,18168,41.00
13523,2023-02-12,宜蘭縣,五結鄉,20,18122,42.43
13880,2023-02-11,宜蘭縣,五結鄉,53,18102,42.00
14252,2023-02-10,宜蘭縣,五結鄉,36,18049,42.57
14626,2023-02-09,宜蘭縣,五結鄉,48,18013,45.14
15002,2023-02-08,宜蘭縣,五結鄉,34,17965,47.86
15381,2023-02-07,宜蘭縣,五結鄉,50,17931,51.86
15760,2023-02-06,宜蘭縣,五結鄉,56,17881,54.43
16142,2023-02-05,宜蘭縣,五結鄉,17,17825,56.43
16510,2023-02-04,宜蘭縣,五結鄉,57,17808,59.57
16889,2023-02-03,宜蘭縣,五結鄉,54,17751,58.29
17275,2023-02-02,宜蘭縣,五結鄉,67,17697,60.00
17658,2023-02-01,宜蘭縣,五結鄉,62,17630,55.57
18035,2023-01-31,宜蘭縣,五結鄉,68,17568,54.00
18420,2023-01-30,宜蘭縣,五結鄉,70,17500,48.71
18809,2023-01-29,宜蘭縣,五結鄉,39,17430,42.57
19185,2023-01-28,宜蘭縣,五結鄉,48,17391,39.43
19564,2023-01-27,宜蘭縣,五結鄉,66,17343,36.00
19942,2023-01-26,宜蘭縣,五結鄉,36,17277,32.43
20319,2023-01-25,宜蘭縣,五結鄉,51,17241,31.43
20684,2023-01-24,宜蘭縣,五結鄉,31,17190,26.86
21059,2023-01-23,宜蘭縣,五結鄉,27,17159,26.29
21426,2023-01-22,宜蘭縣,五結鄉,17,17132,26.14
21790,2023-01-21,宜蘭縣,五結鄉,24,17115,25.86
22162,2023-01-20,宜蘭縣,五結鄉,41,17091,27.43
22529,2023-01-19,宜蘭縣,五結鄉,29,17050,27.57
22900,2023-01-18,宜蘭縣,五結鄉,19,17021,28.71
23272,2023-01-17,宜蘭縣,五結鄉,27,17002,30.43
23636,2023-01-16,宜蘭縣,五結鄉,26,16975,32.86
24012,2023-01-15,宜蘭縣,五結鄉,15,16949,35.00
24379,2023-01-14,宜蘭縣,五結鄉,35,16934,36.00
24747,2023-01-13,宜蘭縣,五結鄉,42,16899,37.29
25115,2023-01-12,宜蘭縣,五結鄉,37,16857,35.86
25490,2023-01-11,宜蘭縣,五結鄉,31,16820,37.00
25866,2023-01-10,宜蘭縣,五結鄉,44,16789,40.14
26238,2023-01-09,宜蘭縣,五結鄉,41,16745,40.29
26617,2023-01-08,宜蘭縣,五結鄉,22,16704,38.57
26974,2023-01-07,宜蘭縣,五結鄉,44,16682,38.71
27345,2023-01-06,宜蘭縣,五結鄉,32,16638,38.29
27721,2023-01-05,宜蘭縣,五結鄉,45,16606,37.86
28101,2023-01-04,宜蘭縣,五結鄉,53,16561,36.86
28482,2023-01-03,宜蘭縣,五結鄉,45,16508,34.00
28864,2023-01-02,宜蘭縣,五結鄉,29,16463,31.29
29235,2023-01-01,宜蘭縣,五結鄉,23,16434,31.57
29597,2022-12-31,宜蘭縣,五結鄉,41,16411,30.14
29963,2022-12-30,宜蘭縣,五結鄉,29,16370,28.86
30335,2022-12-29,宜蘭縣,五結鄉,38,16341,28.71
30708,2022-12-28,宜蘭縣,五結鄉,33,16303,27.43
31078,2022-12-27,宜蘭縣,五結鄉,26,16270,27.00
31455,2022-12-26,宜蘭縣,五結鄉,31,16244,26.57
31827,2022-12-25,宜蘭縣,五結鄉,13,16213,25.29
32181,2022-12-24,宜蘭縣,五結鄉,32,16200,26.14
