UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
105,2023-06-14,宜蘭縣,全區,12,198747,1.71
491,2023-03-21,宜蘭縣,全區,3,198735,114.71
633,2023-03-20,宜蘭縣,全區,72,198732,143.71
917,2023-03-19,宜蘭縣,全區,86,198660,167.57
1245,2023-03-18,宜蘭縣,全區,169,198574,172.29
1585,2023-03-17,宜蘭縣,全區,159,198405,174.86
1937,2023-03-16,宜蘭縣,全區,150,198246,184.57
2290,2023-03-15,宜蘭縣,全區,164,198096,194.00
2641,2023-03-14,宜蘭縣,全區,206,197932,206.86
2998,2023-03-13,宜蘭縣,全區,239,197726,218.57
3357,2023-03-12,宜蘭縣,全區,119,197487,220.14
3702,2023-03-11,宜蘭縣,全區,187,197368,222.71
4055,2023-03-10,宜蘭縣,全區,227,197181,236.00
4410,2023-03-09,宜蘭縣,全區,216,196954,239.00
4769,2023-03-08,宜蘭縣,全區,254,196738,254.14
5123,2023-03-07,宜蘭縣,全區,288,196484,259.71
5482,2023-03-06,宜蘭縣,全區,250,196196,259.29
5847,2023-03-05,宜蘭縣,全區,137,195946,264.29
6186,2023-03-04,宜蘭縣,全區,280,195809,267.71
6538,2023-03-03,宜蘭縣,全區,248,195529,274.14
6897,2023-03-02,宜蘭縣,全區,322,195281,286.29
7261,2023-03-01,宜蘭縣,全區,293,194959,284.43
7632,2023-02-28,宜蘭縣,全區,285,194666,285.86
7995,2023-02-27,宜蘭縣,全區,285,194381,295.43
8354,2023-02-26,宜蘭縣,全區,161,194096,309.29
8699,2023-02-25,宜蘭縣,全區,325,193935,320.86
9069,2023-02-24,宜蘭縣,全區,333,193610,317.57
9430,2023-02-23,宜蘭縣,全區,309,193277,319.43
9800,2023-02-22,宜蘭縣,全區,303,192968,321.14
10175,2023-02-21,宜蘭縣,全區,352,192665,330.29
10544,2023-02-20,宜蘭縣,全區,382,192313,328.43
10924,2023-02-19,宜蘭縣,全區,242,191931,343.57
11282,2023-02-18,宜蘭縣,全區,302,191689,341.29
11649,2023-02-17,宜蘭縣,全區,346,191387,360.57
12021,2023-02-16,宜蘭縣,全區,321,191041,364.29
12396,2023-02-15,宜蘭縣,全區,367,190720,373.86
12769,2023-02-14,宜蘭縣,全區,339,190353,381.29
13141,2023-02-13,宜蘭縣,全區,488,190014,404.57
13520,2023-02-12,宜蘭縣,全區,226,189526,415.86
13877,2023-02-11,宜蘭縣,全區,437,189300,422.14
14249,2023-02-10,宜蘭縣,全區,372,188863,426.86
14623,2023-02-09,宜蘭縣,全區,388,188491,448.00
14999,2023-02-08,宜蘭縣,全區,419,188103,469.29
15378,2023-02-07,宜蘭縣,全區,502,187684,487.86
15757,2023-02-06,宜蘭縣,全區,567,187182,495.57
16139,2023-02-05,宜蘭縣,全區,270,186615,500.86
16507,2023-02-04,宜蘭縣,全區,470,186345,514.57
16886,2023-02-03,宜蘭縣,全區,520,185875,515.00
17272,2023-02-02,宜蘭縣,全區,537,185355,517.29
17655,2023-02-01,宜蘭縣,全區,549,184818,503.00
18032,2023-01-31,宜蘭縣,全區,556,184269,475.29
18417,2023-01-30,宜蘭縣,全區,604,183713,434.43
18806,2023-01-29,宜蘭縣,全區,366,183109,387.29
19182,2023-01-28,宜蘭縣,全區,473,182743,358.14
19561,2023-01-27,宜蘭縣,全區,536,182270,326.86
19939,2023-01-26,宜蘭縣,全區,437,181734,299.14
20316,2023-01-25,宜蘭縣,全區,355,181297,278.14
20681,2023-01-24,宜蘭縣,全區,270,180942,262.29
21056,2023-01-23,宜蘭縣,全區,274,180672,266.14
21423,2023-01-22,宜蘭縣,全區,162,180398,265.43
21787,2023-01-21,宜蘭縣,全區,254,180236,269.43
22159,2023-01-20,宜蘭縣,全區,342,179982,275.71
22526,2023-01-19,宜蘭縣,全區,290,179640,269.71
22897,2023-01-18,宜蘭縣,全區,244,179350,276.86
23269,2023-01-17,宜蘭縣,全區,297,179106,286.43
23633,2023-01-16,宜蘭縣,全區,269,178809,295.29
24009,2023-01-15,宜蘭縣,全區,190,178540,305.86
24376,2023-01-14,宜蘭縣,全區,298,178350,312.14
24744,2023-01-13,宜蘭縣,全區,300,178052,317.00
25112,2023-01-12,宜蘭縣,全區,340,177752,321.71
25487,2023-01-11,宜蘭縣,全區,311,177412,325.86
25863,2023-01-10,宜蘭縣,全區,359,177101,340.71
26235,2023-01-09,宜蘭縣,全區,343,176742,351.29
26614,2023-01-08,宜蘭縣,全區,234,176399,350.14
26971,2023-01-07,宜蘭縣,全區,332,176165,346.00
27342,2023-01-06,宜蘭縣,全區,333,175833,343.57
27718,2023-01-05,宜蘭縣,全區,369,175500,344.14
28098,2023-01-04,宜蘭縣,全區,415,175131,333.14
28479,2023-01-03,宜蘭縣,全區,433,174716,326.00
28861,2023-01-02,宜蘭縣,全區,335,174283,313.00
29232,2023-01-01,宜蘭縣,全區,205,173948,313.86
29594,2022-12-31,宜蘭縣,全區,315,173743,312.57
29960,2022-12-30,宜蘭縣,全區,337,173428,304.57
30332,2022-12-29,宜蘭縣,全區,292,173091,296.43
30705,2022-12-28,宜蘭縣,全區,365,172799,288.29
31075,2022-12-27,宜蘭縣,全區,342,172434,274.57
31452,2022-12-26,宜蘭縣,全區,341,172092,262.57
31824,2022-12-25,宜蘭縣,全區,196,171751,248.43
32178,2022-12-24,宜蘭縣,全區,259,171555,238.86
32538,2022-12-23,宜蘭縣,全區,280,171296,233.86
32902,2022-12-22,宜蘭縣,全區,235,171016,224.43
33269,2022-12-21,宜蘭縣,全區,269,170781,215.00
33639,2022-12-20,宜蘭縣,全區,258,170512,206.86
34002,2022-12-19,宜蘭縣,全區,242,170254,198.57
34373,2022-12-18,宜蘭縣,全區,129,170012,201.14
34721,2022-12-17,宜蘭縣,全區,224,169883,199.43
35081,2022-12-16,宜蘭縣,全區,214,169659,197.71
35446,2022-12-15,宜蘭縣,全區,169,169445,196.00
35817,2022-12-14,宜蘭縣,全區,212,169276,202.14
36176,2022-12-13,宜蘭縣,全區,200,169064,204.86
36550,2022-12-12,宜蘭縣,全區,260,168864,211.71
36922,2022-12-11,宜蘭縣,全區,117,168604,213.14
37273,2022-12-10,宜蘭縣,全區,212,168487,214.86
37642,2022-12-09,宜蘭縣,全區,202,168275,212.14
38007,2022-12-08,宜蘭縣,全區,212,168073,210.14
38380,2022-12-07,宜蘭縣,全區,231,167861,210.14
38752,2022-12-06,宜蘭縣,全區,248,167630,209.00
39123,2022-12-05,宜蘭縣,全區,270,167382,210.71
39501,2022-12-04,宜蘭縣,全區,129,167112,210.57
39867,2022-12-03,宜蘭縣,全區,193,166983,215.29
40236,2022-12-02,宜蘭縣,全區,188,166790,219.29
40606,2022-12-01,宜蘭縣,全區,212,166602,220.43
40975,2022-11-30,宜蘭縣,全區,223,166390,219.29
41346,2022-11-29,宜蘭縣,全區,260,166167,219.00
41726,2022-11-28,宜蘭縣,全區,269,165907,221.00
42104,2022-11-27,宜蘭縣,全區,162,165638,226.71
42465,2022-11-26,宜蘭縣,全區,221,165476,226.00
42821,2022-11-25,宜蘭縣,全區,196,165255,227.14
43192,2022-11-24,宜蘭縣,全區,204,165059,233.43
43562,2022-11-23,宜蘭縣,全區,221,164855,240.71
43934,2022-11-22,宜蘭縣,全區,274,164634,252.86
44307,2022-11-21,宜蘭縣,全區,309,164360,261.71
44690,2022-11-20,宜蘭縣,全區,157,164051,252.43
45053,2022-11-19,宜蘭縣,全區,229,163894,261.57
45427,2022-11-18,宜蘭縣,全區,240,163665,264.71
45799,2022-11-17,宜蘭縣,全區,255,163425,271.29
46172,2022-11-16,宜蘭縣,全區,306,163170,275.86
46552,2022-11-15,宜蘭縣,全區,336,162864,275.00
46933,2022-11-14,宜蘭縣,全區,244,162528,281.86
47314,2022-11-13,宜蘭縣,全區,221,162284,296.00
47684,2022-11-12,宜蘭縣,全區,251,162063,293.86
48061,2022-11-11,宜蘭縣,全區,286,161812,307.43
48440,2022-11-10,宜蘭縣,全區,287,161526,312.14
48823,2022-11-09,宜蘭縣,全區,300,161239,330.86
49206,2022-11-08,宜蘭縣,全區,384,160939,350.43
49591,2022-11-07,宜蘭縣,全區,343,160555,367.29
