UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
635,2023-03-20,宜蘭縣,冬山鄉,9,25948,23.14
919,2023-03-19,宜蘭縣,冬山鄉,16,25939,26.43
1247,2023-03-18,宜蘭縣,冬山鄉,29,25923,26.00
1587,2023-03-17,宜蘭縣,冬山鄉,21,25894,26.43
1939,2023-03-16,宜蘭縣,冬山鄉,33,25873,27.14
2292,2023-03-15,宜蘭縣,冬山鄉,24,25840,26.43
2643,2023-03-14,宜蘭縣,冬山鄉,30,25816,27.29
3000,2023-03-13,宜蘭縣,冬山鄉,32,25786,28.86
3359,2023-03-12,宜蘭縣,冬山鄉,13,25754,28.43
3704,2023-03-11,宜蘭縣,冬山鄉,32,25741,29.00
4057,2023-03-10,宜蘭縣,冬山鄉,26,25709,29.00
4412,2023-03-09,宜蘭縣,冬山鄉,28,25683,30.00
4771,2023-03-08,宜蘭縣,冬山鄉,30,25655,31.86
5125,2023-03-07,宜蘭縣,冬山鄉,41,25625,32.86
5484,2023-03-06,宜蘭縣,冬山鄉,29,25584,32.43
5849,2023-03-05,宜蘭縣,冬山鄉,17,25555,32.71
6188,2023-03-04,宜蘭縣,冬山鄉,32,25538,33.14
6540,2023-03-03,宜蘭縣,冬山鄉,33,25506,35.14
6899,2023-03-02,宜蘭縣,冬山鄉,41,25473,37.00
7263,2023-03-01,宜蘭縣,冬山鄉,37,25432,35.71
7634,2023-02-28,宜蘭縣,冬山鄉,38,25395,36.43
7997,2023-02-27,宜蘭縣,冬山鄉,31,25357,39.29
8356,2023-02-26,宜蘭縣,冬山鄉,20,25326,41.71
8701,2023-02-25,宜蘭縣,冬山鄉,46,25306,44.00
9071,2023-02-24,宜蘭縣,冬山鄉,46,25260,41.86
9432,2023-02-23,宜蘭縣,冬山鄉,32,25214,43.29
9802,2023-02-22,宜蘭縣,冬山鄉,42,25182,46.71
10177,2023-02-21,宜蘭縣,冬山鄉,58,25140,50.00
10546,2023-02-20,宜蘭縣,冬山鄉,48,25082,47.86
10926,2023-02-19,宜蘭縣,冬山鄉,36,25034,49.29
11284,2023-02-18,宜蘭縣,冬山鄉,31,24998,47.86
11651,2023-02-17,宜蘭縣,冬山鄉,56,24967,53.29
12023,2023-02-16,宜蘭縣,冬山鄉,56,24911,53.29
12398,2023-02-15,宜蘭縣,冬山鄉,65,24855,52.86
12771,2023-02-14,宜蘭縣,冬山鄉,43,24790,51.14
13143,2023-02-13,宜蘭縣,冬山鄉,58,24747,54.86
13522,2023-02-12,宜蘭縣,冬山鄉,26,24689,57.29
13879,2023-02-11,宜蘭縣,冬山鄉,69,24663,58.43
14251,2023-02-10,宜蘭縣,冬山鄉,56,24594,57.71
14625,2023-02-09,宜蘭縣,冬山鄉,53,24538,61.86
15001,2023-02-08,宜蘭縣,冬山鄉,53,24485,64.00
15380,2023-02-07,宜蘭縣,冬山鄉,69,24432,67.57
15759,2023-02-06,宜蘭縣,冬山鄉,75,24363,68.86
16141,2023-02-05,宜蘭縣,冬山鄉,34,24288,69.29
16509,2023-02-04,宜蘭縣,冬山鄉,64,24254,72.29
16888,2023-02-03,宜蘭縣,冬山鄉,85,24190,73.43
17274,2023-02-02,宜蘭縣,冬山鄉,68,24105,71.00
17657,2023-02-01,宜蘭縣,冬山鄉,78,24037,71.29
18034,2023-01-31,宜蘭縣,冬山鄉,78,23959,67.57
18419,2023-01-30,宜蘭縣,冬山鄉,78,23881,61.00
18808,2023-01-29,宜蘭縣,冬山鄉,55,23803,54.57
19184,2023-01-28,宜蘭縣,冬山鄉,72,23748,50.00
19563,2023-01-27,宜蘭縣,冬山鄉,68,23676,44.43
19941,2023-01-26,宜蘭縣,冬山鄉,70,23608,41.00
20318,2023-01-25,宜蘭縣,冬山鄉,52,23538,36.57
20683,2023-01-24,宜蘭縣,冬山鄉,32,23486,32.43
21058,2023-01-23,宜蘭縣,冬山鄉,33,23454,33.00
21425,2023-01-22,宜蘭縣,冬山鄉,23,23421,33.43
21789,2023-01-21,宜蘭縣,冬山鄉,33,23398,34.29
22161,2023-01-20,宜蘭縣,冬山鄉,44,23365,34.71
22528,2023-01-19,宜蘭縣,冬山鄉,39,23321,32.86
22899,2023-01-18,宜蘭縣,冬山鄉,23,23282,33.29
23271,2023-01-17,宜蘭縣,冬山鄉,36,23259,34.57
23635,2023-01-16,宜蘭縣,冬山鄉,36,23223,33.43
24011,2023-01-15,宜蘭縣,冬山鄉,29,23187,35.29
24378,2023-01-14,宜蘭縣,冬山鄉,36,23158,34.71
24746,2023-01-13,宜蘭縣,冬山鄉,31,23122,35.29
25114,2023-01-12,宜蘭縣,冬山鄉,42,23091,37.71
25489,2023-01-11,宜蘭縣,冬山鄉,32,23049,38.71
25865,2023-01-10,宜蘭縣,冬山鄉,28,23017,42.29
26237,2023-01-09,宜蘭縣,冬山鄉,49,22989,46.43
26616,2023-01-08,宜蘭縣,冬山鄉,25,22940,46.57
26973,2023-01-07,宜蘭縣,冬山鄉,40,22915,47.29
27344,2023-01-06,宜蘭縣,冬山鄉,48,22875,48.57
27720,2023-01-05,宜蘭縣,冬山鄉,49,22827,49.86
28100,2023-01-04,宜蘭縣,冬山鄉,57,22778,48.57
28481,2023-01-03,宜蘭縣,冬山鄉,57,22721,46.71
28863,2023-01-02,宜蘭縣,冬山鄉,50,22664,44.43
29234,2023-01-01,宜蘭縣,冬山鄉,30,22614,44.00
29596,2022-12-31,宜蘭縣,冬山鄉,49,22584,42.57
29962,2022-12-30,宜蘭縣,冬山鄉,57,22535,42.29
30334,2022-12-29,宜蘭縣,冬山鄉,40,22478,40.14
30707,2022-12-28,宜蘭縣,冬山鄉,44,22438,38.57
31077,2022-12-27,宜蘭縣,冬山鄉,41,22394,36.71
31454,2022-12-26,宜蘭縣,冬山鄉,47,22353,35.14
31826,2022-12-25,宜蘭縣,冬山鄉,20,22306,33.14
32180,2022-12-24,宜蘭縣,冬山鄉,47,22286,32.00
32540,2022-12-23,宜蘭縣,冬山鄉,42,22239,29.71
32904,2022-12-22,宜蘭縣,冬山鄉,29,22197,27.71
33271,2022-12-21,宜蘭縣,冬山鄉,31,22168,27.43
33641,2022-12-20,宜蘭縣,冬山鄉,30,22137,25.71
34004,2022-12-19,宜蘭縣,冬山鄉,33,22107,25.14
34375,2022-12-18,宜蘭縣,冬山鄉,12,22074,26.00
34723,2022-12-17,宜蘭縣,冬山鄉,31,22062,27.14
35083,2022-12-16,宜蘭縣,冬山鄉,28,22031,26.86
35448,2022-12-15,宜蘭縣,冬山鄉,27,22003,26.43
35819,2022-12-14,宜蘭縣,冬山鄉,19,21976,24.71
36178,2022-12-13,宜蘭縣,冬山鄉,26,21957,27.14
36552,2022-12-12,宜蘭縣,冬山鄉,39,21931,27.71
36924,2022-12-11,宜蘭縣,冬山鄉,20,21892,27.00
37275,2022-12-10,宜蘭縣,冬山鄉,29,21872,26.29
37644,2022-12-09,宜蘭縣,冬山鄉,25,21843,25.43
38009,2022-12-08,宜蘭縣,冬山鄉,15,21818,26.14
38382,2022-12-07,宜蘭縣,冬山鄉,36,21803,28.14
38754,2022-12-06,宜蘭縣,冬山鄉,30,21767,25.43
39125,2022-12-05,宜蘭縣,冬山鄉,34,21737,25.57
39503,2022-12-04,宜蘭縣,冬山鄉,15,21703,23.86
39869,2022-12-03,宜蘭縣,冬山鄉,23,21688,24.71
40238,2022-12-02,宜蘭縣,冬山鄉,30,21665,26.57
40608,2022-12-01,宜蘭縣,冬山鄉,29,21635,27.71
40977,2022-11-30,宜蘭縣,冬山鄉,17,21606,27.71
41348,2022-11-29,宜蘭縣,冬山鄉,31,21589,27.14
41728,2022-11-28,宜蘭縣,冬山鄉,22,21558,27.00
42106,2022-11-27,宜蘭縣,冬山鄉,21,21536,28.43
42467,2022-11-26,宜蘭縣,冬山鄉,36,21515,27.86
42823,2022-11-25,宜蘭縣,冬山鄉,38,21479,27.29
43194,2022-11-24,宜蘭縣,冬山鄉,29,21441,25.29
43564,2022-11-23,宜蘭縣,冬山鄉,13,21412,25.14
43936,2022-11-22,宜蘭縣,冬山鄉,30,21399,28.14
44309,2022-11-21,宜蘭縣,冬山鄉,32,21369,30.00
44692,2022-11-20,宜蘭縣,冬山鄉,17,21337,29.86
45055,2022-11-19,宜蘭縣,冬山鄉,32,21320,30.86
