UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
171,2023-06-14,宜蘭縣,南澳鄉,1,3041,0.14
730,2023-03-20,宜蘭縣,南澳鄉,1,3040,0.86
1354,2023-03-18,宜蘭縣,南澳鄉,1,3039,1.71
2400,2023-03-15,宜蘭縣,南澳鄉,2,3038,3.14
2749,2023-03-14,宜蘭縣,南澳鄉,2,3036,3.14
3107,2023-03-13,宜蘭縣,南澳鄉,7,3034,3.29
3813,2023-03-11,宜蘭縣,南澳鄉,1,3027,2.43
4164,2023-03-10,宜蘭縣,南澳鄉,8,3026,2.29
4519,2023-03-09,宜蘭縣,南澳鄉,2,3018,1.14
4878,2023-03-08,宜蘭縣,南澳鄉,2,3016,1.14
5232,2023-03-07,宜蘭縣,南澳鄉,3,3014,0.86
5593,2023-03-06,宜蘭縣,南澳鄉,1,3011,0.71
7007,2023-03-02,宜蘭縣,南澳鄉,2,3010,1.14
7742,2023-02-28,宜蘭縣,南澳鄉,2,3008,1.71
8106,2023-02-27,宜蘭縣,南澳鄉,3,3006,1.71
9179,2023-02-24,宜蘭縣,南澳鄉,1,3003,2.00
9540,2023-02-23,宜蘭縣,南澳鄉,6,3002,2.14
10285,2023-02-21,宜蘭縣,南澳鄉,2,2996,2.00
10655,2023-02-20,宜蘭縣,南澳鄉,1,2994,2.00
11393,2023-02-18,宜蘭縣,南澳鄉,4,2993,2.57
11759,2023-02-17,宜蘭縣,南澳鄉,2,2989,2.00
12132,2023-02-16,宜蘭縣,南澳鄉,3,2987,2.43
12506,2023-02-15,宜蘭縣,南澳鄉,2,2984,2.14
12880,2023-02-14,宜蘭縣,南澳鄉,2,2982,2.14
13252,2023-02-13,宜蘭縣,南澳鄉,2,2980,2.43
13630,2023-02-12,宜蘭縣,南澳鄉,3,2978,2.29
14360,2023-02-10,宜蘭縣,南澳鄉,5,2975,2.43
14733,2023-02-09,宜蘭縣,南澳鄉,1,2970,1.86
15110,2023-02-08,宜蘭縣,南澳鄉,2,2969,2.29
15489,2023-02-07,宜蘭縣,南澳鄉,4,2967,2.43
15868,2023-02-06,宜蘭縣,南澳鄉,1,2963,2.29
16248,2023-02-05,宜蘭縣,南澳鄉,2,2962,3.14
16618,2023-02-04,宜蘭縣,南澳鄉,2,2960,2.86
16997,2023-02-03,宜蘭縣,南澳鄉,1,2958,3.29
17383,2023-02-02,宜蘭縣,南澳鄉,4,2957,3.14
17766,2023-02-01,宜蘭縣,南澳鄉,3,2953,2.86
18143,2023-01-31,宜蘭縣,南澳鄉,3,2950,2.71
18528,2023-01-30,宜蘭縣,南澳鄉,7,2947,2.71
19293,2023-01-28,宜蘭縣,南澳鄉,5,2940,2.00
20050,2023-01-26,宜蘭縣,南澳鄉,2,2935,1.86
20426,2023-01-25,宜蘭縣,南澳鄉,2,2933,1.57
20792,2023-01-24,宜蘭縣,南澳鄉,3,2931,1.43
21164,2023-01-23,宜蘭縣,南澳鄉,1,2928,1.43
21533,2023-01-22,宜蘭縣,南澳鄉,1,2927,1.57
21897,2023-01-21,宜蘭縣,南澳鄉,2,2926,1.57
22270,2023-01-20,宜蘭縣,南澳鄉,2,2924,1.57
23008,2023-01-18,宜蘭縣,南澳鄉,1,2922,1.86
23378,2023-01-17,宜蘭縣,南澳鄉,3,2921,1.86
23744,2023-01-16,宜蘭縣,南澳鄉,2,2918,1.43
24120,2023-01-15,宜蘭縣,南澳鄉,1,2916,1.14
24485,2023-01-14,宜蘭縣,南澳鄉,2,2915,1.29
24854,2023-01-13,宜蘭縣,南澳鄉,2,2913,1.14
25223,2023-01-12,宜蘭縣,南澳鄉,2,2911,0.86
25597,2023-01-11,宜蘭縣,南澳鄉,1,2909,0.86
26722,2023-01-08,宜蘭縣,南澳鄉,2,2908,0.71
27081,2023-01-07,宜蘭縣,南澳鄉,1,2906,0.57
27829,2023-01-05,宜蘭縣,南澳鄉,2,2905,0.57
29342,2023-01-01,宜蘭縣,南澳鄉,1,2903,0.71
29704,2022-12-31,宜蘭縣,南澳鄉,1,2902,0.57
30443,2022-12-29,宜蘭縣,南澳鄉,1,2901,0.57
30815,2022-12-28,宜蘭縣,南澳鄉,1,2900,0.43
31562,2022-12-26,宜蘭縣,南澳鄉,1,2899,0.29
32288,2022-12-24,宜蘭縣,南澳鄉,1,2898,1.43
34113,2022-12-19,宜蘭縣,南澳鄉,4,2897,1.86
34482,2022-12-18,宜蘭縣,南澳鄉,5,2893,1.57
34831,2022-12-17,宜蘭縣,南澳鄉,3,2888,0.86
35192,2022-12-16,宜蘭縣,南澳鄉,1,2885,0.71
36661,2022-12-12,宜蘭縣,南澳鄉,2,2884,1.86
37383,2022-12-10,宜蘭縣,南澳鄉,2,2882,2.43
37752,2022-12-09,宜蘭縣,南澳鄉,2,2880,2.29
38117,2022-12-08,宜蘭縣,南澳鄉,3,2878,2.14
38490,2022-12-07,宜蘭縣,南澳鄉,2,2875,1.71
38862,2022-12-06,宜蘭縣,南澳鄉,2,2873,2.00
39234,2022-12-05,宜蘭縣,南澳鄉,5,2871,1.86
39611,2022-12-04,宜蘭縣,南澳鄉,1,2866,1.29
39976,2022-12-03,宜蘭縣,南澳鄉,1,2865,1.57
40347,2022-12-02,宜蘭縣,南澳鄉,1,2864,1.71
41085,2022-11-30,宜蘭縣,南澳鄉,4,2863,1.71
41457,2022-11-29,宜蘭縣,南澳鄉,1,2859,1.14
41837,2022-11-28,宜蘭縣,南澳鄉,1,2858,1.00
42214,2022-11-27,宜蘭縣,南澳鄉,3,2857,1.14
42574,2022-11-26,宜蘭縣,南澳鄉,2,2854,0.71
42931,2022-11-25,宜蘭縣,南澳鄉,1,2852,0.43
44418,2022-11-21,宜蘭縣,南澳鄉,2,2851,0.71
45538,2022-11-18,宜蘭縣,南澳鄉,2,2849,0.71
46663,2022-11-15,宜蘭縣,南澳鄉,1,2847,1.00
47795,2022-11-12,宜蘭縣,南澳鄉,2,2846,1.43
48170,2022-11-11,宜蘭縣,南澳鄉,2,2844,1.14
48932,2022-11-09,宜蘭縣,南澳鄉,2,2842,1.29
49317,2022-11-08,宜蘭縣,南澳鄉,1,2840,1.29
49702,2022-11-07,宜蘭縣,南澳鄉,3,2839,1.43
50831,2022-11-04,宜蘭縣,南澳鄉,1,2836,1.29
51217,2022-11-03,宜蘭縣,南澳鄉,2,2835,1.57
51597,2022-11-02,宜蘭縣,南澳鄉,2,2833,1.43
51983,2022-11-01,宜蘭縣,南澳鄉,2,2831,1.14
52368,2022-10-31,宜蘭縣,南澳鄉,1,2829,1.43
52751,2022-10-30,宜蘭縣,南澳鄉,1,2828,2.00
53509,2022-10-28,宜蘭縣,南澳鄉,3,2827,2.14
53896,2022-10-27,宜蘭縣,南澳鄉,1,2824,2.29
54667,2022-10-25,宜蘭縣,南澳鄉,4,2823,4.00
55056,2022-10-24,宜蘭縣,南澳鄉,5,2819,4.86
55823,2022-10-22,宜蘭縣,南澳鄉,2,2814,7.43
56208,2022-10-21,宜蘭縣,南澳鄉,4,2812,8.14
56598,2022-10-20,宜蘭縣,南澳鄉,10,2808,8.43
56983,2022-10-19,宜蘭縣,南澳鄉,3,2798,7.86
57370,2022-10-18,宜蘭縣,南澳鄉,10,2795,9.57
57760,2022-10-17,宜蘭縣,南澳鄉,21,2785,9.71
58150,2022-10-16,宜蘭縣,南澳鄉,2,2764,8.29
58534,2022-10-15,宜蘭縣,南澳鄉,7,2762,8.29
58919,2022-10-14,宜蘭縣,南澳鄉,6,2755,8.86
59309,2022-10-13,宜蘭縣,南澳鄉,6,2749,9.57
59700,2022-10-12,宜蘭縣,南澳鄉,15,2743,10.29
60089,2022-10-11,宜蘭縣,南澳鄉,11,2728,10.71
60481,2022-10-10,宜蘭縣,南澳鄉,11,2717,10.43
60865,2022-10-09,宜蘭縣,南澳鄉,2,2706,10.29
61252,2022-10-08,宜蘭縣,南澳鄉,11,2704,10.14
61641,2022-10-07,宜蘭縣,南澳鄉,11,2693,10.43
62028,2022-10-06,宜蘭縣,南澳鄉,11,2682,10.00
62419,2022-10-05,宜蘭縣,南澳鄉,18,2671,10.29
62806,2022-10-04,宜蘭縣,南澳鄉,9,2653,8.86
63194,2022-10-03,宜蘭縣,南澳鄉,10,2644,8.57
63585,2022-10-02,宜蘭縣,南澳鄉,1,2634,8.86
63967,2022-10-01,宜蘭縣,南澳鄉,13,2633,9.00
64353,2022-09-30,宜蘭縣,南澳鄉,8,2620,7.86
64737,2022-09-29,宜蘭縣,南澳鄉,13,2612,7.29
65125,2022-09-28,宜蘭縣,南澳鄉,8,2599,6.29
65513,2022-09-27,宜蘭縣,南澳鄉,7,2591,6.71
65900,2022-09-26,宜蘭縣,南澳鄉,12,2584,6.57
66289,2022-09-25,宜蘭縣,南澳鄉,2,2572,6.00
66672,2022-09-24,宜蘭縣,南澳鄉,5,2570,5.86
67055,2022-09-23,宜蘭縣,南澳鄉,4,2565,5.29
67444,2022-09-22,宜蘭縣,南澳鄉,6,2561,5.57
67831,2022-09-21,宜蘭縣,南澳鄉,11,2555,5.43
68220,2022-09-20,宜蘭縣,南澳鄉,6,2544,4.29
68610,2022-09-19,宜蘭縣,南澳鄉,8,2538,4.86
69001,2022-09-18,宜蘭縣,南澳鄉,1,2530,5.14
69383,2022-09-17,宜蘭縣,南澳鄉,1,2529,5.43
69771,2022-09-16,宜蘭縣,南澳鄉,6,2528,6.14
70156,2022-09-15,宜蘭縣,南澳鄉,5,2522,5.43
70543,2022-09-14,宜蘭縣,南澳鄉,3,2517,5.29
70928,2022-09-13,宜蘭縣,南澳鄉,10,2514,5.29
71317,2022-09-12,宜蘭縣,南澳鄉,10,2504,4.00
71707,2022-09-11,宜蘭縣,南澳鄉,3,2494,3.29
72089,2022-09-10,宜蘭縣,南澳鄉,6,2491,3.43
72471,2022-09-09,宜蘭縣,南澳鄉,1,2485,3.71
72853,2022-09-08,宜蘭縣,南澳鄉,4,2484,4.71
73240,2022-09-07,宜蘭縣,南澳鄉,3,2480,5.00
73624,2022-09-06,宜蘭縣,南澳鄉,1,2477,5.71
74010,2022-09-05,宜蘭縣,南澳鄉,5,2476,5.71
74397,2022-09-04,宜蘭縣,南澳鄉,4,2471,6.43
74779,2022-09-03,宜蘭縣,南澳鄉,8,2467,6.00
75166,2022-09-02,宜蘭縣,南澳鄉,8,2459,5.29
75552,2022-09-01,宜蘭縣,南澳鄉,6,2451,4.71
75941,2022-08-31,宜蘭縣,南澳鄉,8,2445,5.00
76328,2022-08-30,宜蘭縣,南澳鄉,1,2437,4.43
76716,2022-08-29,宜蘭縣,南澳鄉,10,2436,5.00
77105,2022-08-28,宜蘭縣,南澳鄉,1,2426,3.71
77487,2022-08-27,宜蘭縣,南澳鄉,3,2425,3.57
77874,2022-08-26,宜蘭縣,南澳鄉,4,2422,3.57
78259,2022-08-25,宜蘭縣,南澳鄉,8,2418,3.57
78645,2022-08-24,宜蘭縣,南澳鄉,4,2410,3.57
79032,2022-08-23,宜蘭縣,南澳鄉,5,2406,4.00
79415,2022-08-22,宜蘭縣,南澳鄉,1,2401,4.71
80180,2022-08-20,宜蘭縣,南澳鄉,3,2400,6.71
80565,2022-08-19,宜蘭縣,南澳鄉,4,2397,6.43
80949,2022-08-18,宜蘭縣,南澳鄉,8,2393,6.14
81338,2022-08-17,宜蘭縣,南澳鄉,7,2385,5.71
81723,2022-08-16,宜蘭縣,南澳鄉,10,2378,4.86
82110,2022-08-15,宜蘭縣,南澳鄉,13,2368,3.57
82497,2022-08-14,宜蘭縣,南澳鄉,2,2355,1.86
82874,2022-08-13,宜蘭縣,南澳鄉,1,2353,1.71
83253,2022-08-12,宜蘭縣,南澳鄉,2,2352,1.71
83639,2022-08-11,宜蘭縣,南澳鄉,5,2350,1.86
84025,2022-08-10,宜蘭縣,南澳鄉,1,2345,1.29
84411,2022-08-09,宜蘭縣,南澳鄉,1,2344,1.57
84793,2022-08-08,宜蘭縣,南澳鄉,1,2343,1.86
85177,2022-08-07,宜蘭縣,南澳鄉,1,2342,2.00
85550,2022-08-06,宜蘭縣,南澳鄉,1,2341,1.86
85930,2022-08-05,宜蘭縣,南澳鄉,3,2340,1.71
86317,2022-08-04,宜蘭縣,南澳鄉,1,2337,1.29
86702,2022-08-03,宜蘭縣,南澳鄉,3,2336,1.43
87085,2022-08-02,宜蘭縣,南澳鄉,3,2333,1.57
87470,2022-08-01,宜蘭縣,南澳鄉,2,2330,1.43
88997,2022-07-28,宜蘭縣,南澳鄉,2,2328,3.29
89383,2022-07-27,宜蘭縣,南澳鄉,4,2326,4.14
89774,2022-07-26,宜蘭縣,南澳鄉,2,2322,4.57
90161,2022-07-25,宜蘭縣,南澳鄉,6,2320,5.43
90922,2022-07-23,宜蘭縣,南澳鄉,4,2314,5.43
91307,2022-07-22,宜蘭縣,南澳鄉,5,2310,6.00
91693,2022-07-21,宜蘭縣,南澳鄉,8,2305,5.86
92077,2022-07-20,宜蘭縣,南澳鄉,7,2297,6.00
92464,2022-07-19,宜蘭縣,南澳鄉,8,2290,6.86
92852,2022-07-18,宜蘭縣,南澳鄉,6,2282,6.29
93619,2022-07-16,宜蘭縣,南澳鄉,8,2276,8.00
94005,2022-07-15,宜蘭縣,南澳鄉,4,2268,8.71
94393,2022-07-14,宜蘭縣,南澳鄉,9,2264,8.86
94781,2022-07-13,宜蘭縣,南澳鄉,13,2255,9.00
95170,2022-07-12,宜蘭縣,南澳鄉,4,2242,8.43
95558,2022-07-11,宜蘭縣,南澳鄉,12,2238,9.43
95946,2022-07-10,宜蘭縣,南澳鄉,6,2226,8.86
96329,2022-07-09,宜蘭縣,南澳鄉,13,2220,9.00
96716,2022-07-08,宜蘭縣,南澳鄉,5,2207,8.29
97107,2022-07-07,宜蘭縣,南澳鄉,10,2202,9.14
97498,2022-07-06,宜蘭縣,南澳鄉,9,2192,9.57
97887,2022-07-05,宜蘭縣,南澳鄉,11,2183,9.71
98276,2022-07-04,宜蘭縣,南澳鄉,8,2172,10.71
98665,2022-07-03,宜蘭縣,南澳鄉,7,2164,11.14
99050,2022-07-02,宜蘭縣,南澳鄉,8,2157,10.86
99438,2022-07-01,宜蘭縣,南澳鄉,11,2149,10.57
99830,2022-06-30,宜蘭縣,南澳鄉,13,2138,10.00
100221,2022-06-29,宜蘭縣,南澳鄉,10,2125,10.29
100611,2022-06-28,宜蘭縣,南澳鄉,18,2115,10.71
101002,2022-06-27,宜蘭縣,南澳鄉,11,2097,10.57
101391,2022-06-26,宜蘭縣,南澳鄉,5,2086,10.86
101776,2022-06-25,宜蘭縣,南澳鄉,6,2081,11.00
102166,2022-06-24,宜蘭縣,南澳鄉,7,2075,11.86
102557,2022-06-23,宜蘭縣,南澳鄉,15,2068,13.57
102949,2022-06-22,宜蘭縣,南澳鄉,13,2053,15.29
103339,2022-06-21,宜蘭縣,南澳鄉,17,2040,16.00
103730,2022-06-20,宜蘭縣,南澳鄉,13,2023,18.71
104121,2022-06-19,宜蘭縣,南澳鄉,6,2010,22.57
104511,2022-06-18,宜蘭縣,南澳鄉,12,2004,23.14
104902,2022-06-17,宜蘭縣,南澳鄉,19,1992,26.71
105293,2022-06-16,宜蘭縣,南澳鄉,27,1973,28.43
105683,2022-06-15,宜蘭縣,南澳鄉,18,1946,29.29
106073,2022-06-14,宜蘭縣,南澳鄉,36,1928,33.43
106464,2022-06-13,宜蘭縣,南澳鄉,40,1892,34.57
106855,2022-06-12,宜蘭縣,南澳鄉,10,1852,37.29
107242,2022-06-11,宜蘭縣,南澳鄉,37,1842,38.14
107633,2022-06-10,宜蘭縣,南澳鄉,31,1805,35.86
108022,2022-06-09,宜蘭縣,南澳鄉,33,1774,34.71
108413,2022-06-08,宜蘭縣,南澳鄉,47,1741,37.00
108801,2022-06-07,宜蘭縣,南澳鄉,44,1694,33.43
109193,2022-06-06,宜蘭縣,南澳鄉,59,1650,30.86
109584,2022-06-05,宜蘭縣,南澳鄉,16,1591,29.29
109973,2022-06-04,宜蘭縣,南澳鄉,21,1575,28.14
110362,2022-06-03,宜蘭縣,南澳鄉,23,1554,29.57
110754,2022-06-02,宜蘭縣,南澳鄉,49,1531,29.71
111144,2022-06-01,宜蘭縣,南澳鄉,22,1482,26.86
111535,2022-05-31,宜蘭縣,南澳鄉,26,1460,28.43
111927,2022-05-30,宜蘭縣,南澳鄉,48,1434,29.86
112317,2022-05-29,宜蘭縣,南澳鄉,8,1386,32.86
112708,2022-05-28,宜蘭縣,南澳鄉,31,1378,34.57
113098,2022-05-27,宜蘭縣,南澳鄉,24,1347,37.00
113489,2022-05-26,宜蘭縣,南澳鄉,29,1323,41.86
113880,2022-05-25,宜蘭縣,南澳鄉,33,1294,45.29
114270,2022-05-24,宜蘭縣,南澳鄉,36,1261,52.14
114661,2022-05-23,宜蘭縣,南澳鄉,69,1225,60.29
115052,2022-05-22,宜蘭縣,南澳鄉,20,1156,55.43
115443,2022-05-21,宜蘭縣,南澳鄉,48,1136,65.71
115830,2022-05-20,宜蘭縣,南澳鄉,58,1088,61.71
116216,2022-05-19,宜蘭縣,南澳鄉,53,1030,73.86
116605,2022-05-18,宜蘭縣,南澳鄉,81,977,69.00
116995,2022-05-17,宜蘭縣,南澳鄉,93,896,60.86
117385,2022-05-16,宜蘭縣,南澳鄉,35,803,53.86
117773,2022-05-15,宜蘭縣,南澳鄉,92,768,51.00
118159,2022-05-14,宜蘭縣,南澳鄉,20,676,43.14
118542,2022-05-13,宜蘭縣,南澳鄉,143,656,42.29
118929,2022-05-12,宜蘭縣,南澳鄉,19,513,27.29
119313,2022-05-11,宜蘭縣,南澳鄉,24,494,26.57
119698,2022-05-10,宜蘭縣,南澳鄉,44,470,25.43
120083,2022-05-09,宜蘭縣,南澳鄉,15,426,21.00
120462,2022-05-08,宜蘭縣,南澳鄉,37,411,22.86
120846,2022-05-07,宜蘭縣,南澳鄉,14,374,18.29
121224,2022-05-06,宜蘭縣,南澳鄉,38,360,19.43
121603,2022-05-05,宜蘭縣,南澳鄉,14,322,14.86
121974,2022-05-04,宜蘭縣,南澳鄉,16,308,15.29
122335,2022-05-03,宜蘭縣,南澳鄉,13,292,14.57
122694,2022-05-02,宜蘭縣,南澳鄉,28,279,15.71
123044,2022-05-01,宜蘭縣,南澳鄉,5,251,13.57
123378,2022-04-30,宜蘭縣,南澳鄉,22,246,14.57
123709,2022-04-29,宜蘭縣,南澳鄉,6,224,13.71
124025,2022-04-28,宜蘭縣,南澳鄉,17,218,15.43
124338,2022-04-27,宜蘭縣,南澳鄉,11,201,16.57
124633,2022-04-26,宜蘭縣,南澳鄉,21,190,17.00
124923,2022-04-25,宜蘭縣,南澳鄉,13,169,16.29
125196,2022-04-24,宜蘭縣,南澳鄉,12,156,15.57
125437,2022-04-23,宜蘭縣,南澳鄉,16,144,15.00
125687,2022-04-22,宜蘭縣,南澳鄉,18,128,15.00
125928,2022-04-21,宜蘭縣,南澳鄉,25,110,13.57
126160,2022-04-20,宜蘭縣,南澳鄉,14,85,10.43
126367,2022-04-19,宜蘭縣,南澳鄉,16,71,9.00
126560,2022-04-18,宜蘭縣,南澳鄉,8,55,6.86
126736,2022-04-17,宜蘭縣,南澳鄉,8,47,5.71
126895,2022-04-16,宜蘭縣,南澳鄉,16,39,4.57
127063,2022-04-15,宜蘭縣,南澳鄉,8,23,2.29
127231,2022-04-14,宜蘭縣,南澳鄉,3,15,1.14
127394,2022-04-13,宜蘭縣,南澳鄉,4,12,0.71
127542,2022-04-12,宜蘭縣,南澳鄉,1,8,0.14
132324,2021-06-09,宜蘭縣,南澳鄉,1,7,0.71
132508,2021-06-06,宜蘭縣,南澳鄉,4,6,0.57
133413,2021-05-26,宜蘭縣,南澳鄉,1,2,0.29
133512,2021-05-25,宜蘭縣,南澳鄉,1,1,0.14
