UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
151,2023-06-14,宜蘭縣,員山鄉,2,13921,0.29
519,2023-03-21,宜蘭縣,員山鄉,2,13919,8.00
690,2023-03-20,宜蘭縣,員山鄉,2,13917,10.57
981,2023-03-19,宜蘭縣,員山鄉,9,13915,11.71
1310,2023-03-18,宜蘭縣,員山鄉,9,13906,11.57
1649,2023-03-17,宜蘭縣,員山鄉,10,13897,12.29
2002,2023-03-16,宜蘭縣,員山鄉,12,13887,13.14
2354,2023-03-15,宜蘭縣,員山鄉,12,13875,13.14
2705,2023-03-14,宜蘭縣,員山鄉,20,13863,14.57
3063,2023-03-13,宜蘭縣,員山鄉,10,13843,15.14
3421,2023-03-12,宜蘭縣,員山鄉,8,13833,17.14
3767,2023-03-11,宜蘭縣,員山鄉,14,13825,17.43
4119,2023-03-10,宜蘭縣,員山鄉,16,13811,18.14
4475,2023-03-09,宜蘭縣,員山鄉,12,13795,18.29
4834,2023-03-08,宜蘭縣,員山鄉,22,13783,20.00
5187,2023-03-07,宜蘭縣,員山鄉,24,13761,21.00
5547,2023-03-06,宜蘭縣,員山鄉,24,13737,21.29
5911,2023-03-05,宜蘭縣,員山鄉,10,13713,21.86
6250,2023-03-04,宜蘭縣,員山鄉,19,13703,22.00
6603,2023-03-03,宜蘭縣,員山鄉,17,13684,21.71
6962,2023-03-02,宜蘭縣,員山鄉,24,13667,23.71
7326,2023-03-01,宜蘭縣,員山鄉,29,13643,24.57
7697,2023-02-28,宜蘭縣,員山鄉,26,13614,24.71
8060,2023-02-27,宜蘭縣,員山鄉,28,13588,24.14
8419,2023-02-26,宜蘭縣,員山鄉,11,13560,25.14
8763,2023-02-25,宜蘭縣,員山鄉,17,13549,25.71
9133,2023-02-24,宜蘭縣,員山鄉,31,13532,25.71
9494,2023-02-23,宜蘭縣,員山鄉,30,13501,23.86
9865,2023-02-22,宜蘭縣,員山鄉,30,13471,23.14
10239,2023-02-21,宜蘭縣,員山鄉,22,13441,22.43
10609,2023-02-20,宜蘭縣,員山鄉,35,13419,22.43
10988,2023-02-19,宜蘭縣,員山鄉,15,13384,21.86
11347,2023-02-18,宜蘭縣,員山鄉,17,13369,21.71
11713,2023-02-17,宜蘭縣,員山鄉,18,13352,23.00
12086,2023-02-16,宜蘭縣,員山鄉,25,13334,24.57
12461,2023-02-15,宜蘭縣,員山鄉,25,13309,24.29
12834,2023-02-14,宜蘭縣,員山鄉,22,13284,24.14
13206,2023-02-13,宜蘭縣,員山鄉,31,13262,25.43
13584,2023-02-12,宜蘭縣,員山鄉,14,13231,25.71
13942,2023-02-11,宜蘭縣,員山鄉,26,13217,26.86
14314,2023-02-10,宜蘭縣,員山鄉,29,13191,25.43
14687,2023-02-09,宜蘭縣,員山鄉,23,13162,27.00
15064,2023-02-08,宜蘭縣,員山鄉,24,13139,29.71
15443,2023-02-07,宜蘭縣,員山鄉,31,13115,30.71
15822,2023-02-06,宜蘭縣,員山鄉,33,13084,32.43
16203,2023-02-05,宜蘭縣,員山鄉,22,13051,32.43
16572,2023-02-04,宜蘭縣,員山鄉,16,13029,31.57
16951,2023-02-03,宜蘭縣,員山鄉,40,13013,33.29
17337,2023-02-02,宜蘭縣,員山鄉,42,12973,32.57
17720,2023-02-01,宜蘭縣,員山鄉,31,12931,29.29
18097,2023-01-31,宜蘭縣,員山鄉,43,12900,28.86
18482,2023-01-30,宜蘭縣,員山鄉,33,12857,26.29
18871,2023-01-29,宜蘭縣,員山鄉,16,12824,24.00
19247,2023-01-28,宜蘭縣,員山鄉,28,12808,23.57
19626,2023-01-27,宜蘭縣,員山鄉,35,12780,21.14
20004,2023-01-26,宜蘭縣,員山鄉,19,12745,18.14
20381,2023-01-25,宜蘭縣,員山鄉,28,12726,18.14
20746,2023-01-24,宜蘭縣,員山鄉,25,12698,16.00
21121,2023-01-23,宜蘭縣,員山鄉,17,12673,14.57
21488,2023-01-22,宜蘭縣,員山鄉,13,12656,14.29
21852,2023-01-21,宜蘭縣,員山鄉,11,12643,13.29
22224,2023-01-20,宜蘭縣,員山鄉,14,12632,13.86
22591,2023-01-19,宜蘭縣,員山鄉,19,12618,15.29
