UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
715,2023-03-20,宜蘭縣,壯圍鄉,5,9963,8.14
1007,2023-03-19,宜蘭縣,壯圍鄉,3,9958,9.43
1337,2023-03-18,宜蘭縣,壯圍鄉,9,9955,9.86
1676,2023-03-17,宜蘭縣,壯圍鄉,10,9946,9.86
2029,2023-03-16,宜蘭縣,壯圍鄉,11,9936,10.57
2381,2023-03-15,宜蘭縣,壯圍鄉,10,9925,11.29
2732,2023-03-14,宜蘭縣,壯圍鄉,9,9915,11.86
3089,2023-03-13,宜蘭縣,壯圍鄉,14,9906,13.14
3447,2023-03-12,宜蘭縣,壯圍鄉,6,9892,13.00
3794,2023-03-11,宜蘭縣,壯圍鄉,9,9886,13.57
4146,2023-03-10,宜蘭縣,壯圍鄉,15,9877,14.14
4502,2023-03-09,宜蘭縣,壯圍鄉,16,9862,12.71
4860,2023-03-08,宜蘭縣,壯圍鄉,14,9846,13.14
5214,2023-03-07,宜蘭縣,壯圍鄉,18,9832,14.14
5574,2023-03-06,宜蘭縣,壯圍鄉,13,9814,14.00
5938,2023-03-05,宜蘭縣,壯圍鄉,10,9801,13.43
6276,2023-03-04,宜蘭縣,壯圍鄉,13,9791,14.71
6630,2023-03-03,宜蘭縣,壯圍鄉,5,9778,14.57
6989,2023-03-02,宜蘭縣,壯圍鄉,19,9773,17.00
7353,2023-03-01,宜蘭縣,壯圍鄉,21,9754,17.43
7724,2023-02-28,宜蘭縣,壯圍鄉,17,9733,17.43
8087,2023-02-27,宜蘭縣,壯圍鄉,9,9716,17.57
8446,2023-02-26,宜蘭縣,壯圍鄉,19,9707,18.86
8790,2023-02-25,宜蘭縣,壯圍鄉,12,9688,18.00
9160,2023-02-24,宜蘭縣,壯圍鄉,22,9676,17.43
9521,2023-02-23,宜蘭縣,壯圍鄉,22,9654,16.43
9892,2023-02-22,宜蘭縣,壯圍鄉,21,9632,15.00
10266,2023-02-21,宜蘭縣,壯圍鄉,18,9611,14.71
10636,2023-02-20,宜蘭縣,壯圍鄉,18,9593,14.57
11015,2023-02-19,宜蘭縣,壯圍鄉,13,9575,13.71
11374,2023-02-18,宜蘭縣,壯圍鄉,8,9562,13.14
11740,2023-02-17,宜蘭縣,壯圍鄉,15,9554,14.29
12113,2023-02-16,宜蘭縣,壯圍鄉,12,9539,14.43
12488,2023-02-15,宜蘭縣,壯圍鄉,19,9527,16.29
