UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5302,2023-03-17,宜蘭縣,大同鄉,15-19,217
5303,2023-03-17,宜蘭縣,大同鄉,40-44,145
5304,2023-03-16,宜蘭縣,大同鄉,5-9,197
5305,2023-03-13,宜蘭縣,大同鄉,70+,139
5306,2023-03-12,宜蘭縣,大同鄉,30-34,160
5307,2023-03-11,宜蘭縣,大同鄉,20-24,218
5308,2023-03-11,宜蘭縣,大同鄉,55-59,154
5309,2023-03-10,宜蘭縣,大同鄉,60-64,144
5310,2023-03-09,宜蘭縣,大同鄉,10-14,184
5311,2023-03-09,宜蘭縣,大同鄉,45-49,111
5312,2023-03-07,宜蘭縣,大同鄉,65-69,86
5313,2023-03-03,宜蘭縣,大同鄉,25-29,185
5314,2023-02-25,宜蘭縣,大同鄉,35-39,178
5315,2023-02-21,宜蘭縣,大同鄉,50-54,149
5316,2023-02-11,宜蘭縣,大同鄉,4,43
5317,2023-02-11,宜蘭縣,大同鄉,2,44
5318,2023-02-11,宜蘭縣,大同鄉,1,37
5319,2023-02-05,宜蘭縣,大同鄉,0,39
5320,2023-02-03,宜蘭縣,大同鄉,3,33
