UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1831,2023-03-17,宜蘭縣,大同鄉,2,2463,1.43
2179,2023-03-16,宜蘭縣,大同鄉,2,2461,1.43
3242,2023-03-13,宜蘭縣,大同鄉,1,2459,2.57
3593,2023-03-12,宜蘭縣,大同鄉,3,2458,2.43
3947,2023-03-11,宜蘭縣,大同鄉,2,2455,2.00
4297,2023-03-10,宜蘭縣,大同鄉,2,2453,2.00
4655,2023-03-09,宜蘭縣,大同鄉,3,2451,2.14
5011,2023-03-08,宜蘭縣,大同鄉,1,2448,1.86
5365,2023-03-07,宜蘭縣,大同鄉,6,2447,1.86
6427,2023-03-04,宜蘭縣,大同鄉,2,2441,1.57
6783,2023-03-03,宜蘭縣,大同鄉,3,2439,1.43
7145,2023-03-02,宜蘭縣,大同鄉,1,2436,1.00
7510,2023-03-01,宜蘭縣,大同鄉,1,2435,1.00
8243,2023-02-27,宜蘭縣,大同鄉,3,2434,1.14
8588,2023-02-26,宜蘭縣,大同鄉,1,2431,1.00
8950,2023-02-25,宜蘭縣,大同鄉,1,2430,1.00
9681,2023-02-23,宜蘭縣,大同鄉,1,2429,1.00
10052,2023-02-22,宜蘭縣,大同鄉,1,2428,1.00
10425,2023-02-21,宜蘭縣,大同鄉,1,2427,1.29
10798,2023-02-20,宜蘭縣,大同鄉,2,2426,1.29
11166,2023-02-19,宜蘭縣,大同鄉,1,2424,1.43
11900,2023-02-17,宜蘭縣,大同鄉,1,2423,2.57
12273,2023-02-16,宜蘭縣,大同鄉,1,2422,3.00
12649,2023-02-15,宜蘭縣,大同鄉,3,2421,3.43
13023,2023-02-14,宜蘭縣,大同鄉,1,2418,3.29
13395,2023-02-13,宜蘭縣,大同鄉,3,2417,3.43
13766,2023-02-12,宜蘭縣,大同鄉,2,2414,3.29
14131,2023-02-11,宜蘭縣,大同鄉,7,2412,3.29
14500,2023-02-10,宜蘭縣,大同鄉,4,2405,2.71
14872,2023-02-09,宜蘭縣,大同鄉,4,2401,3.29
15254,2023-02-08,宜蘭縣,大同鄉,2,2397,3.57
15633,2023-02-07,宜蘭縣,大同鄉,2,2395,3.71
16013,2023-02-06,宜蘭縣,大同鄉,2,2393,4.00
16387,2023-02-05,宜蘭縣,大同鄉,2,2391,4.57
16762,2023-02-04,宜蘭縣,大同鄉,3,2389,4.57
17141,2023-02-03,宜蘭縣,大同鄉,8,2386,4.57
17528,2023-02-02,宜蘭縣,大同鄉,6,2378,4.14
17908,2023-02-01,宜蘭縣,大同鄉,3,2372,3.71
18290,2023-01-31,宜蘭縣,大同鄉,4,2369,3.29
18675,2023-01-30,宜蘭縣,大同鄉,6,2365,3.00
19060,2023-01-29,宜蘭縣,大同鄉,2,2359,2.29
19438,2023-01-28,宜蘭縣,大同鄉,3,2357,2.14
19814,2023-01-27,宜蘭縣,大同鄉,5,2354,1.71
20193,2023-01-26,宜蘭縣,大同鄉,3,2349,1.14
20933,2023-01-24,宜蘭縣,大同鄉,2,2346,0.71
21301,2023-01-23,宜蘭縣,大同鄉,1,2344,0.43
21672,2023-01-22,宜蘭縣,大同鄉,1,2343,0.29
22409,2023-01-20,宜蘭縣,大同鄉,1,2342,1.29
24258,2023-01-15,宜蘭縣,大同鄉,2,2341,3.43
24624,2023-01-14,宜蘭縣,大同鄉,6,2339,3.14
25366,2023-01-12,宜蘭縣,大同鄉,4,2333,2.71
25737,2023-01-11,宜蘭縣,大同鄉,7,2329,2.43
26489,2023-01-09,宜蘭縣,大同鄉,5,2322,2.29
27220,2023-01-07,宜蘭縣,大同鄉,1,2317,1.71
27593,2023-01-06,宜蘭縣,大同鄉,2,2316,2.00
27973,2023-01-05,宜蘭縣,大同鄉,2,2314,1.86
28353,2023-01-04,宜蘭縣,大同鄉,1,2312,2.29
28734,2023-01-03,宜蘭縣,大同鄉,5,2311,2.43
29112,2023-01-02,宜蘭縣,大同鄉,1,2306,2.14
29844,2022-12-31,宜蘭縣,大同鄉,3,2305,2.43
30210,2022-12-30,宜蘭縣,大同鄉,1,2302,2.00
30583,2022-12-29,宜蘭縣,大同鄉,5,2301,1.86
30956,2022-12-28,宜蘭縣,大同鄉,2,2296,1.57
