UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5131,2023-06-14,宜蘭縣,宜蘭市,50-54,2832
5132,2023-06-14,宜蘭縣,宜蘭市,20-24,3388
5133,2023-03-20,宜蘭縣,宜蘭市,70+,3591
5134,2023-03-20,宜蘭縣,宜蘭市,5-9,2546
5135,2023-03-20,宜蘭縣,宜蘭市,55-59,2527
5136,2023-03-20,宜蘭縣,宜蘭市,40-44,3837
5137,2023-03-20,宜蘭縣,宜蘭市,25-29,3501
5138,2023-03-20,宜蘭縣,宜蘭市,30-34,3375
5139,2023-03-20,宜蘭縣,宜蘭市,60-64,2321
5140,2023-03-19,宜蘭縣,宜蘭市,10-14,2411
5141,2023-03-19,宜蘭縣,宜蘭市,35-39,3488
5142,2023-03-18,宜蘭縣,宜蘭市,45-49,3255
5143,2023-03-18,宜蘭縣,宜蘭市,15-19,2671
5144,2023-03-18,宜蘭縣,宜蘭市,2,346
5145,2023-03-17,宜蘭縣,宜蘭市,0,255
5146,2023-03-17,宜蘭縣,宜蘭市,3,338
5147,2023-03-17,宜蘭縣,宜蘭市,65-69,1902
5148,2023-03-13,宜蘭縣,宜蘭市,4,412
5149,2023-03-07,宜蘭縣,宜蘭市,1,354
