UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
130,2023-06-14,宜蘭縣,礁溪鄉,1,15517,0.14
509,2023-03-21,宜蘭縣,礁溪鄉,1,15516,8.00
950,2023-03-19,宜蘭縣,礁溪鄉,4,15515,10.57
1278,2023-03-18,宜蘭縣,礁溪鄉,12,15511,11.71
1618,2023-03-17,宜蘭縣,礁溪鄉,14,15499,11.57
1970,2023-03-16,宜蘭縣,礁溪鄉,15,15485,11.43
2323,2023-03-15,宜蘭縣,礁溪鄉,10,15470,12.14
2674,2023-03-14,宜蘭縣,礁溪鄉,6,15460,13.00
3031,2023-03-13,宜蘭縣,礁溪鄉,13,15454,13.86
3390,2023-03-12,宜蘭縣,礁溪鄉,12,15441,14.71
3735,2023-03-11,宜蘭縣,礁溪鄉,11,15429,14.14
4088,2023-03-10,宜蘭縣,礁溪鄉,13,15418,15.57
4443,2023-03-09,宜蘭縣,礁溪鄉,20,15405,16.00
4802,2023-03-08,宜蘭縣,礁溪鄉,16,15385,16.86
5156,2023-03-07,宜蘭縣,礁溪鄉,12,15369,17.86
5515,2023-03-06,宜蘭縣,礁溪鄉,19,15357,19.71
5880,2023-03-05,宜蘭縣,礁溪鄉,8,15338,19.71
6219,2023-03-04,宜蘭縣,礁溪鄉,21,15330,20.29
6571,2023-03-03,宜蘭縣,礁溪鄉,16,15309,20.00
6930,2023-03-02,宜蘭縣,礁溪鄉,26,15293,22.00
7294,2023-03-01,宜蘭縣,礁溪鄉,23,15267,21.57
7665,2023-02-28,宜蘭縣,礁溪鄉,25,15244,19.86
8028,2023-02-27,宜蘭縣,礁溪鄉,19,15219,19.71
8387,2023-02-26,宜蘭縣,礁溪鄉,12,15200,21.00
8732,2023-02-25,宜蘭縣,礁溪鄉,19,15188,20.86
9102,2023-02-24,宜蘭縣,礁溪鄉,30,15169,21.57
9463,2023-02-23,宜蘭縣,礁溪鄉,23,15139,20.71
9833,2023-02-22,宜蘭縣,礁溪鄉,11,15116,20.43
10208,2023-02-21,宜蘭縣,礁溪鄉,24,15105,21.57
10577,2023-02-20,宜蘭縣,礁溪鄉,28,15081,21.29
10957,2023-02-19,宜蘭縣,礁溪鄉,11,15053,22.86
11315,2023-02-18,宜蘭縣,礁溪鄉,24,15042,23.29
11682,2023-02-17,宜蘭縣,礁溪鄉,24,15018,23.29
12054,2023-02-16,宜蘭縣,礁溪鄉,21,14994,22.71
12429,2023-02-15,宜蘭縣,礁溪鄉,19,14973,23.00
12802,2023-02-14,宜蘭縣,礁溪鄉,22,14954,22.29
13174,2023-02-13,宜蘭縣,礁溪鄉,39,14932,22.71
13553,2023-02-12,宜蘭縣,礁溪鄉,14,14893,22.86
13910,2023-02-11,宜蘭縣,礁溪鄉,24,14879,24.14
14282,2023-02-10,宜蘭縣,礁溪鄉,20,14855,26.86
14656,2023-02-09,宜蘭縣,礁溪鄉,23,14835,30.57
15032,2023-02-08,宜蘭縣,礁溪鄉,14,14812,33.00
15411,2023-02-07,宜蘭縣,礁溪鄉,25,14798,36.86
15790,2023-02-06,宜蘭縣,礁溪鄉,40,14773,39.00
16172,2023-02-05,宜蘭縣,礁溪鄉,23,14733,40.29
16540,2023-02-04,宜蘭縣,礁溪鄉,43,14710,41.86
16919,2023-02-03,宜蘭縣,礁溪鄉,46,14667,41.57
17305,2023-02-02,宜蘭縣,礁溪鄉,40,14621,42.14
17688,2023-02-01,宜蘭縣,礁溪鄉,41,14581,41.71
18065,2023-01-31,宜蘭縣,礁溪鄉,40,14540,38.57
18450,2023-01-30,宜蘭縣,礁溪鄉,49,14500,36.57
18839,2023-01-29,宜蘭縣,礁溪鄉,34,14451,32.00
19215,2023-01-28,宜蘭縣,礁溪鄉,41,14417,28.57
19594,2023-01-27,宜蘭縣,礁溪鄉,50,14376,25.86
19972,2023-01-26,宜蘭縣,礁溪鄉,37,14326,23.14
20349,2023-01-25,宜蘭縣,礁溪鄉,19,14289,21.43
20714,2023-01-24,宜蘭縣,礁溪鄉,26,14270,21.71
21089,2023-01-23,宜蘭縣,礁溪鄉,17,14244,21.43
21456,2023-01-22,宜蘭縣,礁溪鄉,10,14227,21.57
21820,2023-01-21,宜蘭縣,礁溪鄉,22,14217,22.57
22192,2023-01-20,宜蘭縣,礁溪鄉,31,14195,22.57
22559,2023-01-19,宜蘭縣,礁溪鄉,25,14164,21.71
22930,2023-01-18,宜蘭縣,礁溪鄉,21,14139,22.43
23302,2023-01-17,宜蘭縣,礁溪鄉,24,14118,23.14
23666,2023-01-16,宜蘭縣,礁溪鄉,18,14094,25.57
24042,2023-01-15,宜蘭縣,礁溪鄉,17,14076,27.43
24409,2023-01-14,宜蘭縣,礁溪鄉,22,14059,27.00
24777,2023-01-13,宜蘭縣,礁溪鄉,25,14037,28.14
25145,2023-01-12,宜蘭縣,礁溪鄉,30,14012,29.14
25520,2023-01-11,宜蘭縣,礁溪鄉,26,13982,30.00
25896,2023-01-10,宜蘭縣,礁溪鄉,41,13956,31.86
26268,2023-01-09,宜蘭縣,礁溪鄉,31,13915,29.71
26647,2023-01-08,宜蘭縣,礁溪鄉,14,13884,30.00
27004,2023-01-07,宜蘭縣,礁溪鄉,30,13870,30.00
27375,2023-01-06,宜蘭縣,礁溪鄉,32,13840,29.00
27751,2023-01-05,宜蘭縣,礁溪鄉,36,13808,28.71
28131,2023-01-04,宜蘭縣,礁溪鄉,39,13772,26.86
28512,2023-01-03,宜蘭縣,礁溪鄉,26,13733,25.57
28894,2023-01-02,宜蘭縣,礁溪鄉,33,13707,25.00
29265,2023-01-01,宜蘭縣,礁溪鄉,14,13674,25.43
29627,2022-12-31,宜蘭縣,礁溪鄉,23,13660,25.29
29993,2022-12-30,宜蘭縣,礁溪鄉,30,13637,25.14
30365,2022-12-29,宜蘭縣,礁溪鄉,23,13607,23.71
30738,2022-12-28,宜蘭縣,礁溪鄉,30,13584,23.43
31108,2022-12-27,宜蘭縣,礁溪鄉,22,13554,21.43
31485,2022-12-26,宜蘭縣,礁溪鄉,36,13532,21.14
31857,2022-12-25,宜蘭縣,礁溪鄉,13,13496,19.29
32211,2022-12-24,宜蘭縣,礁溪鄉,22,13483,19.43
32571,2022-12-23,宜蘭縣,礁溪鄉,20,13461,20.00
32935,2022-12-22,宜蘭縣,礁溪鄉,21,13441,19.86
33302,2022-12-21,宜蘭縣,礁溪鄉,16,13420,18.57
33672,2022-12-20,宜蘭縣,礁溪鄉,20,13404,19.14
34035,2022-12-19,宜蘭縣,礁溪鄉,23,13384,19.00
34406,2022-12-18,宜蘭縣,礁溪鄉,14,13361,18.57
34754,2022-12-17,宜蘭縣,礁溪鄉,26,13347,17.86
35114,2022-12-16,宜蘭縣,礁溪鄉,19,13321,16.29
35479,2022-12-15,宜蘭縣,礁溪鄉,12,13302,16.43
35850,2022-12-14,宜蘭縣,礁溪鄉,20,13290,17.57
36209,2022-12-13,宜蘭縣,礁溪鄉,19,13270,17.43
36583,2022-12-12,宜蘭縣,礁溪鄉,20,13251,17.14
36954,2022-12-11,宜蘭縣,礁溪鄉,9,13231,16.43
37306,2022-12-10,宜蘭縣,礁溪鄉,15,13222,16.00
37675,2022-12-09,宜蘭縣,礁溪鄉,20,13207,17.00
38040,2022-12-08,宜蘭縣,礁溪鄉,20,13187,15.57
38413,2022-12-07,宜蘭縣,礁溪鄉,19,13167,16.29
38785,2022-12-06,宜蘭縣,礁溪鄉,17,13148,15.71
39156,2022-12-05,宜蘭縣,礁溪鄉,15,13131,16.00
39534,2022-12-04,宜蘭縣,礁溪鄉,6,13116,17.14
39900,2022-12-03,宜蘭縣,礁溪鄉,22,13110,18.00
40269,2022-12-02,宜蘭縣,礁溪鄉,10,13088,17.14
40639,2022-12-01,宜蘭縣,礁溪鄉,25,13078,16.86
41008,2022-11-30,宜蘭縣,礁溪鄉,15,13053,15.14
41379,2022-11-29,宜蘭縣,礁溪鄉,19,13038,14.86
41759,2022-11-28,宜蘭縣,礁溪鄉,23,13019,15.29
42137,2022-11-27,宜蘭縣,礁溪鄉,12,12996,16.14
42498,2022-11-26,宜蘭縣,礁溪鄉,16,12984,17.14
42854,2022-11-25,宜蘭縣,礁溪鄉,8,12968,17.14
43225,2022-11-24,宜蘭縣,礁溪鄉,13,12960,20.14
43595,2022-11-23,宜蘭縣,礁溪鄉,13,12947,21.86
43967,2022-11-22,宜蘭縣,礁溪鄉,22,12934,24.57
44340,2022-11-21,宜蘭縣,礁溪鄉,29,12912,25.29
44723,2022-11-20,宜蘭縣,礁溪鄉,19,12883,25.71
45086,2022-11-19,宜蘭縣,礁溪鄉,16,12864,25.29
45460,2022-11-18,宜蘭縣,礁溪鄉,29,12848,25.00
45832,2022-11-17,宜蘭縣,礁溪鄉,25,12819,24.29
46205,2022-11-16,宜蘭縣,礁溪鄉,32,12794,24.43
46585,2022-11-15,宜蘭縣,礁溪鄉,27,12762,23.57
46966,2022-11-14,宜蘭縣,礁溪鄉,32,12735,23.86
47347,2022-11-13,宜蘭縣,礁溪鄉,16,12703,24.57
47717,2022-11-12,宜蘭縣,礁溪鄉,14,12687,24.14
48094,2022-11-11,宜蘭縣,礁溪鄉,24,12673,25.86
48473,2022-11-10,宜蘭縣,礁溪鄉,26,12649,25.14
48856,2022-11-09,宜蘭縣,礁溪鄉,26,12623,25.00
49239,2022-11-08,宜蘭縣,礁溪鄉,29,12597,26.29
49624,2022-11-07,宜蘭縣,礁溪鄉,37,12568,27.57
50009,2022-11-06,宜蘭縣,礁溪鄉,13,12531,28.57
50378,2022-11-05,宜蘭縣,礁溪鄉,26,12518,30.29
50753,2022-11-04,宜蘭縣,礁溪鄉,19,12492,31.43
51139,2022-11-03,宜蘭縣,礁溪鄉,25,12473,33.57
51519,2022-11-02,宜蘭縣,礁溪鄉,35,12448,35.86
51905,2022-11-01,宜蘭縣,礁溪鄉,38,12413,38.71
52290,2022-10-31,宜蘭縣,礁溪鄉,44,12375,36.57
52673,2022-10-30,宜蘭縣,礁溪鄉,25,12331,38.29
53052,2022-10-29,宜蘭縣,礁溪鄉,34,12306,38.29
53431,2022-10-28,宜蘭縣,礁溪鄉,34,12272,39.00
53818,2022-10-27,宜蘭縣,礁溪鄉,41,12238,40.43
54205,2022-10-26,宜蘭縣,礁溪鄉,55,12197,40.71
