UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5245,2023-03-20,宜蘭縣,羅東鎮,5-9,1653
5246,2023-03-20,宜蘭縣,羅東鎮,25-29,2388
5247,2023-03-20,宜蘭縣,羅東鎮,35-39,2327
5248,2023-03-20,宜蘭縣,羅東鎮,4,286
5249,2023-03-20,宜蘭縣,羅東鎮,40-44,2631
5250,2023-03-20,宜蘭縣,羅東鎮,55-59,1821
5251,2023-03-20,宜蘭縣,羅東鎮,70+,2801
5252,2023-03-20,宜蘭縣,羅東鎮,2,235
5253,2023-03-19,宜蘭縣,羅東鎮,3,275
5254,2023-03-19,宜蘭縣,羅東鎮,45-49,2214
5255,2023-03-19,宜蘭縣,羅東鎮,30-34,2287
5256,2023-03-19,宜蘭縣,羅東鎮,50-54,1874
5257,2023-03-19,宜蘭縣,羅東鎮,20-24,2017
5258,2023-03-19,宜蘭縣,羅東鎮,10-14,1746
5259,2023-03-18,宜蘭縣,羅東鎮,1,253
5260,2023-03-18,宜蘭縣,羅東鎮,65-69,1486
5261,2023-03-18,宜蘭縣,羅東鎮,15-19,1752
5262,2023-03-17,宜蘭縣,羅東鎮,60-64,1623
5263,2023-02-25,宜蘭縣,羅東鎮,0,159
