UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5226,2023-03-20,宜蘭縣,蘇澳鎮,55-59,969
5227,2023-03-20,宜蘭縣,蘇澳鎮,10-14,760
5228,2023-03-20,宜蘭縣,蘇澳鎮,15-19,934
5229,2023-03-20,宜蘭縣,蘇澳鎮,4,151
5230,2023-03-20,宜蘭縣,蘇澳鎮,25-29,1349
5231,2023-03-20,宜蘭縣,蘇澳鎮,65-69,837
5232,2023-03-20,宜蘭縣,蘇澳鎮,40-44,1287
5233,2023-03-19,宜蘭縣,蘇澳鎮,30-34,1328
5234,2023-03-19,宜蘭縣,蘇澳鎮,45-49,1017
5235,2023-03-19,宜蘭縣,蘇澳鎮,5-9,846
5236,2023-03-18,宜蘭縣,蘇澳鎮,20-24,1126
5237,2023-03-18,宜蘭縣,蘇澳鎮,50-54,929
5238,2023-03-18,宜蘭縣,蘇澳鎮,60-64,984
5239,2023-03-18,宜蘭縣,蘇澳鎮,0,99
5240,2023-03-18,宜蘭縣,蘇澳鎮,35-39,1338
5241,2023-03-16,宜蘭縣,蘇澳鎮,70+,1922
5242,2023-03-14,宜蘭縣,蘇澳鎮,1,143
5243,2023-03-13,宜蘭縣,蘇澳鎮,2,130
5244,2023-02-20,宜蘭縣,蘇澳鎮,3,138
