UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
643,2023-03-20,宜蘭縣,蘇澳鎮,8,16287,10.29
928,2023-03-19,宜蘭縣,蘇澳鎮,8,16279,13.00
1256,2023-03-18,宜蘭縣,蘇澳鎮,12,16271,13.14
1596,2023-03-17,宜蘭縣,蘇澳鎮,9,16259,13.86
1948,2023-03-16,宜蘭縣,蘇澳鎮,10,16250,15.86
2301,2023-03-15,宜蘭縣,蘇澳鎮,14,16240,15.43
2652,2023-03-14,宜蘭縣,蘇澳鎮,11,16226,16.86
3009,2023-03-13,宜蘭縣,蘇澳鎮,27,16215,18.00
3368,2023-03-12,宜蘭縣,蘇澳鎮,9,16188,17.29
3713,2023-03-11,宜蘭縣,蘇澳鎮,17,16179,17.29
4066,2023-03-10,宜蘭縣,蘇澳鎮,23,16162,19.29
4421,2023-03-09,宜蘭縣,蘇澳鎮,7,16139,18.43
4780,2023-03-08,宜蘭縣,蘇澳鎮,24,16132,21.57
5134,2023-03-07,宜蘭縣,蘇澳鎮,19,16108,21.29
5493,2023-03-06,宜蘭縣,蘇澳鎮,22,16089,21.29
5858,2023-03-05,宜蘭縣,蘇澳鎮,9,16067,21.00
6197,2023-03-04,宜蘭縣,蘇澳鎮,31,16058,21.00
6549,2023-03-03,宜蘭縣,蘇澳鎮,17,16027,20.71
6908,2023-03-02,宜蘭縣,蘇澳鎮,29,16010,21.86
7272,2023-03-01,宜蘭縣,蘇澳鎮,22,15981,22.71
7643,2023-02-28,宜蘭縣,蘇澳鎮,19,15959,24.00
8006,2023-02-27,宜蘭縣,蘇澳鎮,20,15940,23.43
8365,2023-02-26,宜蘭縣,蘇澳鎮,9,15920,24.00
8710,2023-02-25,宜蘭縣,蘇澳鎮,29,15911,26.43
9080,2023-02-24,宜蘭縣,蘇澳鎮,25,15882,24.57
9441,2023-02-23,宜蘭縣,蘇澳鎮,35,15857,25.14
9811,2023-02-22,宜蘭縣,蘇澳鎮,31,15822,23.43
10186,2023-02-21,宜蘭縣,蘇澳鎮,15,15791,23.43
10555,2023-02-20,宜蘭縣,蘇澳鎮,24,15776,25.86
10935,2023-02-19,宜蘭縣,蘇澳鎮,26,15752,31.71
11293,2023-02-18,宜蘭縣,蘇澳鎮,16,15726,30.14
11660,2023-02-17,宜蘭縣,蘇澳鎮,29,15710,31.57
12032,2023-02-16,宜蘭縣,蘇澳鎮,23,15681,32.71
12407,2023-02-15,宜蘭縣,蘇澳鎮,31,15658,33.43
12780,2023-02-14,宜蘭縣,蘇澳鎮,32,15627,33.29
13152,2023-02-13,宜蘭縣,蘇澳鎮,65,15595,34.00
13531,2023-02-12,宜蘭縣,蘇澳鎮,15,15530,31.86
13888,2023-02-11,宜蘭縣,蘇澳鎮,26,15515,31.14
14260,2023-02-10,宜蘭縣,蘇澳鎮,37,15489,30.71
14634,2023-02-09,宜蘭縣,蘇澳鎮,28,15452,29.57
15010,2023-02-08,宜蘭縣,蘇澳鎮,30,15424,31.14
15389,2023-02-07,宜蘭縣,蘇澳鎮,37,15394,32.00
15768,2023-02-06,宜蘭縣,蘇澳鎮,50,15357,31.57
16150,2023-02-05,宜蘭縣,蘇澳鎮,10,15307,32.00
16518,2023-02-04,宜蘭縣,蘇澳鎮,23,15297,33.71
16897,2023-02-03,宜蘭縣,蘇澳鎮,29,15274,35.29
17283,2023-02-02,宜蘭縣,蘇澳鎮,39,15245,35.29
17666,2023-02-01,宜蘭縣,蘇澳鎮,36,15206,33.29
18043,2023-01-31,宜蘭縣,蘇澳鎮,34,15170,30.71
18428,2023-01-30,宜蘭縣,蘇澳鎮,53,15136,27.43
18817,2023-01-29,宜蘭縣,蘇澳鎮,22,15083,22.57
19193,2023-01-28,宜蘭縣,蘇澳鎮,34,15061,20.43
19572,2023-01-27,宜蘭縣,蘇澳鎮,29,15027,17.43
19950,2023-01-26,宜蘭縣,蘇澳鎮,25,14998,16.00
20327,2023-01-25,宜蘭縣,蘇澳鎮,18,14973,15.43
20692,2023-01-24,宜蘭縣,蘇澳鎮,11,14955,16.14
21067,2023-01-23,宜蘭縣,蘇澳鎮,19,14944,18.14
21434,2023-01-22,宜蘭縣,蘇澳鎮,7,14925,17.86
21798,2023-01-21,宜蘭縣,蘇澳鎮,13,14918,19.00
