UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
110,2023-06-14,宜蘭縣,頭城鎮,1,10393,0.14
640,2023-03-20,宜蘭縣,頭城鎮,5,10392,6.57
924,2023-03-19,宜蘭縣,頭城鎮,3,10387,7.43
1252,2023-03-18,宜蘭縣,頭城鎮,8,10384,7.43
1592,2023-03-17,宜蘭縣,頭城鎮,8,10376,7.14
1944,2023-03-16,宜蘭縣,頭城鎮,6,10368,7.57
2297,2023-03-15,宜蘭縣,頭城鎮,7,10362,9.29
2648,2023-03-14,宜蘭縣,頭城鎮,9,10355,10.00
3005,2023-03-13,宜蘭縣,頭城鎮,11,10346,11.00
3364,2023-03-12,宜蘭縣,頭城鎮,3,10335,11.43
3709,2023-03-11,宜蘭縣,頭城鎮,6,10332,11.86
4062,2023-03-10,宜蘭縣,頭城鎮,11,10326,12.86
4417,2023-03-09,宜蘭縣,頭城鎮,18,10315,12.86
4776,2023-03-08,宜蘭縣,頭城鎮,12,10297,14.29
5130,2023-03-07,宜蘭縣,頭城鎮,16,10285,14.57
5489,2023-03-06,宜蘭縣,頭城鎮,14,10269,14.43
5854,2023-03-05,宜蘭縣,頭城鎮,6,10255,15.86
6193,2023-03-04,宜蘭縣,頭城鎮,13,10249,16.57
6545,2023-03-03,宜蘭縣,頭城鎮,11,10236,16.14
6904,2023-03-02,宜蘭縣,頭城鎮,28,10225,16.43
7268,2023-03-01,宜蘭縣,頭城鎮,14,10197,14.86
7639,2023-02-28,宜蘭縣,頭城鎮,15,10183,15.86
8002,2023-02-27,宜蘭縣,頭城鎮,24,10168,15.86
8361,2023-02-26,宜蘭縣,頭城鎮,11,10144,16.71
8706,2023-02-25,宜蘭縣,頭城鎮,10,10133,18.29
9076,2023-02-24,宜蘭縣,頭城鎮,13,10123,19.71
9437,2023-02-23,宜蘭縣,頭城鎮,17,10110,20.43
9807,2023-02-22,宜蘭縣,頭城鎮,21,10093,20.29
10182,2023-02-21,宜蘭縣,頭城鎮,15,10072,19.71
10551,2023-02-20,宜蘭縣,頭城鎮,30,10057,20.71
10931,2023-02-19,宜蘭縣,頭城鎮,22,10027,20.71
11289,2023-02-18,宜蘭縣,頭城鎮,20,10005,20.00
11656,2023-02-17,宜蘭縣,頭城鎮,18,9985,20.86
12028,2023-02-16,宜蘭縣,頭城鎮,16,9967,22.14
12403,2023-02-15,宜蘭縣,頭城鎮,17,9951,22.43
12776,2023-02-14,宜蘭縣,頭城鎮,22,9934,22.43
13148,2023-02-13,宜蘭縣,頭城鎮,30,9912,22.71
13527,2023-02-12,宜蘭縣,頭城鎮,17,9882,25.00
13884,2023-02-11,宜蘭縣,頭城鎮,26,9865,25.57
14256,2023-02-10,宜蘭縣,頭城鎮,27,9839,26.14
14630,2023-02-09,宜蘭縣,頭城鎮,18,9812,24.71
15006,2023-02-08,宜蘭縣,頭城鎮,17,9794,27.14
15385,2023-02-07,宜蘭縣,頭城鎮,24,9777,28.86
15764,2023-02-06,宜蘭縣,頭城鎮,46,9753,29.00
16146,2023-02-05,宜蘭縣,頭城鎮,21,9707,26.86
16514,2023-02-04,宜蘭縣,頭城鎮,30,9686,26.71
16893,2023-02-03,宜蘭縣,頭城鎮,17,9656,25.14
17279,2023-02-02,宜蘭縣,頭城鎮,35,9639,25.29
17662,2023-02-01,宜蘭縣,頭城鎮,29,9604,22.29
18039,2023-01-31,宜蘭縣,頭城鎮,25,9575,22.00
18424,2023-01-30,宜蘭縣,頭城鎮,31,9550,20.14
18813,2023-01-29,宜蘭縣,頭城鎮,20,9519,17.00
19189,2023-01-28,宜蘭縣,頭城鎮,19,9499,15.57
19568,2023-01-27,宜蘭縣,頭城鎮,18,9480,13.43
19946,2023-01-26,宜蘭縣,頭城鎮,14,9462,11.86
20323,2023-01-25,宜蘭縣,頭城鎮,27,9448,11.71
20688,2023-01-24,宜蘭縣,頭城鎮,12,9421,8.86
21063,2023-01-23,宜蘭縣,頭城鎮,9,9409,8.43
21430,2023-01-22,宜蘭縣,頭城鎮,10,9400,9.71
21794,2023-01-21,宜蘭縣,頭城鎮,4,9390,10.14
22166,2023-01-20,宜蘭縣,頭城鎮,7,9386,11.00
22533,2023-01-19,宜蘭縣,頭城鎮,13,9379,12.43
22904,2023-01-18,宜蘭縣,頭城鎮,7,9366,12.71
23276,2023-01-17,宜蘭縣,頭城鎮,9,9359,14.14
23640,2023-01-16,宜蘭縣,頭城鎮,18,9350,15.57
24016,2023-01-15,宜蘭縣,頭城鎮,13,9332,14.86
24383,2023-01-14,宜蘭縣,頭城鎮,10,9319,13.86
24751,2023-01-13,宜蘭縣,頭城鎮,17,9309,13.43
25119,2023-01-12,宜蘭縣,頭城鎮,15,9292,13.43
25494,2023-01-11,宜蘭縣,頭城鎮,17,9277,12.86
25870,2023-01-10,宜蘭縣,頭城鎮,19,9260,12.71
26242,2023-01-09,宜蘭縣,頭城鎮,13,9241,11.29
26621,2023-01-08,宜蘭縣,頭城鎮,6,9228,11.57
26978,2023-01-07,宜蘭縣,頭城鎮,7,9222,11.43
27349,2023-01-06,宜蘭縣,頭城鎮,17,9215,12.71
27725,2023-01-05,宜蘭縣,頭城鎮,11,9198,11.43
28105,2023-01-04,宜蘭縣,頭城鎮,16,9187,10.71
28486,2023-01-03,宜蘭縣,頭城鎮,9,9171,10.29
28868,2023-01-02,宜蘭縣,頭城鎮,15,9162,10.57
29239,2023-01-01,宜蘭縣,頭城鎮,5,9147,11.29
29601,2022-12-31,宜蘭縣,頭城鎮,16,9142,11.29
29967,2022-12-30,宜蘭縣,頭城鎮,8,9126,10.14
30339,2022-12-29,宜蘭縣,頭城鎮,6,9118,10.71
30712,2022-12-28,宜蘭縣,頭城鎮,13,9112,10.71
31082,2022-12-27,宜蘭縣,頭城鎮,11,9099,11.00
31459,2022-12-26,宜蘭縣,頭城鎮,20,9088,11.71
31831,2022-12-25,宜蘭縣,頭城鎮,5,9068,11.00
32185,2022-12-24,宜蘭縣,頭城鎮,8,9063,11.43
32545,2022-12-23,宜蘭縣,頭城鎮,12,9055,11.86
32909,2022-12-22,宜蘭縣,頭城鎮,6,9043,11.86
33276,2022-12-21,宜蘭縣,頭城鎮,15,9037,11.57
33646,2022-12-20,宜蘭縣,頭城鎮,16,9022,10.00
34009,2022-12-19,宜蘭縣,頭城鎮,15,9006,8.57
34380,2022-12-18,宜蘭縣,頭城鎮,8,8991,7.86
34728,2022-12-17,宜蘭縣,頭城鎮,11,8983,7.57
35088,2022-12-16,宜蘭縣,頭城鎮,12,8972,7.57
35453,2022-12-15,宜蘭縣,頭城鎮,4,8960,7.29
35824,2022-12-14,宜蘭縣,頭城鎮,4,8956,8.29
36183,2022-12-13,宜蘭縣,頭城鎮,6,8952,9.57
36557,2022-12-12,宜蘭縣,頭城鎮,10,8946,10.86
36929,2022-12-11,宜蘭縣,頭城鎮,6,8936,11.14
37280,2022-12-10,宜蘭縣,頭城鎮,11,8930,10.71
37649,2022-12-09,宜蘭縣,頭城鎮,10,8919,10.00
38014,2022-12-08,宜蘭縣,頭城鎮,11,8909,10.00
38387,2022-12-07,宜蘭縣,頭城鎮,13,8898,10.14
38759,2022-12-06,宜蘭縣,頭城鎮,15,8885,9.29
39130,2022-12-05,宜蘭縣,頭城鎮,12,8870,8.43
39508,2022-12-04,宜蘭縣,頭城鎮,3,8858,8.29
39874,2022-12-03,宜蘭縣,頭城鎮,6,8855,9.00
40243,2022-12-02,宜蘭縣,頭城鎮,10,8849,9.29
40613,2022-12-01,宜蘭縣,頭城鎮,12,8839,9.86
40982,2022-11-30,宜蘭縣,頭城鎮,7,8827,8.86
41353,2022-11-29,宜蘭縣,頭城鎮,9,8820,9.57
41733,2022-11-28,宜蘭縣,頭城鎮,11,8811,10.29
42111,2022-11-27,宜蘭縣,頭城鎮,8,8800,13.00
