UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1786,2023-06-14,屏東縣,三地門鄉,5-9,174
1787,2023-06-14,屏東縣,三地門鄉,25-29,198
1788,2023-03-19,屏東縣,三地門鄉,65-69,154
1789,2023-03-18,屏東縣,三地門鄉,10-14,197
1790,2023-03-18,屏東縣,三地門鄉,30-34,197
1791,2023-03-17,屏東縣,三地門鄉,70+,243
1792,2023-03-15,屏東縣,三地門鄉,20-24,168
1793,2023-03-15,屏東縣,三地門鄉,55-59,161
1794,2023-03-08,屏東縣,三地門鄉,50-54,170
1795,2023-03-07,屏東縣,三地門鄉,40-44,188
1796,2023-03-07,屏東縣,三地門鄉,15-19,210
1797,2023-03-06,屏東縣,三地門鄉,60-64,169
1798,2023-03-06,屏東縣,三地門鄉,35-39,195
1799,2023-03-01,屏東縣,三地門鄉,45-49,145
1800,2023-02-09,屏東縣,三地門鄉,0,31
1801,2023-01-29,屏東縣,三地門鄉,1,40
1802,2023-01-12,屏東縣,三地門鄉,2,38
1803,2022-12-27,屏東縣,三地門鄉,3,40
1804,2022-10-25,屏東縣,三地門鄉,4,36
