UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
9,2023-08-07,屏東縣,九如鄉,1,7367,0.14
433,2023-03-22,屏東縣,九如鄉,1,7366,2.86
716,2023-03-20,屏東縣,九如鄉,1,7365,3.71
1008,2023-03-19,屏東縣,九如鄉,4,7364,4.57
1338,2023-03-18,屏東縣,九如鄉,5,7360,4.14
1677,2023-03-17,屏東縣,九如鄉,3,7355,3.86
2030,2023-03-16,屏東縣,九如鄉,6,7352,4.00
2382,2023-03-15,屏東縣,九如鄉,1,7346,4.43
2733,2023-03-14,屏東縣,九如鄉,6,7345,5.71
3090,2023-03-13,屏東縣,九如鄉,7,7339,5.71
3448,2023-03-12,屏東縣,九如鄉,1,7332,5.71
3795,2023-03-11,屏東縣,九如鄉,3,7331,6.00
4147,2023-03-10,屏東縣,九如鄉,4,7328,6.71
4503,2023-03-09,屏東縣,九如鄉,9,7324,7.57
4861,2023-03-08,屏東縣,九如鄉,10,7315,7.29
5215,2023-03-07,屏東縣,九如鄉,6,7305,7.71
5575,2023-03-06,屏東縣,九如鄉,7,7299,8.00
5939,2023-03-05,屏東縣,九如鄉,3,7292,8.71
6277,2023-03-04,屏東縣,九如鄉,8,7289,8.86
6631,2023-03-03,屏東縣,九如鄉,10,7281,8.57
6990,2023-03-02,屏東縣,九如鄉,7,7271,7.86
7354,2023-03-01,屏東縣,九如鄉,13,7264,7.86
7725,2023-02-28,屏東縣,九如鄉,8,7251,7.86
8088,2023-02-27,屏東縣,九如鄉,12,7243,8.00
8447,2023-02-26,屏東縣,九如鄉,4,7231,8.57
8791,2023-02-25,屏東縣,九如鄉,6,7227,8.43
9161,2023-02-24,屏東縣,九如鄉,5,7221,9.71
9522,2023-02-23,屏東縣,九如鄉,7,7216,10.86
9893,2023-02-22,屏東縣,九如鄉,13,7209,11.14
10267,2023-02-21,屏東縣,九如鄉,9,7196,11.86
10637,2023-02-20,屏東縣,九如鄉,16,7187,12.71
11016,2023-02-19,屏東縣,九如鄉,3,7171,13.86
11375,2023-02-18,屏東縣,九如鄉,15,7168,14.29
11741,2023-02-17,屏東縣,九如鄉,13,7153,14.00
12114,2023-02-16,屏東縣,九如鄉,9,7140,14.57
12489,2023-02-15,屏東縣,九如鄉,18,7131,15.29
12862,2023-02-14,屏東縣,九如鄉,15,7113,13.71
13234,2023-02-13,屏東縣,九如鄉,24,7098,15.00
13612,2023-02-12,屏東縣,九如鄉,6,7074,14.00
13970,2023-02-11,屏東縣,九如鄉,13,7068,13.86
14342,2023-02-10,屏東縣,九如鄉,17,7055,13.71
14715,2023-02-09,屏東縣,九如鄉,14,7038,13.29
15092,2023-02-08,屏東縣,九如鄉,7,7024,14.29
15471,2023-02-07,屏東縣,九如鄉,24,7017,15.57
15850,2023-02-06,屏東縣,九如鄉,17,6993,14.57
16231,2023-02-05,屏東縣,九如鄉,5,6976,15.86
16600,2023-02-04,屏東縣,九如鄉,12,6971,16.86
16979,2023-02-03,屏東縣,九如鄉,14,6959,16.00
17365,2023-02-02,屏東縣,九如鄉,21,6945,16.14
17748,2023-02-01,屏東縣,九如鄉,16,6924,16.00
18125,2023-01-31,屏東縣,九如鄉,17,6908,16.29
18510,2023-01-30,屏東縣,九如鄉,26,6891,15.14
18899,2023-01-29,屏東縣,九如鄉,12,6865,11.86
19275,2023-01-28,屏東縣,九如鄉,6,6853,11.14
19654,2023-01-27,屏東縣,九如鄉,15,6847,11.71
20032,2023-01-26,屏東縣,九如鄉,20,6832,12.00
20409,2023-01-25,屏東縣,九如鄉,18,6812,9.71
20774,2023-01-24,屏東縣,九如鄉,9,6794,8.00
21148,2023-01-23,屏東縣,九如鄉,3,6785,8.57
21516,2023-01-22,屏東縣,九如鄉,7,6782,9.43
21880,2023-01-21,屏東縣,九如鄉,10,6775,9.29
22252,2023-01-20,屏東縣,九如鄉,17,6765,10.00
22619,2023-01-19,屏東縣,九如鄉,4,6748,9.00
22990,2023-01-18,屏東縣,九如鄉,6,6744,10.71
23360,2023-01-17,屏東縣,九如鄉,13,6738,12.43
23726,2023-01-16,屏東縣,九如鄉,9,6725,12.71
24102,2023-01-15,屏東縣,九如鄉,6,6716,13.43
24468,2023-01-14,屏東縣,九如鄉,15,6710,13.29
24837,2023-01-13,屏東縣,九如鄉,10,6695,13.29
25205,2023-01-12,屏東縣,九如鄉,16,6685,13.86
25580,2023-01-11,屏東縣,九如鄉,18,6669,14.71
25956,2023-01-10,屏東縣,九如鄉,15,6651,14.86
26328,2023-01-09,屏東縣,九如鄉,14,6636,15.86
26705,2023-01-08,屏東縣,九如鄉,5,6622,15.86
27063,2023-01-07,屏東縣,九如鄉,15,6617,16.00
27435,2023-01-06,屏東縣,九如鄉,14,6602,15.29
27811,2023-01-05,屏東縣,九如鄉,22,6588,15.14
28191,2023-01-04,屏東縣,九如鄉,19,6566,13.00
28572,2023-01-03,屏東縣,九如鄉,22,6547,11.86
28953,2023-01-02,屏東縣,九如鄉,14,6525,10.71
29325,2023-01-01,屏東縣,九如鄉,6,6511,11.29
29687,2022-12-31,屏東縣,九如鄉,10,6505,11.29
