UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1767,2023-06-14,屏東縣,來義鄉,20-24,219
1768,2023-06-14,屏東縣,來義鄉,50-54,221
1769,2023-06-14,屏東縣,來義鄉,25-29,240
1770,2023-03-19,屏東縣,來義鄉,15-19,207
1771,2023-03-17,屏東縣,來義鄉,10-14,164
1772,2023-03-16,屏東縣,來義鄉,5-9,191
1773,2023-03-15,屏東縣,來義鄉,4,49
1774,2023-03-15,屏東縣,來義鄉,35-39,240
1775,2023-03-15,屏東縣,來義鄉,30-34,245
1776,2023-03-13,屏東縣,來義鄉,45-49,207
1777,2023-03-10,屏東縣,來義鄉,40-44,190
1778,2023-03-06,屏東縣,來義鄉,55-59,246
1779,2023-02-27,屏東縣,來義鄉,70+,257
1780,2023-02-23,屏東縣,來義鄉,0,59
1781,2023-02-19,屏東縣,來義鄉,65-69,158
1782,2023-02-14,屏東縣,來義鄉,2,40
1783,2023-02-14,屏東縣,來義鄉,60-64,247
1784,2023-02-04,屏東縣,來義鄉,1,41
1785,2023-01-24,屏東縣,來義鄉,3,51
