UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
371,2023-03-23,屏東縣,內埔鄉,1,64,0.29
434,2023-03-21,屏東縣,內埔鄉,1,63,0.14
932,2023-03-09,屏東縣,內埔鄉,1,62,0.14
1515,2023-02-26,屏東縣,內埔鄉,1,61,0.29
1751,2023-02-22,屏東縣,內埔鄉,1,60,0.29
2030,2023-02-17,屏東縣,內埔鄉,1,59,0.29
2347,2023-02-12,屏東縣,內埔鄉,1,58,0.14
2924,2023-02-03,屏東縣,內埔鄉,1,57,0.57
2986,2023-02-02,屏東縣,內埔鄉,2,56,0.43
3177,2023-01-30,屏東縣,內埔鄉,1,54,0.14
3612,2023-01-22,屏東縣,內埔鄉,1,53,0.29
3890,2023-01-16,屏東縣,內埔鄉,1,52,0.57
3941,2023-01-15,屏東縣,內埔鄉,2,51,0.43
4005,2023-01-14,屏東縣,內埔鄉,1,49,0.29
4292,2023-01-08,屏東縣,內埔鄉,1,48,0.29
4342,2023-01-07,屏東縣,內埔鄉,1,47,0.14
4799,2022-12-29,屏東縣,內埔鄉,1,46,0.29
4967,2022-12-25,屏東縣,內埔鄉,1,45,0.14
5935,2022-11-29,屏東縣,內埔鄉,1,44,0.14
6277,2022-11-21,屏東縣,內埔鄉,1,43,0.29
6324,2022-11-20,屏東縣,內埔鄉,1,42,0.29
6617,2022-11-14,屏東縣,內埔鄉,1,41,0.43
6674,2022-11-13,屏東縣,內埔鄉,1,40,0.43
6735,2022-11-12,屏東縣,內埔鄉,1,39,0.29
7035,2022-11-07,屏東縣,內埔鄉,1,38,0.43
7149,2022-11-05,屏東縣,內埔鄉,1,37,0.29
7268,2022-11-03,屏東縣,內埔鄉,1,36,0.14
7853,2022-10-25,屏東縣,內埔鄉,1,35,0.29
7995,2022-10-23,屏東縣,內埔鄉,1,34,0.14
8636,2022-10-14,屏東縣,內埔鄉,1,33,0.29
8849,2022-10-11,屏東縣,內埔鄉,1,32,0.14
9705,2022-09-28,屏東縣,內埔鄉,1,31,0.29
10058,2022-09-22,屏東縣,內埔鄉,1,30,0.14
10919,2022-09-05,屏東縣,內埔鄉,2,29,0.43
11122,2022-08-31,屏東縣,內埔鄉,1,27,0.14
11848,2022-08-12,屏東縣,內埔鄉,1,26,0.29
11886,2022-08-11,屏東縣,內埔鄉,1,25,0.14
13034,2022-07-19,屏東縣,內埔鄉,1,24,0.29
13227,2022-07-16,屏東縣,內埔鄉,1,23,0.29
13582,2022-07-11,屏東縣,內埔鄉,1,22,0.43
13720,2022-07-09,屏東縣,內埔鄉,1,21,0.29
13787,2022-07-08,屏東縣,內埔鄉,1,20,0.14
14588,2022-06-29,屏東縣,內埔鄉,1,19,0.14
15288,2022-06-22,屏東縣,內埔鄉,1,18,0.57
15737,2022-06-18,屏東縣,內埔鄉,1,17,1.00
15862,2022-06-17,屏東縣,內埔鄉,1,16,0.86
15997,2022-06-16,屏東縣,內埔鄉,1,15,0.86
16117,2022-06-15,屏東縣,內埔鄉,2,14,0.71
16501,2022-06-12,屏東縣,內埔鄉,2,12,0.71
16751,2022-06-10,屏東縣,內埔鄉,1,10,0.43
17114,2022-06-07,屏東縣,內埔鄉,1,9,0.43
17244,2022-06-06,屏東縣,內埔鄉,1,8,0.43
17834,2022-06-01,屏東縣,內埔鄉,1,7,0.43
17964,2022-05-31,屏東縣,內埔鄉,1,6,0.43
18320,2022-05-28,屏東縣,內埔鄉,1,5,0.29
18622,2022-05-25,屏東縣,內埔鄉,1,4,0.14
19390,2022-05-15,屏東縣,內埔鄉,1,3,0.29
19496,2022-05-13,屏東縣,內埔鄉,1,2,0.14
19857,2022-04-24,屏東縣,內埔鄉,1,1,0.14
