UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
230,2023-06-14,屏東縣,內埔鄉,3,21107,0.43
445,2023-03-22,屏東縣,內埔鄉,1,21104,14.14
573,2023-03-21,屏東縣,內埔鄉,1,21103,16.71
817,2023-03-20,屏東縣,內埔鄉,2,21102,21.43
1124,2023-03-19,屏東縣,內埔鄉,15,21100,26.00
1458,2023-03-18,屏東縣,內埔鄉,31,21085,25.86
1806,2023-03-17,屏東縣,內埔鄉,29,21054,24.14
2155,2023-03-16,屏東縣,內埔鄉,20,21025,23.43
2511,2023-03-15,屏東縣,內埔鄉,19,21005,23.86
2861,2023-03-14,屏東縣,內埔鄉,34,20986,25.14
3216,2023-03-13,屏東縣,內埔鄉,34,20952,25.43
3571,2023-03-12,屏東縣,內埔鄉,14,20918,26.14
3922,2023-03-11,屏東縣,內埔鄉,19,20904,26.86
4273,2023-03-10,屏東縣,內埔鄉,24,20885,27.00
4630,2023-03-09,屏東縣,內埔鄉,23,20861,26.71
4985,2023-03-08,屏東縣,內埔鄉,28,20838,29.57
5341,2023-03-07,屏東縣,內埔鄉,36,20810,30.71
5706,2023-03-06,屏東縣,內埔鄉,39,20774,30.00
6059,2023-03-05,屏東縣,內埔鄉,19,20735,27.86
6403,2023-03-04,屏東縣,內埔鄉,20,20716,26.86
6756,2023-03-03,屏東縣,內埔鄉,22,20696,27.14
7119,2023-03-02,屏東縣,內埔鄉,43,20674,28.00
7483,2023-03-01,屏東縣,內埔鄉,36,20631,26.43
7855,2023-02-28,屏東縣,內埔鄉,31,20595,26.43
8218,2023-02-27,屏東縣,內埔鄉,24,20564,26.29
8566,2023-02-26,屏東縣,內埔鄉,12,20540,30.00
8922,2023-02-25,屏東縣,內埔鄉,22,20528,31.00
9290,2023-02-24,屏東縣,內埔鄉,28,20506,31.57
9655,2023-02-23,屏東縣,內埔鄉,32,20478,30.86
10026,2023-02-22,屏東縣,內埔鄉,36,20446,32.14
10398,2023-02-21,屏東縣,內埔鄉,30,20410,30.14
10771,2023-02-20,屏東縣,內埔鄉,50,20380,30.57
11141,2023-02-19,屏東縣,內埔鄉,19,20330,32.00
11505,2023-02-18,屏東縣,內埔鄉,26,20311,31.57
11872,2023-02-17,屏東縣,內埔鄉,23,20285,31.71
12247,2023-02-16,屏東縣,內埔鄉,41,20262,33.00
12621,2023-02-15,屏東縣,內埔鄉,22,20221,33.00
12997,2023-02-14,屏東縣,內埔鄉,33,20199,34.43
13367,2023-02-13,屏東縣,內埔鄉,60,20166,36.29
13741,2023-02-12,屏東縣,內埔鄉,16,20106,36.00
14104,2023-02-11,屏東縣,內埔鄉,27,20090,36.43
14474,2023-02-10,屏東縣,內埔鄉,32,20063,39.29
14846,2023-02-09,屏東縣,內埔鄉,41,20031,41.43
15228,2023-02-08,屏東縣,內埔鄉,32,19990,43.14
15606,2023-02-07,屏東縣,內埔鄉,46,19958,43.86
15985,2023-02-06,屏東縣,內埔鄉,58,19912,47.00
16361,2023-02-05,屏東縣,內埔鄉,19,19854,49.14
16736,2023-02-04,屏東縣,內埔鄉,47,19835,50.29
17114,2023-02-03,屏東縣,內埔鄉,47,19788,49.43
17500,2023-02-02,屏東縣,內埔鄉,53,19741,49.86
17881,2023-02-01,屏東縣,內埔鄉,37,19688,48.14
