UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
6,2023-05-30,屏東縣,全區,1,702,0.14
156,2023-04-05,屏東縣,全區,1,701,0.14
285,2023-03-27,屏東縣,全區,1,700,1.14
301,2023-03-26,屏東縣,全區,1,699,1.14
320,2023-03-25,屏東縣,全區,1,698,1.14
343,2023-03-24,屏東縣,全區,1,697,1.14
368,2023-03-23,屏東縣,全區,2,696,1.00
432,2023-03-21,屏東縣,全區,2,694,1.00
464,2023-03-20,屏東縣,全區,1,692,0.71
502,2023-03-19,屏東縣,全區,1,691,0.71
540,2023-03-18,屏東縣,全區,1,690,0.57
625,2023-03-16,屏東縣,全區,1,689,0.86
667,2023-03-15,屏東縣,全區,1,688,1.14
750,2023-03-13,屏東縣,全區,1,687,1.14
882,2023-03-10,屏東縣,全區,3,686,1.29
928,2023-03-09,屏東縣,全區,3,683,1.14
981,2023-03-08,屏東縣,全區,1,680,0.86
1069,2023-03-06,屏東縣,全區,1,679,0.71
1179,2023-03-04,屏東縣,全區,1,678,1.00
1236,2023-03-03,屏東縣,全區,2,677,0.86
1290,2023-03-02,屏東縣,全區,1,675,0.57
1510,2023-02-26,屏東縣,全區,3,674,0.86
1748,2023-02-22,屏東縣,全區,1,671,1.14
1862,2023-02-20,屏東縣,全區,2,670,1.29
1973,2023-02-18,屏東縣,全區,2,668,1.14
2026,2023-02-17,屏東縣,全區,3,666,1.00
2149,2023-02-15,屏東縣,全區,1,663,1.57
2213,2023-02-14,屏東縣,全區,1,662,2.00
2342,2023-02-12,屏東縣,全區,1,661,1.86
2408,2023-02-11,屏東縣,全區,1,660,1.71
2472,2023-02-10,屏東縣,全區,5,659,1.71
2538,2023-02-09,屏東縣,全區,2,654,1.43
2603,2023-02-08,屏東縣,全區,4,652,1.71
2864,2023-02-04,屏東縣,全區,1,648,2.14
2920,2023-02-03,屏東縣,全區,3,647,2.29
2983,2023-02-02,屏東縣,全區,4,644,1.86
3056,2023-02-01,屏東縣,全區,1,640,1.57
3122,2023-01-31,屏東縣,全區,2,639,2.00
3174,2023-01-30,屏東縣,全區,2,637,1.71
3233,2023-01-29,屏東縣,全區,2,635,2.00
3292,2023-01-28,屏東縣,全區,2,633,2.43
3393,2023-01-26,屏東縣,全區,2,631,2.57
3447,2023-01-25,屏東縣,全區,4,629,2.29
3554,2023-01-23,屏東縣,全區,4,625,2.29
3609,2023-01-22,屏東縣,全區,5,621,2.00
3657,2023-01-21,屏東縣,全區,2,616,2.29
3693,2023-01-20,屏東縣,全區,1,614,2.29
3796,2023-01-18,屏東縣,全區,1,613,2.29
3834,2023-01-17,屏東縣,全區,3,612,2.14
3886,2023-01-16,屏東縣,全區,2,609,1.86
3938,2023-01-15,屏東縣,全區,7,607,1.86
4000,2023-01-14,屏東縣,全區,2,600,1.14
4056,2023-01-13,屏東縣,全區,1,598,1.43
4191,2023-01-10,屏東縣,全區,1,597,2.00
4246,2023-01-09,屏東縣,全區,2,596,2.43
4290,2023-01-08,屏東縣,全區,2,594,2.29
4340,2023-01-07,屏東縣,全區,4,592,2.14
4437,2023-01-05,屏東縣,全區,2,588,1.86
4481,2023-01-04,屏東縣,全區,3,586,1.71
4541,2023-01-03,屏東縣,全區,4,583,1.57
4598,2023-01-02,屏東縣,全區,1,579,1.29
4655,2023-01-01,屏東縣,全區,1,578,1.29
4704,2022-12-31,屏東縣,全區,2,577,1.29
4797,2022-12-29,屏東縣,全區,1,575,1.00
4833,2022-12-28,屏東縣,全區,2,574,0.86
4874,2022-12-27,屏東縣,全區,2,572,0.71
4925,2022-12-26,屏東縣,全區,1,570,0.57
4963,2022-12-25,屏東縣,全區,1,569,0.57
5101,2022-12-21,屏東縣,全區,1,568,0.86
5140,2022-12-20,屏東縣,全區,1,567,0.86
5182,2022-12-19,屏東縣,全區,1,566,0.86
5216,2022-12-18,屏東縣,全區,1,565,0.71
5331,2022-12-15,屏東縣,全區,2,564,1.00
5374,2022-12-14,屏東縣,全區,1,562,0.86
5415,2022-12-13,屏東縣,全區,1,561,0.86
5505,2022-12-10,屏東縣,全區,1,560,0.86
5550,2022-12-09,屏東縣,全區,2,559,0.71
5590,2022-12-08,屏東縣,全區,1,557,0.57
5637,2022-12-07,屏東縣,全區,1,556,0.57
5744,2022-12-04,屏東縣,全區,1,555,1.14
5819,2022-12-02,屏東縣,全區,1,554,1.14
5862,2022-12-01,屏東縣,全區,1,553,1.14
5898,2022-11-30,屏東縣,全區,2,552,1.29
5933,2022-11-29,屏東縣,全區,2,550,1.14
5973,2022-11-28,屏東縣,全區,1,548,1.00
6045,2022-11-26,屏東縣,全區,1,547,1.43
6091,2022-11-25,屏東縣,全區,1,546,1.57
6136,2022-11-24,屏東縣,全區,2,545,1.71
6180,2022-11-23,屏東縣,全區,1,543,1.86
6223,2022-11-22,屏東縣,全區,1,542,1.71
6273,2022-11-21,屏東縣,全區,1,541,1.71
6323,2022-11-20,屏東縣,全區,3,540,1.86
6376,2022-11-19,屏東縣,全區,2,537,1.86
6426,2022-11-18,屏東縣,全區,2,535,2.14
6473,2022-11-17,屏東縣,全區,3,533,2.29
6564,2022-11-15,屏東縣,全區,1,530,2.14
6615,2022-11-14,屏東縣,全區,2,529,2.14
6670,2022-11-13,屏東縣,全區,3,527,2.14
6732,2022-11-12,屏東縣,全區,4,524,2.00
6792,2022-11-11,屏東縣,全區,3,520,2.14
6850,2022-11-10,屏東縣,全區,1,517,2.57
6920,2022-11-09,屏東縣,全區,1,516,2.71
6976,2022-11-08,屏東縣,全區,1,515,2.71
7032,2022-11-07,屏東縣,全區,2,514,2.86
7092,2022-11-06,屏東縣,全區,2,512,3.14
7146,2022-11-05,屏東縣,全區,5,510,2.86
7206,2022-11-04,屏東縣,全區,6,505,2.14
7266,2022-11-03,屏東縣,全區,2,499,1.57
7318,2022-11-02,屏東縣,全區,1,497,1.57
7383,2022-11-01,屏東縣,全區,2,496,1.57
7454,2022-10-31,屏東縣,全區,4,494,1.71
7643,2022-10-28,屏東縣,全區,2,490,1.57
7709,2022-10-27,屏東縣,全區,2,488,1.43
7782,2022-10-26,屏東縣,全區,1,486,1.29
7851,2022-10-25,屏東縣,全區,3,485,1.71
7923,2022-10-24,屏東縣,全區,1,482,1.57
7993,2022-10-23,屏東縣,全區,2,481,1.57
8134,2022-10-21,屏東縣,全區,1,479,1.57
8213,2022-10-20,屏東縣,全區,1,478,1.71
8287,2022-10-19,屏東縣,全區,4,477,2.00
8348,2022-10-18,屏東縣,全區,2,473,1.86
8426,2022-10-17,屏東縣,全區,1,471,1.86
8501,2022-10-16,屏東縣,全區,1,470,2.00
8562,2022-10-15,屏東縣,全區,1,469,2.00
8632,2022-10-14,屏東縣,全區,2,468,2.29
8708,2022-10-13,屏東縣,全區,3,466,2.57
8777,2022-10-12,屏東縣,全區,3,463,2.29
8847,2022-10-11,屏東縣,全區,2,460,2.14
8909,2022-10-10,屏東縣,全區,2,458,2.14
8987,2022-10-09,屏東縣,全區,1,456,2.57
9043,2022-10-08,屏東縣,全區,3,455,2.57
9101,2022-10-07,屏東縣,全區,4,452,2.57
9170,2022-10-06,屏東縣,全區,1,448,2.14
9232,2022-10-05,屏東縣,全區,2,447,2.57
9315,2022-10-04,屏東縣,全區,2,445,3.00
9381,2022-10-03,屏東縣,全區,5,443,3.14
9455,2022-10-02,屏東縣,全區,1,438,2.57
9518,2022-10-01,屏東縣,全區,3,437,2.86
9576,2022-09-30,屏東縣,全區,1,434,2.57
9636,2022-09-29,屏東縣,全區,4,433,2.71
9703,2022-09-28,屏東縣,全區,5,429,2.29
9750,2022-09-27,屏東縣,全區,3,424,1.86
9817,2022-09-26,屏東縣,全區,1,421,1.57
9875,2022-09-25,屏東縣,全區,3,420,1.57
9934,2022-09-24,屏東縣,全區,1,417,1.14
9986,2022-09-23,屏東縣,全區,2,416,1.14
10053,2022-09-22,屏東縣,全區,1,414,1.00
10114,2022-09-21,屏東縣,全區,2,413,0.86
10167,2022-09-20,屏東縣,全區,1,411,0.86
10211,2022-09-19,屏東縣,全區,1,410,0.86
10313,2022-09-17,屏東縣,全區,1,409,1.00
10373,2022-09-16,屏東縣,全區,1,408,1.14
10488,2022-09-14,屏東縣,全區,2,407,1.29
10541,2022-09-13,屏東縣,全區,1,405,1.00
10595,2022-09-12,屏東縣,全區,2,404,1.00
10692,2022-09-10,屏東縣,全區,2,402,1.00
10749,2022-09-09,屏東縣,全區,2,400,0.86
10875,2022-09-06,屏東縣,全區,1,398,1.00
10917,2022-09-05,屏東縣,全區,2,397,0.86
11011,2022-09-03,屏東縣,全區,1,395,0.57
11120,2022-08-31,屏東縣,全區,3,394,0.86
11297,2022-08-27,屏東縣,全區,1,391,0.71
11335,2022-08-26,屏東縣,全區,1,390,0.57
11370,2022-08-25,屏東縣,全區,1,389,0.57
11410,2022-08-24,屏東縣,全區,1,388,0.57
11525,2022-08-21,屏東縣,全區,1,387,0.57
11593,2022-08-19,屏東縣,全區,1,386,0.71
11627,2022-08-18,屏東縣,全區,1,385,0.71
11690,2022-08-16,屏東縣,全區,1,384,1.14
11772,2022-08-14,屏東縣,全區,1,383,1.43
11810,2022-08-13,屏東縣,全區,1,382,1.29
11846,2022-08-12,屏東縣,全區,1,381,1.43
11883,2022-08-11,屏東縣,全區,1,380,1.43
11920,2022-08-10,屏東縣,全區,3,379,1.86
11958,2022-08-09,屏東縣,全區,1,376,1.57
11999,2022-08-08,屏東縣,全區,2,375,2.00
12085,2022-08-06,屏東縣,全區,2,373,2.00
12129,2022-08-05,屏東縣,全區,1,371,1.86
12165,2022-08-04,屏東縣,全區,4,370,1.86
12212,2022-08-03,屏東縣,全區,1,366,1.43
12257,2022-08-02,屏東縣,全區,4,365,1.71
12313,2022-08-01,屏東縣,全區,1,361,1.71
12361,2022-07-31,屏東縣,全區,1,360,1.86
12413,2022-07-30,屏東縣,全區,1,359,2.00
12460,2022-07-29,屏東縣,全區,1,358,2.14
12519,2022-07-28,屏東縣,全區,1,357,2.14
12571,2022-07-27,屏東縣,全區,3,356,2.43
12628,2022-07-26,屏東縣,全區,4,353,2.14
12691,2022-07-25,屏東縣,全區,2,349,2.14
12744,2022-07-24,屏東縣,全區,2,347,2.29
12801,2022-07-23,屏東縣,全區,2,345,2.43
12855,2022-07-22,屏東縣,全區,1,343,2.57
12908,2022-07-21,屏東縣,全區,3,342,3.43
12969,2022-07-20,屏東縣,全區,1,339,3.29
13030,2022-07-19,屏東縣,全區,4,338,3.29
13099,2022-07-18,屏東縣,全區,3,334,3.14
13154,2022-07-17,屏東縣,全區,3,331,3.43
13224,2022-07-16,屏東縣,全區,3,328,3.00
13296,2022-07-15,屏東縣,全區,7,325,3.29
13365,2022-07-14,屏東縣,全區,2,318,2.86
13430,2022-07-13,屏東縣,全區,1,316,3.00
13506,2022-07-12,屏東縣,全區,3,315,3.00
13579,2022-07-11,屏東縣,全區,5,312,2.86
13714,2022-07-09,屏東縣,全區,5,307,4.29
13784,2022-07-08,屏東縣,全區,4,302,4.00
13853,2022-07-07,屏東縣,全區,3,298,3.57
13938,2022-07-06,屏東縣,全區,1,295,4.00
14025,2022-07-05,屏東縣,全區,2,294,4.71
14112,2022-07-04,屏東縣,全區,10,292,5.14
14216,2022-07-03,屏東縣,全區,5,282,5.00
14297,2022-07-02,屏東縣,全區,3,277,5.57
14385,2022-07-01,屏東縣,全區,1,274,6.14
14476,2022-06-30,屏東縣,全區,6,273,6.57
14584,2022-06-29,屏東縣,全區,6,267,7.14
14675,2022-06-28,屏東縣,全區,5,261,7.00
14771,2022-06-27,屏東縣,全區,9,256,7.43
14882,2022-06-26,屏東縣,全區,9,247,6.57
14977,2022-06-25,屏東縣,全區,7,238,6.29
15067,2022-06-24,屏東縣,全區,4,231,6.86
15163,2022-06-23,屏東縣,全區,10,227,7.71
15283,2022-06-22,屏東縣,全區,5,217,7.00
15391,2022-06-21,屏東縣,全區,8,212,7.71
15508,2022-06-20,屏東縣,全區,3,204,7.00
15613,2022-06-19,屏東縣,全區,7,201,7.71
15732,2022-06-18,屏東縣,全區,11,194,8.43
15857,2022-06-17,屏東縣,全區,10,183,8.14
15991,2022-06-16,屏東縣,全區,5,173,7.57
16110,2022-06-15,屏東縣,全區,10,168,8.14
16243,2022-06-14,屏東縣,全區,3,158,7.57
16372,2022-06-13,屏東縣,全區,8,155,8.14
16495,2022-06-12,屏東縣,全區,12,147,7.86
16615,2022-06-11,屏東縣,全區,9,135,6.57
16747,2022-06-10,屏東縣,全區,6,126,6.29
16854,2022-06-09,屏東縣,全區,9,120,6.14
16980,2022-06-08,屏東縣,全區,6,111,5.57
17110,2022-06-07,屏東縣,全區,7,105,6.14
17239,2022-06-06,屏東縣,全區,6,98,6.00
17361,2022-06-05,屏東縣,全區,3,92,6.00
17470,2022-06-04,屏東縣,全區,7,89,6.29
17596,2022-06-03,屏東縣,全區,5,82,6.00
17716,2022-06-02,屏東縣,全區,5,77,5.71
17828,2022-06-01,屏東縣,全區,10,72,5.57
17959,2022-05-31,屏東縣,全區,6,62,5.14
18086,2022-05-30,屏東縣,全區,6,56,4.57
18213,2022-05-29,屏東縣,全區,5,50,4.00
18317,2022-05-28,屏東縣,全區,5,45,3.43
18418,2022-05-27,屏東縣,全區,3,40,3.00
18517,2022-05-26,屏東縣,全區,4,37,3.00
18616,2022-05-25,屏東縣,全區,7,33,2.71
18709,2022-05-24,屏東縣,全區,2,26,2.00
18802,2022-05-23,屏東縣,全區,2,24,2.00
18892,2022-05-22,屏東縣,全區,1,22,2.00
18981,2022-05-21,屏東縣,全區,2,21,2.00
19062,2022-05-20,屏東縣,全區,3,19,2.00
19134,2022-05-19,屏東縣,全區,2,16,1.71
19204,2022-05-18,屏東縣,全區,2,14,1.43
19272,2022-05-17,屏東縣,全區,2,12,1.14
19332,2022-05-16,屏東縣,全區,2,10,0.86
19388,2022-05-15,屏東縣,全區,1,8,0.57
19450,2022-05-14,屏東縣,全區,2,7,0.43
19494,2022-05-13,屏東縣,全區,1,5,0.29
19704,2022-05-07,屏東縣,全區,1,4,0.14
19813,2022-04-30,屏東縣,全區,1,3,0.29
19856,2022-04-24,屏東縣,全區,1,2,0.14
20034,2021-07-21,屏東縣,全區,1,1,0.14
