UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1729,2023-06-14,屏東縣,南州鄉,25-29,238
1730,2023-03-20,屏東縣,南州鄉,60-64,190
1731,2023-03-20,屏東縣,南州鄉,70+,377
1732,2023-03-17,屏東縣,南州鄉,4,21
1733,2023-03-17,屏東縣,南州鄉,35-39,195
1734,2023-03-14,屏東縣,南州鄉,30-34,154
1735,2023-03-14,屏東縣,南州鄉,20-24,196
1736,2023-03-14,屏東縣,南州鄉,50-54,203
1737,2023-03-12,屏東縣,南州鄉,45-49,203
1738,2023-03-11,屏東縣,南州鄉,2,24
1739,2023-03-11,屏東縣,南州鄉,5-9,138
1740,2023-03-10,屏東縣,南州鄉,55-59,184
1741,2023-03-06,屏東縣,南州鄉,15-19,262
1742,2023-03-03,屏東縣,南州鄉,10-14,155
1743,2023-02-25,屏東縣,南州鄉,65-69,159
1744,2023-02-22,屏東縣,南州鄉,40-44,207
1745,2023-02-14,屏東縣,南州鄉,3,31
1746,2023-01-31,屏東縣,南州鄉,1,16
1747,2023-01-31,屏東縣,南州鄉,0,30
