UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
245,2023-06-14,屏東縣,南州鄉,1,2983,0.14
834,2023-03-20,屏東縣,南州鄉,2,2982,1.43
1480,2023-03-18,屏東縣,南州鄉,1,2980,1.57
1833,2023-03-17,屏東縣,南州鄉,3,2979,2.29
2886,2023-03-14,屏東縣,南州鄉,4,2976,2.57
3244,2023-03-13,屏東縣,南州鄉,2,2972,2.29
3595,2023-03-12,屏東縣,南州鄉,1,2970,2.29
3949,2023-03-11,屏東縣,南州鄉,6,2969,2.43
4299,2023-03-10,屏東縣,南州鄉,2,2963,1.86
5013,2023-03-08,屏東縣,南州鄉,3,2961,2.86
5367,2023-03-07,屏東縣,南州鄉,2,2958,2.57
5732,2023-03-06,屏東縣,南州鄉,2,2956,3.00
6084,2023-03-05,屏東縣,南州鄉,2,2954,2.71
6429,2023-03-04,屏東縣,南州鄉,2,2952,2.43
6785,2023-03-03,屏東縣,南州鄉,5,2950,2.43
7147,2023-03-02,屏東縣,南州鄉,4,2945,2.14
7512,2023-03-01,屏東縣,南州鄉,1,2941,1.57
7882,2023-02-28,屏東縣,南州鄉,5,2940,1.71
8952,2023-02-25,屏東縣,南州鄉,2,2935,2.14
9316,2023-02-24,屏東縣,南州鄉,3,2933,2.43
10054,2023-02-22,屏東縣,南州鄉,2,2930,2.86
10427,2023-02-21,屏東縣,南州鄉,3,2928,2.57
10800,2023-02-20,屏東縣,南州鄉,4,2925,3.29
11167,2023-02-19,屏東縣,南州鄉,1,2921,4.43
11532,2023-02-18,屏東縣,南州鄉,4,2920,4.57
11902,2023-02-17,屏東縣,南州鄉,3,2916,4.14
12275,2023-02-16,屏東縣,南州鄉,3,2913,4.29
13025,2023-02-14,屏東縣,南州鄉,8,2910,4.57
13397,2023-02-13,屏東縣,南州鄉,12,2902,3.71
13768,2023-02-12,屏東縣,南州鄉,2,2890,3.43
14133,2023-02-11,屏東縣,南州鄉,1,2888,4.57
14502,2023-02-10,屏東縣,南州鄉,4,2887,5.14
14874,2023-02-09,屏東縣,南州鄉,4,2883,6.86
15256,2023-02-08,屏東縣,南州鄉,1,2879,7.00
15635,2023-02-07,屏東縣,南州鄉,2,2878,7.71
16015,2023-02-06,屏東縣,南州鄉,10,2876,9.14
16389,2023-02-05,屏東縣,南州鄉,10,2866,10.71
16763,2023-02-04,屏東縣,南州鄉,5,2856,10.00
17143,2023-02-03,屏東縣,南州鄉,16,2851,10.29
17530,2023-02-02,屏東縣,南州鄉,5,2835,8.43
17910,2023-02-01,屏東縣,南州鄉,6,2830,7.71
18292,2023-01-31,屏東縣,南州鄉,12,2824,8.00
18677,2023-01-30,屏東縣,南州鄉,21,2812,6.71
19062,2023-01-29,屏東縣,南州鄉,5,2791,4.00
19440,2023-01-28,屏東縣,南州鄉,7,2786,3.57
19816,2023-01-27,屏東縣,南州鄉,3,2779,3.29
20565,2023-01-25,屏東縣,南州鄉,8,2776,4.29
20935,2023-01-24,屏東縣,南州鄉,3,2768,3.43
21303,2023-01-23,屏東縣,南州鄉,2,2765,3.43
21674,2023-01-22,屏東縣,南州鄉,2,2763,3.43
22041,2023-01-21,屏東縣,南州鄉,5,2761,3.43
22411,2023-01-20,屏東縣,南州鄉,5,2756,3.43
22778,2023-01-19,屏東縣,南州鄉,5,2751,3.43
23151,2023-01-18,屏東縣,南州鄉,2,2746,3.14
23516,2023-01-17,屏東縣,南州鄉,3,2744,3.57
23886,2023-01-16,屏東縣,南州鄉,2,2741,3.57
24260,2023-01-15,屏東縣,南州鄉,2,2739,3.71
24626,2023-01-14,屏東縣,南州鄉,5,2737,3.71
24994,2023-01-13,屏東縣,南州鄉,5,2732,3.57
25368,2023-01-12,屏東縣,南州鄉,3,2727,3.43
25739,2023-01-11,屏東縣,南州鄉,5,2724,4.00
26116,2023-01-10,屏東縣,南州鄉,3,2719,4.00
26491,2023-01-09,屏東縣,南州鄉,3,2716,4.29
26859,2023-01-08,屏東縣,南州鄉,2,2713,4.14
27222,2023-01-07,屏東縣,南州鄉,4,2711,4.43
27595,2023-01-06,屏東縣,南州鄉,4,2707,4.71
27975,2023-01-05,屏東縣,南州鄉,7,2703,4.43
28355,2023-01-04,屏東縣,南州鄉,5,2696,4.29
28736,2023-01-03,屏東縣,南州鄉,5,2691,3.86
29114,2023-01-02,屏東縣,南州鄉,2,2686,3.71
29483,2023-01-01,屏東縣,南州鄉,4,2684,4.14
29846,2022-12-31,屏東縣,南州鄉,6,2680,3.71
30211,2022-12-30,屏東縣,南州鄉,2,2674,3.29
30585,2022-12-29,屏東縣,南州鄉,6,2672,3.14
30958,2022-12-28,屏東縣,南州鄉,2,2666,3.00
31332,2022-12-27,屏東縣,南州鄉,4,2664,2.86
31705,2022-12-26,屏東縣,南州鄉,5,2660,2.71
32066,2022-12-25,屏東縣,南州鄉,1,2655,2.71
32426,2022-12-24,屏東縣,南州鄉,3,2654,2.86
32785,2022-12-23,屏東縣,南州鄉,1,2651,3.00
33153,2022-12-22,屏東縣,南州鄉,5,2650,4.43
33520,2022-12-21,屏東縣,南州鄉,1,2645,4.00
33887,2022-12-20,屏東縣,南州鄉,3,2644,5.29
34253,2022-12-19,屏東縣,南州鄉,5,2641,5.00
34611,2022-12-18,屏東縣,南州鄉,2,2636,5.71
34968,2022-12-17,屏東縣,南州鄉,4,2634,5.57
35334,2022-12-16,屏東縣,南州鄉,11,2630,5.29
35697,2022-12-15,屏東縣,南州鄉,2,2619,4.00
36061,2022-12-14,屏東縣,南州鄉,10,2617,4.43
36427,2022-12-13,屏東縣,南州鄉,1,2607,3.71
36805,2022-12-12,屏東縣,南州鄉,10,2606,4.71
37160,2022-12-11,屏東縣,南州鄉,1,2596,4.43
37524,2022-12-10,屏東縣,南州鄉,2,2595,4.43
37891,2022-12-09,屏東縣,南州鄉,2,2593,4.86
38262,2022-12-08,屏東縣,南州鄉,5,2591,4.86
38637,2022-12-07,屏東縣,南州鄉,5,2586,4.71
39002,2022-12-06,屏東縣,南州鄉,8,2581,4.29
39378,2022-12-05,屏東縣,南州鄉,8,2573,3.86
39751,2022-12-04,屏東縣,南州鄉,1,2565,3.29
40118,2022-12-03,屏東縣,南州鄉,5,2564,3.71
40486,2022-12-02,屏東縣,南州鄉,2,2559,4.14
