UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1710,2023-06-14,屏東縣,屏東市,60-64,4237
1711,2023-06-14,屏東縣,屏東市,40-44,6637
1712,2023-06-14,屏東縣,屏東市,15-19,4228
1713,2023-06-14,屏東縣,屏東市,70+,6150
1714,2023-06-14,屏東縣,屏東市,65-69,3607
1715,2023-06-14,屏東縣,屏東市,55-59,4677
1716,2023-06-14,屏東縣,屏東市,50-54,5151
1717,2023-06-14,屏東縣,屏東市,45-49,5698
1718,2023-06-14,屏東縣,屏東市,30-34,5937
1719,2023-06-14,屏東縣,屏東市,20-24,5443
1720,2023-03-20,屏東縣,屏東市,25-29,6051
1721,2023-03-19,屏東縣,屏東市,10-14,3764
1722,2023-03-19,屏東縣,屏東市,5-9,4144
1723,2023-03-19,屏東縣,屏東市,35-39,6270
1724,2023-03-19,屏東縣,屏東市,3,715
1725,2023-03-18,屏東縣,屏東市,0,444
1726,2023-03-18,屏東縣,屏東市,4,686
1727,2023-03-17,屏東縣,屏東市,2,684
1728,2023-03-14,屏東縣,屏東市,1,648
