UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
435,2023-03-21,屏東縣,屏東市,1,145,0.29
506,2023-03-19,屏東縣,屏東市,1,144,0.14
1074,2023-03-06,屏東縣,屏東市,1,143,0.57
1185,2023-03-04,屏東縣,屏東市,1,142,0.43
1243,2023-03-03,屏東縣,屏東市,1,141,0.29
1297,2023-03-02,屏東縣,屏東市,1,140,0.14
2412,2023-02-11,屏東縣,屏東市,1,139,0.57
2479,2023-02-10,屏東縣,屏東市,1,138,0.57
2544,2023-02-09,屏東縣,屏東市,1,137,0.43
2610,2023-02-08,屏東縣,屏東市,1,136,0.29
2869,2023-02-04,屏東縣,屏東市,1,135,0.43
3129,2023-01-31,屏東縣,屏東市,2,134,0.43
3454,2023-01-25,屏東縣,屏東市,1,132,0.86
3558,2023-01-23,屏東縣,屏東市,2,131,0.71
3614,2023-01-22,屏東縣,屏東市,1,129,0.57
3662,2023-01-21,屏東縣,屏東市,1,128,0.71
3699,2023-01-20,屏東縣,屏東市,1,127,0.57
3892,2023-01-16,屏東縣,屏東市,1,126,0.57
3945,2023-01-15,屏東縣,屏東市,2,125,0.57
4061,2023-01-13,屏東縣,屏東市,1,123,0.43
4252,2023-01-09,屏東縣,屏東市,1,122,0.71
4346,2023-01-07,屏東縣,屏東市,1,121,0.57
4442,2023-01-05,屏東縣,屏東市,1,120,0.43
4548,2023-01-03,屏東縣,屏東市,2,119,0.43
4837,2022-12-28,屏東縣,屏東市,1,117,0.14
5903,2022-11-30,屏東縣,屏東市,1,116,0.43
6093,2022-11-25,屏東縣,屏東市,1,115,0.71
6140,2022-11-24,屏東縣,屏東市,1,114,0.71
6230,2022-11-22,屏東縣,屏東市,1,113,0.57
6327,2022-11-20,屏東縣,屏東市,1,112,0.43
6382,2022-11-19,屏東縣,屏東市,1,111,0.29
6429,2022-11-18,屏東縣,屏東市,1,110,0.14
6857,2022-11-10,屏東縣,屏東市,1,109,0.86
6982,2022-11-08,屏東縣,屏東市,1,108,0.86
7038,2022-11-07,屏東縣,屏東市,1,107,0.71
7152,2022-11-05,屏東縣,屏東市,1,106,0.71
7211,2022-11-04,屏東縣,屏東市,2,105,0.57
7325,2022-11-02,屏東縣,屏東市,1,103,0.57
7459,2022-10-31,屏東縣,屏東市,1,102,0.71
7653,2022-10-28,屏東縣,屏東市,1,101,0.57
7715,2022-10-27,屏東縣,屏東市,1,100,0.43
7859,2022-10-25,屏東縣,屏東市,2,99,0.57
8222,2022-10-20,屏東縣,屏東市,1,97,0.71
8289,2022-10-19,屏東縣,屏東市,1,96,0.57
8356,2022-10-18,屏東縣,屏東市,1,95,0.71
8437,2022-10-17,屏東縣,屏東市,1,94,0.71
8508,2022-10-16,屏東縣,屏東市,1,93,0.57
8783,2022-10-12,屏東縣,屏東市,2,92,0.43
8855,2022-10-11,屏東縣,屏東市,1,90,0.29
9236,2022-10-05,屏東縣,屏東市,1,89,0.57
9323,2022-10-04,屏東縣,屏東市,1,88,0.71
9387,2022-10-03,屏東縣,屏東市,1,87,0.57
9644,2022-09-29,屏東縣,屏東市,1,86,0.57
9707,2022-09-28,屏東縣,屏東市,2,85,0.43
9883,2022-09-25,屏東縣,屏東市,1,83,0.29
10119,2022-09-21,屏東縣,屏東市,1,82,0.14
11530,2022-08-21,屏東縣,屏東市,1,81,0.43
11633,2022-08-18,屏東縣,屏東市,1,80,0.43
11697,2022-08-16,屏東縣,屏東市,1,79,0.29
11811,2022-08-13,屏東縣,屏東市,1,78,0.14
12090,2022-08-06,屏東縣,屏東市,1,77,0.71
12171,2022-08-04,屏東縣,屏東市,2,76,0.71
12263,2022-08-02,屏東縣,屏東市,1,74,0.57
12317,2022-08-01,屏東縣,屏東市,1,73,0.71
12468,2022-07-29,屏東縣,屏東市,1,72,0.71
12578,2022-07-27,屏東縣,屏東市,1,71,0.71
12634,2022-07-26,屏東縣,屏東市,2,70,0.57
12748,2022-07-24,屏東縣,屏東市,1,68,0.43
12912,2022-07-21,屏東縣,屏東市,1,67,0.71
13105,2022-07-18,屏東縣,屏東市,1,66,0.71
13231,2022-07-16,屏東縣,屏東市,1,65,0.71
13302,2022-07-15,屏東縣,屏東市,2,64,0.71
13511,2022-07-12,屏東縣,屏東市,1,62,0.86
13589,2022-07-11,屏東縣,屏東市,1,61,0.71
13726,2022-07-09,屏東縣,屏東市,1,60,0.86
13792,2022-07-08,屏東縣,屏東市,2,59,1.00
13858,2022-07-07,屏東縣,屏東市,1,57,0.71
14121,2022-07-04,屏東縣,屏東市,2,56,1.14
14304,2022-07-02,屏東縣,屏東市,2,54,1.29
14485,2022-06-30,屏東縣,屏東市,1,52,1.29
14594,2022-06-29,屏東縣,屏東市,1,51,1.29
14686,2022-06-28,屏東縣,屏東市,2,50,1.29
14781,2022-06-27,屏東縣,屏東市,2,48,1.14
14889,2022-06-26,屏東縣,屏東市,1,46,0.86
14984,2022-06-25,屏東縣,屏東市,1,45,0.86
15075,2022-06-24,屏東縣,屏東市,1,44,0.86
15175,2022-06-23,屏東縣,屏東市,1,43,1.00
15294,2022-06-22,屏東縣,屏東市,1,42,1.00
15402,2022-06-21,屏東縣,屏東市,1,41,1.14
15619,2022-06-19,屏東縣,屏東市,1,40,1.29
15742,2022-06-18,屏東縣,屏東市,1,39,1.43
15871,2022-06-17,屏東縣,屏東市,2,38,1.71
16004,2022-06-16,屏東縣,屏東市,1,36,1.71
16126,2022-06-15,屏東縣,屏東市,2,35,1.57
16383,2022-06-13,屏東縣,屏東市,2,33,1.71
16506,2022-06-12,屏東縣,屏東市,2,31,1.57
16627,2022-06-11,屏東縣,屏東市,3,29,1.43
16759,2022-06-10,屏東縣,屏東市,2,26,1.29
16991,2022-06-08,屏東縣,屏東市,1,24,1.00
17119,2022-06-07,屏東縣,屏東市,2,23,1.14
17251,2022-06-06,屏東縣,屏東市,1,21,1.14
17369,2022-06-05,屏東縣,屏東市,1,20,1.43
17478,2022-06-04,屏東縣,屏東市,2,19,1.43
17841,2022-06-01,屏東縣,屏東市,2,17,1.43
17973,2022-05-31,屏東縣,屏東市,2,15,1.43
18096,2022-05-30,屏東縣,屏東市,3,13,1.29
18225,2022-05-29,屏東縣,屏東市,1,10,0.86
18327,2022-05-28,屏東縣,屏東市,1,9,0.86
18525,2022-05-26,屏東縣,屏東市,1,8,1.00
18628,2022-05-25,屏東縣,屏東市,2,7,0.86
18715,2022-05-24,屏東縣,屏東市,1,5,0.57
18900,2022-05-22,屏東縣,屏東市,1,4,0.43
