UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1691,2023-06-14,屏東縣,崁頂鄉,4,47
1692,2023-03-19,屏東縣,崁頂鄉,25-29,274
1693,2023-03-19,屏東縣,崁頂鄉,50-54,210
1694,2023-03-19,屏東縣,崁頂鄉,40-44,272
1695,2023-03-19,屏東縣,崁頂鄉,60-64,215
1696,2023-03-18,屏東縣,崁頂鄉,35-39,246
1697,2023-03-18,屏東縣,崁頂鄉,70+,363
1698,2023-03-16,屏東縣,崁頂鄉,15-19,211
1699,2023-03-16,屏東縣,崁頂鄉,20-24,248
1700,2023-03-16,屏東縣,崁頂鄉,5-9,179
1701,2023-03-15,屏東縣,崁頂鄉,55-59,224
1702,2023-03-15,屏東縣,崁頂鄉,30-34,220
1703,2023-03-14,屏東縣,崁頂鄉,45-49,222
1704,2023-03-06,屏東縣,崁頂鄉,10-14,187
1705,2023-03-05,屏東縣,崁頂鄉,0,28
1706,2023-03-03,屏東縣,崁頂鄉,65-69,176
1707,2023-02-25,屏東縣,崁頂鄉,2,54
1708,2023-02-23,屏東縣,崁頂鄉,3,27
1709,2022-12-21,屏東縣,崁頂鄉,1,32
